PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Bubba Watson,123.7,126.93,120.45
Charlie Beljan,123.16,126.66,116.16
Andrew Loupe,122.81,129.62,104.05
Gary Woodland,122.5,125.55,118.4
Brooks Koepka,122.33,127.91,119.27
Jhonattan Vegas,121.74,125.5,115.32
Rory McIlroy,121.56,124.74,117.58
Dustin Johnson,121.34,123.94,118.32
Jason Kokrak,120.57,123.8,117.57
Henrik Stenson,120.36,123.91,117.29
Sergio Garcia,119.83,125.72,116.23
Graham DeLaet,119.8,122.83,116.54
Adam Scott,119.58,121.82,115.53
J.B. Holmes,119.45,122.16,116.05
Jamie Lovemark,119.44,123.19,115.69
Robert Garrigus,119.41,123.22,115.68
Hudson Swafford,119.32,123.23,116.35
Derek Ernst,119.21,122.28,115.32
Harris English,119.02,122.54,115.07
Kevin Tway,118.93,123.55,115.6
Charles Howell III,118.58,121.25,115.03
Robert Streb,118.53,120.72,115.44
Angel Cabrera,118.42,122.16,115.11
Seung-Yul Noh,118.38,121.75,115.65
Matt Jones,118.27,122.32,114.92
Charl Schwartzel,118.21,121.2,113.81
Will Wilcox,118.06,120.73,113.31
Trevor Immelman,118.02,121.49,114.24
Rickie Fowler,117.91,122.69,114.8
Paul Casey,117.8,121.47,114.96
Stewart Cink,117.78,121.35,111.77
Aaron Baddeley,117.54,121.56,112.87
Nick Watney,117.53,121.15,115.06
Jason Day,117.49,120.19,114.14
Ryan Palmer,117.24,120.52,114.22
Brendan Steele,117.23,120.53,113.71
Martin Flores,117.14,121.08,114.64
Jimmy Walker,117.06,119.78,113.95
Martin Kaymer,117.05,120.5,112.93
Keegan Bradley,116.94,120.73,113.04
Scott Stallings,116.68,122.05,113.16
Kevin Chappell,116.64,120.42,112.85
John Rollins,116.64,121,110.92
Lucas Glover,116.6,119.67,114.27
Marc Leishman,116.55,120.02,112.47
Charley Hoffman,116.44,120.51,112.06
Steven Bowditch,116.3,122.21,104.85
Michael Putnam,116.25,120.42,113
Sean O'Hair,116.1,119.01,109.34
Shawn Stefani,116.07,119.88,108.04
Ricky Barnes,115.98,118.88,112.81
Patrick Reed,115.9,119.64,112.74
George McNeill,115.87,118.47,112.43
Pat Perez,115.73,121.34,112.49
Ryo Ishikawa,115.7,118.71,113.16
Phil Mickelson,115.62,121.06,108.51
Kyle Stanley,115.52,121.06,111.87
Lee Westwood,115.48,119.59,112.88
Louis Oosthuizen,115.44,118.03,112.84
John Senden,115.27,120.01,111.77
Martin Laird,115.26,119.61,112.52
Andres Romero,115.2,118.57,109.01
Gonzalo Fdez-Castano,115.05,118.87,110.14
Ben Martin,114.95,117.83,112.14
Tyrone Van Aswegen,114.94,118.61,111.13
Brendon de Jonge,114.91,117.88,111.5
Matt Every,114.86,120.72,111.21
Jim Herman,114.76,117.97,111.96
Davis Love III,114.74,127.89,111.43
Justin Rose,114.74,118.83,111.63
James Driscoll,114.58,120.82,110.87
Freddie Jacobson,114.51,117.66,110.74
Troy Matteson,114.36,116.59,111.42
Russell Henley,114.23,117.51,111.33
Hideki Matsuyama,114.21,119.59,110.59
Brad Fritsch,114.08,118.13,107.86
Geoff Ogilvy,114.01,116.59,109
Morgan Hoffmann,114,117.14,110.42
Camilo Villegas,114,117.27,109.59
Josh Teater,113.96,117.52,110.32
Tommy Gainey,113.75,116.81,110.47
J.J. Henry,113.72,117.21,109.75
Kevin Stadler,113.67,119.06,109.97
Michael Thompson,113.67,116.78,109.07
Billy Horschel,113.65,117.74,109.81
Bill Haas,113.6,118.58,109.59
Boo Weekley,113.53,117.08,109.45
James Hahn,113.52,118.94,104.24
Sangmoon Bae,113.48,115.99,111.38
Kevin Streelman,113.38,116.05,109.68
Andrew Svoboda,113.26,118.33,109.37
Jonathan Byrd,113.13,116.84,110.27
John Peterson,113.12,118.64,106.68
Carl Pettersson,113.12,118.01,109.65
Luke Guthrie,113.08,116.23,110.05
Bo Van Pelt,113.05,116.75,110.15
Chesson Hadley,112.87,115.75,109.45
Erik Compton,112.68,117.12,109.12
Rory Sabbatini,112.61,115.91,109.02
Jason Dufner,112.6,115.28,109.28
Bronson La'Cassie,112.24,117.12,108.93
Jim Renner,112.24,116.18,108.67
Hunter Mahan,112.22,115.07,103.01
David Lingmerth,112.21,116.59,109.69
Kevin Na,112.21,116.02,108.7
Wes Roach,112.19,117.98,107.28
Kevin Kisner,112.17,114.51,107.69
Johnson Wagner,112.14,117.04,108.11
Troy Merritt,112.06,114.64,109.33
Briny Baird,111.99,115.25,109.45
Ernie Els,111.99,116.9,109.07
Will MacKenzie,111.97,117.31,108.78
Ian Poulter,111.95,114.94,107.78
Retief Goosen,111.85,115.7,108.39
Bud Cauley,111.84,115.69,108.1
Scott Brown,111.83,117.93,108.85
Chad Campbell,111.76,116,109.04
Y.E. Yang,111.67,116.32,106.9
Chris Kirk,111.66,114.09,107.87
Brice Garnett,111.65,115.44,108.24
Jordan Spieth,111.56,115.5,106.09
Vijay Singh,111.43,115.37,108.04
Robert Allenby,111.26,113.88,108.08
D.A. Points,111.13,115.19,106.54
Webb Simpson,111.11,115.22,107.97
Danny Lee,111.05,114.88,107.69
John Merrick,111.05,115.44,108.33
Ryan Moore,110.99,113.87,107.35
Jonas Blixt,110.95,114.91,107.44
Jeff Overton,110.95,114.86,107.51
Nicholas Thompson,110.95,112.94,107.93
Richard Lee,110.93,114.42,106.96
Russell Knox,110.77,114.11,107.49
William McGirt,110.7,113.33,107.59
John Huh,110.45,113.64,106.96
Cameron Tringale,110.45,114.91,106.83
Jim Furyk,110.26,113.8,103.87
Brandt Snedeker,110.22,114.18,101.5
Brian Harman,110.09,114.05,106.8
Luke Donald,109.95,114.13,106.72
"Ted Potter, Jr.",109.93,114.13,106.76
Roberto Castro,109.82,116.03,106.98
Stuart Appleby,109.78,113.5,106.15
Woody Austin,109.77,113.83,105.9
Graeme McDowell,109.77,113.34,107.14
Chris Stroud,109.71,112.8,106.17
Daniel Summerhays,109.62,114.93,105.77
Justin Hicks,109.56,112.55,106.57
Greg Chalmers,109.46,114.55,105.96
Ken Duke,109.4,113.47,106.25
Scott Langley,109.3,112.81,104.2
Charlie Wi,109.19,113.69,105.91
Brian Stuard,109.13,113.38,105.36
Bryce Molder,108.98,111.6,105.75
Jason Bohn,108.92,112.09,105.49
Matt Kuchar,108.92,111.66,105.87
