PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Spencer Levin,108.49,111.14,105.35
Chad Collins,108.36,110.63,105.55
Billy Hurley III,108.34,112.33,105.27
Brendon Todd,108.29,111.73,104.66
Tim Wilkinson,107.99,113.06,103.66
David Hearn,107.96,111.64,104.02
Zach Johnson,107.73,113.24,104.78
K.J. Choi,107.56,110.96,103.97
D.H. Lee,107.28,111.27,101.87
Ben Curtis,106.99,110.67,103.7
Jerry Kelly,106.93,109.87,102.21
Mark Wilson,106.83,110.42,104.38
Mike Weir,106.74,110.17,103
Ben Crane,106.64,113.35,103.78
Brian Davis,106.54,110.76,101.64
Heath Slocum,105.4,108.91,102.29
Jeff Maggert,105.06,108.03,102.52
Justin Leonard,104.38,107.87,100.91
David Toms,103.97,107.21,100.78
Brian Gay,103.79,107.04,101.38
Tim Clark,103.48,105.66,99.74
