PLAYER,GOING FOR THE GREEN %
Bubba Watson,80.61
Rory McIlroy,75.38
Robert Garrigus,75.09
John Daly,72.81
Kyle Stanley,71.66
Lee Westwood,70.63
Keegan Bradley,70.04
Gary Woodland,69.46
Sergio Garcia,69.44
Chris Couch,69.35
Dustin Johnson,69.14
Henrik Stenson,66.9
Scott Stallings,66.67
Martin Laird,66.2
Jhonattan Vegas,65.74
J.B. Holmes,65.48
Robert Karlsson,65.1
Bill Haas,64.5
Scott Piercy,64.06
Charlie Beljan,63.89
Tiger Woods,63.58
Vijay Singh,63.48
Rory Sabbatini,63.42
Charley Hoffman,63.35
Adam Scott,63.31
Josh Teater,63.19
John Senden,63.09
Charl Schwartzel,63.08
Bobby Gates,63
Louis Oosthuizen,62.58
Jeff Overton,62.58
Andres Romero,62.37
Phil Mickelson,62.22
Rickie Fowler,62.14
Sean O'Hair,61.79
Webb Simpson,61.51
Edward Loar,61.38
Scott Brown,61.36
Ryan Palmer,60.7
Seung-Yul Noh,60.67
Jason Day,60.48
Angel Cabrera,60.45
Troy Matteson,60.27
James Driscoll,60.24
Graham DeLaet,60
John Rollins,60
Billy Horschel,59.74
Erik Compton,59.56
Jimmy Walker,59.28
Harris English,59.06
Hunter Haas,58.85
Davis Love III,58.75
Mathew Goggin,58.59
Nathan Green,58.54
Jason Kokrak,58.51
D.J. Trahan,58.37
Padraig Harrington,58.28
Jonathan Byrd,57.99
John Huh,57.72
Bo Van Pelt,57.64
Kevin Chappell,57.59
Garth Mulroy,57.41
Harrison Frazar,57.38
Cameron Tringale,57.14
Kevin Stadler,56.86
Chris Kirk,56.73
Hunter Mahan,56.6
Greg Owen,56.59
Jason Dufner,56.5
George McNeill,55.81
D.A. Points,55.74
Justin Rose,55.38
Ernie Els,55.11
Matt Jones,55.06
Billy Mayfair,55.04
Charles Howell III,54.79
Will Claxton,54.7
Blake Adams,54.63
Arjun Atwal,54.59
Brendon de Jonge,54.5
Boo Weekley,54.45
Roberto Castro,54.44
Carl Pettersson,54.35
Ben Crane,54.1
Nick Watney,53.98
Kevin Na,53.94
Sangmoon Bae,53.73
Kevin Streelman,53.71
Daniel Chopra,53.57
Camilo Villegas,53.56
Tommy Gainey,53.48
Tom Gillis,53.41
Spencer Levin,53.04
Geoff Ogilvy,52.83
Pat Perez,52.73
Roland Thatcher,52.32
Aaron Baddeley,52.25
Bud Cauley,52.1
Mark Anderson,52.02
Kris Blanks,51.83
Richard Lee,51.81
Danny Lee,51.67
Marc Leishman,51.62
Martin Flores,51.58
Troy Kelly,51.45
Chad Campbell,51.37
Brendan Steele,51.18
J.J. Killeen,51.01
Derek Lamely,50.75
Ian Poulter,50.71
Jonas Blixt,50.63
John Merrick,50.59
Rod Pampling,50.21
Brian Harman,50.16
Kevin Kisner,50
Kyle Thompson,50
Jeff Maggert,49.81
Daniel Summerhays,49.6
Rocco Mediate,49.51
Matt Every,49.35
Brandt Snedeker,49.33
Scott Dunlap,49.06
Stephen Gangluff,49.01
Ricky Barnes,48.8
Ken Duke,48.72
Bill Lunde,48.57
Zach Johnson,48.47
Steve Stricker,48.26
Miguel Angel Carballo,48.1
Y.E. Yang,48
Matt Bettencourt,47.95
Trevor Immelman,47.78
K.J. Choi,47.66
Graeme McDowell,47.41
Freddie Jacobson,47.3
Stewart Cink,47.29
Greg Chalmers,47.19
Robert Allenby,47.06
Gary Christian,47.04
Ryo Ishikawa,47.01
Charlie Wi,46.99
Johnson Wagner,46.96
Ryan Moore,46.86
Tim Herron,46.74
Steve Wheatcroft,46.26
Russell Knox,45.45
Tommy Biershenk,45.41
Chris Stroud,45.02
Sung Kang,44.89
Matt Kuchar,44.87
Brandt Jobe,44.05
Heath Slocum,43.63
Chez Reavie,43.44
"Ted Potter, Jr.",42.79
Stuart Appleby,42.41
Kyle Reifers,42.22
Luke Donald,42.2
Jerry Kelly,41.83
William McGirt,41.73
Marco Dawson,41.52
Jason Bohn,41.48
Patrick Sheehan,41.45
David Hearn,41.4
Dicky Pride,41.28
Michael Bradley,41.26
Cameron Beckman,40.89
J.J. Henry,40.61
Alexandre Rocha,40.34
Tom Pernice Jr.,40.32
Brian Davis,40.21
Mark Wilson,39.69
Vaughn Taylor,39.66
Bob Estes,39.37
Jim Furyk,38.12
Tim Clark,38.1
Ryuji Imada,37.8
Michael Thompson,37.55
John Mallinger,37.44
David Toms,37.28
Chris DiMarco,37.11
Brendon Todd,36.74
Ben Curtis,36.41
Stephen Ames,35.51
David Mathis,35.12
Justin Leonard,32.5
Gavin Coles,29.38
Bryce Molder,28.62
Colt Knost,28.33
Brian Gay,27.84
Billy Hurley III,27.04
Nick O'Hern,27
