PLAYER,BOUNCE BACK
Jason Day,34.44
Bubba Watson,28.24
Tyrone Van Aswegen,28.17
John Senden,27.65
Jordan Spieth,27.46
Brooks Koepka,27.36
J.B. Holmes,26.77
Rory Sabbatini,26.7
Brendan Steele,26.07
Daniel Berger,25.88
Louis Oosthuizen,25.77
Daniel Summerhays,25.56
Kevin Na,25.42
Shawn Stefani,25.2
Morgan Hoffmann,25
Mark Wilson,25
Marc Leishman,24.88
Roberto Castro,24.67
Hunter Mahan,24.67
Paul Casey,24.64
Dustin Johnson,24.61
Carl Pettersson,24.39
Jason Bohn,24.3
Gary Woodland,24.3
Ryo Ishikawa,24.25
Matt Kuchar,24.2
Charl Schwartzel,24.1
Billy Horschel,23.97
Jason Gore,23.96
Zac Blair,23.87
Steven Bowditch,23.75
Hudson Swafford,23.75
Jimmy Walker,23.32
Keegan Bradley,23.21
John Peterson,23.16
Luke Donald,23.08
Rickie Fowler,23.08
Zach Johnson,23.04
Jonathan Byrd,22.93
Phil Mickelson,22.9
Jason Dufner,22.83
Justin Rose,22.78
Robert Streb,22.76
Greg Owen,22.67
Jonas Blixt,22.62
Cameron Percy,22.61
Spencer Levin,22.54
Ryan Palmer,22.49
Angel Cabrera,22.47
Nicholas Thompson,22.47
Bryce Molder,22.38
Camilo Villegas,22.35
Bo Van Pelt,22.12
Whee Kim,22.1
Blayne Barber,22.06
Charley Hoffman,22.05
Will Wilcox,22.03
Andres Gonzales,21.99
Jason Kokrak,21.94
Sangmoon Bae,21.9
Chez Reavie,21.88
Martin Laird,21.84
Justin Thomas,21.79
Kevin Streelman,21.72
Jim Herman,21.7
Carlos Ortiz,21.66
Tony Finau,21.65
Johnson Wagner,21.56
Eric Axley,21.52
Kevin Kisner,21.48
Derek Fathauer,21.43
Russell Knox,21.43
William McGirt,21.4
Andrew Svoboda,21.38
Seung-Yul Noh,21.32
Jon Curran,21.29
Chris Kirk,21.29
Patrick Reed,21.29
Brendon de Jonge,21.27
Steve Wheatcroft,21.19
Jerry Kelly,21.11
Danny Lee,21.09
Aaron Baddeley,21.08
Lee Westwood,21.08
Sam Saunders,21.07
Nick Taylor,21.05
Colt Knost,20.93
Michael Thompson,20.93
Adam Hadwin,20.88
Adam Scott,20.74
Byron Smith,20.73
Pat Perez,20.66
Scott Langley,20.62
Ian Poulter,20.57
David Toms,20.57
Scott Pinckney,20.46
Webb Simpson,20.41
Brian Stuard,20.31
Jim Furyk,20.27
Russell Henley,20.18
Chad Collins,20.11
Ernie Els,20.11
Padraig Harrington,20.1
Vijay Singh,20.1
Greg Chalmers,20
Martin Flores,20
Patrick Rodgers,20
Charlie Beljan,19.92
John Huh,19.92
John Merrick,19.91
Steven Alker,19.87
Francesco Molinari,19.84
Kevin Chappell,19.75
Chris Stroud,19.74
Sergio Garcia,19.72
Scott Stallings,19.69
Roger Sloan,19.65
Brandt Snedeker,19.59
Charles Howell III,19.55
Oscar Fraustro,19.54
Chesson Hadley,19.53
Scott Piercy,19.53
Tim Wilkinson,19.53
S.J. Park,19.51
David Lingmerth,19.42
George McNeill,19.42
Andres Romero,19.35
Alex Cejka,19.33
Nick Watney,19.29
Bill Lunde,19.23
Ryan Moore,19.19
Harris English,19.11
Derek Ernst,19.09
Robert Garrigus,19.05
Hideki Matsuyama,18.98
Chad Campbell,18.78
Brian Harman,18.72
Scott Brown,18.68
Justin Leonard,18.67
James Hahn,18.6
Jeff Overton,18.58
Luke Guthrie,18.55
Sean O'Hair,18.44
Jamie Donaldson,18.38
Matt Jones,18.38
Andrew Putnam,18.35
Alex Prugh,18.31
Brendon Todd,18.3
Mark Hubbard,18.23
Henrik Stenson,18.12
Max Homa,18.1
Retief Goosen,17.98
Ken Duke,17.95
Michael Putnam,17.76
Brice Garnett,17.65
Boo Weekley,17.59
Kyle Reifers,17.55
Bill Haas,17.54
Tom Hoge,17.51
Geoff Ogilvy,17.5
Graham DeLaet,17.37
Fabian Gomez,17.37
Jonathan Randolph,16.93
Erik Compton,16.87
Gonzalo Fdez-Castano,16.81
Stewart Cink,16.67
Heath Slocum,16.67
Troy Merritt,16.6
Jim Renner,16.59
Ben Crane,16.57
Ben Martin,16.48
Jhonattan Vegas,16.39
Robert Allenby,16.24
K.J. Choi,16.05
Lucas Glover,15.97
Davis Love III,15.97
J.J. Henry,15.83
Cameron Tringale,15.79
Ricky Barnes,15.42
Billy Hurley III,14.81
D.A. Points,14.76
David Hearn,14.57
Matt Every,14.4
Brian Davis,13.89
