PLAYER,ROUGH TENDENCY
Graeme McDowell,20.66
Henrik Stenson,20.92
Steve Stricker,21.02
K.J. Choi,22.03
Jim Furyk,22.27
Ken Duke,22.53
Tim Clark,22.58
Chez Reavie,22.75
Roberto Castro,22.96
Zach Johnson,22.97
Brian Davis,22.98
Jerry Kelly,23.09
Jordan Spieth,23.23
Mark Wilson,23.28
Ben Kohles,23.36
John Huh,23.45
Justin Hicks,23.47
Colt Knost,23.72
Ryan Moore,23.74
Boo Weekley,23.74
Jeff Maggert,23.87
D.H. Lee,24
Lee Westwood,24.01
Bo Van Pelt,24.06
Doug LaBelle II,24.11
David Toms,24.32
Darron Stiles,24.4
Richard Lee,24.42
Kevin Streelman,24.6
"Ted Potter, Jr.",24.61
Brendon de Jonge,24.65
Brandt Jobe,24.69
Jin Park,24.79
William McGirt,24.85
Hunter Mahan,24.92
Jason Bohn,24.97
Matt Jones,25.08
Brian Stuard,25.2
Billy Horschel,25.28
George McNeill,25.31
Graham DeLaet,25.36
Y.E. Yang,25.44
Chris Stroud,25.56
Nicholas Thompson,25.78
Luke Donald,25.79
Russell Henley,25.79
Greg Chalmers,25.89
Justin Rose,25.94
Tiger Woods,25.97
Dicky Pride,26.13
Brian Gay,26.14
Tom Gillis,26.2
Stuart Appleby,26.22
Vaughn Taylor,26.22
Webb Simpson,26.26
Justin Leonard,26.49
David Lingmerth,26.56
J.J. Henry,26.65
Kevin Stadler,26.72
Scott Langley,26.74
Nick Watney,26.81
Rickie Fowler,26.83
Carl Pettersson,26.84
Charley Hoffman,26.87
Jason Dufner,27
Ian Poulter,27.02
Kevin Chappell,27.05
D.A. Points,27.07
Bryce Molder,27.09
Scott Brown,27.2
Keegan Bradley,27.21
David Hearn,27.25
Bill Haas,27.4
Bob Estes,27.51
Martin Kaymer,27.53
Michael Thompson,27.53
Chad Campbell,27.63
Kyle Stanley,27.76
Cameron Tringale,27.77
Pat Perez,27.86
Ernie Els,27.9
Daniel Summerhays,27.91
Scott Stallings,27.96
Aaron Watkins,27.98
Will Claxton,28
Josh Teater,28.02
Harris English,28.08
David Mathis,28.12
Fabian Gomez,28.2
Sergio Garcia,28.26
Martin Laird,28.26
Rory McIlroy,28.29
Derek Ernst,28.34
Stewart Cink,28.39
John Merrick,28.48
Vijay Singh,28.51
Lucas Glover,28.59
Charl Schwartzel,28.59
Adam Scott,28.62
Chris Kirk,28.67
Rod Pampling,28.69
Charlie Beljan,28.72
Justin Bolli,28.77
Geoff Ogilvy,28.8
Brandt Snedeker,28.8
Charlie Wi,28.82
Ben Crane,28.83
Luke Guthrie,28.86
Andres Romero,28.93
Andrew Svoboda,29.01
Brendan Steele,29.17
Trevor Immelman,29.19
Robert Karlsson,29.22
Ricky Barnes,29.3
D.J. Trahan,29.31
Ryan Palmer,29.34
Jason Day,29.37
Bud Cauley,29.53
Marc Leishman,29.65
Jim Herman,29.67
Cameron Percy,29.77
Erik Compton,29.78
Ben Curtis,29.78
Lee Williams,29.8
John Rollins,29.86
Steven Bowditch,29.87
Rory Sabbatini,29.88
Robert Allenby,30
Jonas Blixt,30.02
Troy Matteson,30.05
Steve LeBrun,30.11
James Hahn,30.16
Padraig Harrington,30.23
Matt Every,30.27
Gary Woodland,30.33
Matt Kuchar,30.38
Camilo Villegas,30.41
Robert Streb,30.57
Freddie Jacobson,30.66
Stephen Ames,30.79
Brian Harman,30.83
Alistair Presnell,30.94
Johnson Wagner,30.97
Bubba Watson,30.98
Henrik Norlander,31
Sangmoon Bae,31.06
Greg Owen,31.11
John Senden,31.12
Ryo Ishikawa,31.13
Charles Howell III,31.16
Michael Bradley,31.18
Jeff Overton,31.18
David Lynn,31.35
Phil Mickelson,31.4
Scott Gardiner,31.56
Patrick Reed,31.66
Angel Cabrera,31.88
Brad Fritsch,31.91
Scott Piercy,31.97
Sean O'Hair,32.18
Tim Herron,32.45
Tommy Gainey,32.56
Jimmy Walker,32.78
Robert Garrigus,33.04
Jason Kokrak,33.1
Morgan Hoffmann,33.52
James Driscoll,33.6
Martin Flores,34.03
Shawn Stefani,34.26
Aaron Baddeley,34.33
Seung-Yul Noh,34.44
Tag Ridings,34.68
Nicolas Colsaerts,34.75
Casey Wittenberg,35.05
Dustin Johnson,35.38
Mike Weir,35.5
Peter Hanson,35.59
Eric Meierdierks,35.83
Bobby Gates,37.09
Luke List,37.66
