PLAYER,scrambling
Jerry Kelly,68.37
Patrick Reed,67.37
Bryce Molder,67.31
Tim Wilkinson,67.23
Jamie Lovemark,66.58
Brian Stuard,66.07
Luke Donald,66.03
Chez Reavie,65.78
Russell Knox,65.59
Brandt Snedeker,65.26
Aaron Baddeley,65.19
Phil Mickelson,65.18
Charl Schwartzel,65.05
Justin Leonard,65.02
Steve Stricker,65.02
David Toms,64.42
Zac Blair,64.16
Jeff Overton,64.16
K.J. Choi,64.06
Chris Kirk,64.06
Stuart Appleby,64
Rickie Fowler,63.98
Charles Howell III,63.89
Jason Day,63.68
Colt Knost,63.68
Alex Cejka,63.61
Matt Kuchar,63.61
Brendon Todd,63.59
Scott Langley,63.54
Marc Leishman,63.42
Bill Haas,63.06
Freddie Jacobson,62.99
Si Woo Kim,62.92
Sean O'Hair,62.9
Jordan Spieth,62.9
Russell Henley,62.55
Jonas Blixt,62.47
Tom Hoge,62.43
Graeme McDowell,62.26
William McGirt,62.15
Jon Curran,62.02
Lucas Glover,61.99
Branden Grace,61.96
Mark Hubbard,61.9
Sung Kang,61.89
Kevin Chappell,61.88
Kevin Na,61.86
Danny Lee,61.62
Camilo Villegas,61.6
Webb Simpson,61.57
Chad Campbell,61.42
Spencer Levin,61.4
Luke List,61.32
Peter Malnati,61.29
Andrew Landry,61.27
J.B. Holmes,61.18
Harris English,61.17
David Hearn,61.16
Francesco Molinari,61.13
Hideki Matsuyama,61.09
Mark Wilson,61.06
Jamie Donaldson,61.05
Charley Hoffman,61
Jim Herman,60.99
Tim Herron,60.94
Padraig Harrington,60.92
Dicky Pride,60.92
Shane Bertsch,60.87
Retief Goosen,60.87
Rory McIlroy,60.64
Zach Johnson,60.59
Henrik Norlander,60.46
Dustin Johnson,60.42
Patton Kizzire,60.38
Billy Hurley III,60.34
Cameron Tringale,60.18
Jason Kokrak,60.12
Bronson Burgoon,60.11
Tony Finau,60.11
Thomas Aiken,60.09
Derek Ernst,60.09
Michael Kim,60
Daniel Summerhays,59.95
Paul Casey,59.91
Roberto Castro,59.82
Steve Wheatcroft,59.81
Nick Taylor,59.8
Ben Crane,59.78
Daniel Berger,59.75
Ricky Barnes,59.47
Ian Poulter,59.43
Derek Fathauer,59.42
Martin Piller,59.32
Luke Guthrie,59.29
Will Wilcox,59.27
Chad Collins,59.24
Tyrone Van Aswegen,59.24
Cameron Smith,59.19
Jason Gore,59.16
Scott Brown,59.12
John Senden,58.98
Brian Harman,58.95
Anirban Lahiri,58.95
Adam Scott,58.92
Brice Garnett,58.89
Johnson Wagner,58.84
Wes Roach,58.82
Justin Rose,58.82
Martin Laird,58.77
Patrick Rodgers,58.76
Whee Kim,58.68
D.A. Points,58.62
David Lingmerth,58.6
Hiroshi Iwata,58.58
Morgan Hoffmann,58.54
John Huh,58.45
Shawn Stefani,58.45
Brooks Koepka,58.44
Brett Stegmaier,58.23
Chris Stroud,58.17
Jhonattan Vegas,58.13
Scott Stallings,58.01
Smylie Kaufman,57.99
Vijay Singh,57.99
Sam Saunders,57.97
Adam Hadwin,57.89
Ryan Moore,57.89
Rob Oppenheim,57.89
Ryan Palmer,57.85
Justin Thomas,57.85
Fabian Gomez,57.79
James Hahn,57.49
Gary Woodland,57.48
Rory Sabbatini,57.36
Jimmy Walker,57.28
Jason Bohn,57.25
Tyler Aldridge,57.22
Troy Merritt,57.19
Boo Weekley,56.95
Seung-Yul Noh,56.88
Bubba Watson,56.69
Hudson Swafford,56.68
Kevin Kisner,56.63
Carl Pettersson,56.38
Ben Martin,56.36
Hunter Mahan,56.33
Brendon de Jonge,56.32
Harold Varner III,56.2
Scott Piercy,56.08
Jason Dufner,56.06
Andres Gonzales,55.98
Brendan Steele,55.94
Blayne Barber,55.9
Henrik Stenson,55.88
Kyle Stanley,55.7
Ernie Els,55.67
Steve Marino,55.67
Michael Thompson,55.52
Abraham Ancer,55.5
Rhein Gibson,55.46
Davis Love III,55.39
Angel Cabrera,55.24
Charlie Beljan,55.19
Billy Horschel,55.11
Sergio Garcia,55.09
Erik Compton,55.03
Will MacKenzie,54.97
Robert Streb,54.73
Andy Sullivan,54.72
Pat Perez,54.71
Bernd Wiesberger,54.62
Chesson Hadley,54.55
George McNeill,54.41
Geoff Ogilvy,54.24
Emiliano Grillo,53.9
Robert Garrigus,53.88
J.J. Henry,53.87
Andrew Loupe,53.76
Shane Lowry,53.68
Kyle Reifers,53.65
Matt Jones,53.53
Scott Pinckney,53.5
Vaughn Taylor,53.48
Kevin Streelman,53.42
Kelly Kraft,53.33
Graham DeLaet,53.16
Dawie van der Walt,53
Stewart Cink,52.76
Louis Oosthuizen,52.41
Keegan Bradley,52.21
Matt Every,51.84
Darron Stiles,51.43
Ken Duke,51.41
Steven Bowditch,51.09
Robert Allenby,51.01
D.H. Lee,50.9
Greg Owen,50.73
Carlos Ortiz,48.94
Justin Hicks,48
