PLAYER,ONE PUTT PCT
Steve Stricker,44.77
Kevin Na,44.25
Luke Donald,43.86
Jason Day,43.53
Greg Chalmers,43.24
Geoff Ogilvy,42.76
Brandt Snedeker,42.48
Bryce Molder,41.94
Andres Romero,41.92
Charlie Wi,41.7
Ryan Moore,41.41
Anthony Kim,41.39
Pat Perez,41.37
Rickie Fowler,41.29
Chris Couch,41.25
Matt Kuchar,41.16
Roland Thatcher,41.04
Ryan Palmer,40.97
Y.E. Yang,40.96
Nick Watney,40.91
Zach Johnson,40.74
Aaron Baddeley,40.62
Dean Wilson,40.59
Padraig Harrington,40.4
Robert Karlsson,40.4
Jimmy Walker,40.37
Brian Gay,40.19
Matt Jones,40.14
D.A. Points,40.14
Arjun Atwal,40.05
Webb Simpson,40.02
Steve Marino,39.99
Vaughn Taylor,39.89
Steve Flesch,39.84
Brian Davis,39.68
Ryuji Imada,39.63
Ian Poulter,39.54
Steven Bowditch,39.53
Ben Crane,39.5
Phil Mickelson,39.47
Chris Kirk,39.4
Kevin Streelman,39.26
Mark Wilson,39.21
Martin Laird,39.11
Hunter Mahan,39.08
Adam Scott,39.08
David Duval,39.05
Camilo Villegas,39.05
Matt Bettencourt,38.96
Carl Pettersson,38.83
Stuart Appleby,38.8
Charl Schwartzel,38.79
Jonathan Byrd,38.75
Justin Leonard,38.75
Lucas Glover,38.74
Michael Connell,38.67
Retief Goosen,38.66
Freddie Jacobson,38.65
Brendon de Jonge,38.62
Nathan Green,38.61
Vijay Singh,38.54
Blake Adams,38.51
Tim Petrovic,38.51
Scott McCarron,38.46
Marc Leishman,38.31
Ben Curtis,38.22
Harrison Frazar,38.22
Bo Van Pelt,38.09
Graeme McDowell,37.94
J.P. Hayes,37.9
Jeff Overton,37.85
Paul Goydos,37.79
Garrett Willis,37.79
Robert Garrigus,37.75
Hunter Haas,37.73
Sergio Garcia,37.7
David Mathis,37.68
Tim Herron,37.65
Chris DiMarco,37.57
Matt McQuillan,37.57
Cameron Beckman,37.56
Jason Dufner,37.54
Chez Reavie,37.5
Scott Piercy,37.46
Steve Elkington,37.44
K.J. Choi,37.33
J.B. Holmes,37.32
Jarrod Lyle,37.22
Ricky Barnes,37.18
Bio Kim,37.17
Angel Cabrera,37.11
Robert Allenby,37.08
Woody Austin,37.01
Jerry Kelly,36.99
Sean O'Hair,36.98
David Toms,36.97
Stephen Ames,36.96
Jim Furyk,36.95
Nate Smith,36.95
Rocco Mediate,36.9
Joe Ogilvie,36.89
Paul Stankowski,36.89
Jason Bohn,36.86
Charley Hoffman,36.84
Justin Rose,36.8
Bill Haas,36.71
Tommy Gainey,36.7
Michael Putnam,36.65
Bubba Watson,36.64
Dustin Johnson,36.62
Kevin Chappell,36.54
Michael Thompson,36.5
Keegan Bradley,36.45
Alex Cejka,36.44
Charles Howell III,36.42
Brendan Steele,36.39
Zack Miller,36.3
Rich Beem,36.27
Chris Stroud,36.24
Gary Woodland,36.2
Shaun Micheel,36.15
Daniel Summerhays,36.15
Nick O'Hern,36.14
Stewart Cink,36.11
Trevor Immelman,36.11
Billy Mayfair,36.11
Cameron Tringale,36.01
Johnson Wagner,36.01
Troy Merritt,35.98
Tom Gillis,35.96
Shane Bertsch,35.93
Kevin Kisner,35.87
Tag Ridings,35.76
Ben Martin,35.74
Will Strickler,35.73
Spencer Levin,35.69
Sung Kang,35.63
Troy Matteson,35.59
Brandt Jobe,35.56
Rory Sabbatini,35.56
Bill Lunde,35.51
Davis Love III,35.48
William McGirt,35.44
Chris Riley,35.38
Martin Piller,35.36
John Rollins,35.29
D.J. Trahan,35.29
Chad Campbell,35.19
Lee Janzen,35.04
D.J. Brigman,34.99
James Driscoll,34.98
John Senden,34.93
Kris Blanks,34.84
Colt Knost,34.79
Scott Stallings,34.72
Rod Pampling,34.65
Derek Lamely,34.62
George McNeill,34.62
Jim Renner,34.62
Josh Teater,34.56
Jhonattan Vegas,34.52
Kyle Stanley,34.35
Billy Horschel,34.07
David Hearn,34.03
Kent Jones,33.92
Marc Turnesa,33.85
Heath Slocum,33.78
Aron Price,33.62
Michael Bradley,33.41
Andres Gonzales,33.33
J.J. Henry,33.22
Kevin Stadler,33.08
Fabian Gomez,33.07
John Merrick,32.86
Richard Johnson,32.73
Joe Durant,32.71
Ernie Els,32.69
Alex Prugh,32.52
Bobby Gates,32.45
Briny Baird,32.31
Scott Gutschewski,32.26
Joseph Bramlett,32.12
Boo Weekley,31.31
Justin Hicks,30.28
Jim Herman,30.03
Alexandre Rocha,28.55
