PLAYER,Strokes gained tee to green
Webb Simpson,1.45
Luke Donald,1.314
Phil Mickelson,1.24
Sergio Garcia,1.131
Nick Watney,1.12
Kyle Stanley,1.113
Gary Woodland,1.098
Matt Kuchar,1.097
Rory Sabbatini,1.063
Bo Van Pelt,1.03
Dustin Johnson,0.99
Robert Allenby,0.989
Charl Schwartzel,0.987
Chad Campbell,0.967
Steve Stricker,0.92
D.J. Trahan,0.896
Martin Laird,0.891
Ernie Els,0.871
K.J. Choi,0.861
J.B. Holmes,0.856
Jim Furyk,0.848
David Toms,0.846
Justin Rose,0.843
Boo Weekley,0.829
Adam Scott,0.824
Charles Howell III,0.814
Spencer Levin,0.782
Bill Haas,0.777
Aaron Baddeley,0.741
Jason Dufner,0.741
Ricky Barnes,0.733
Charley Hoffman,0.699
John Rollins,0.694
Bubba Watson,0.68
John Senden,0.657
Vijay Singh,0.649
Hunter Mahan,0.637
Robert Karlsson,0.595
Billy Mayfair,0.569
Brian Davis,0.566
Davis Love III,0.565
Joe Durant,0.564
Chris Kirk,0.555
Kris Blanks,0.546
Brandt Jobe,0.546
Robert Garrigus,0.516
Rickie Fowler,0.48
Kevin Streelman,0.469
Alex Cejka,0.458
Chez Reavie,0.452
Brandt Snedeker,0.452
Jerry Kelly,0.451
Woody Austin,0.441
Zach Johnson,0.423
Heath Slocum,0.41
Stewart Cink,0.408
Rod Pampling,0.406
Steve Marino,0.394
Nick O'Hern,0.384
Briny Baird,0.377
Ben Crane,0.36
Jason Day,0.352
John Merrick,0.341
Carl Pettersson,0.334
Camilo Villegas,0.325
Jonathan Byrd,0.319
Ryan Moore,0.284
Mark Wilson,0.269
Brendon de Jonge,0.26
Pat Perez,0.228
Geoff Ogilvy,0.219
Freddie Jacobson,0.218
Keegan Bradley,0.201
Brian Gay,0.194
Chris Stroud,0.192
Josh Teater,0.185
J.J. Henry,0.173
Shane Bertsch,0.169
Kevin Chappell,0.164
Lucas Glover,0.156
Scott Stallings,0.153
Kevin Na,0.121
Marc Leishman,0.116
Graeme McDowell,0.112
Sean O'Hair,0.097
Kevin Stadler,0.095
Jhonattan Vegas,0.091
Jimmy Walker,0.09
Chris Riley,0.087
Aron Price,0.085
Chris DiMarco,0.08
Chris Couch,0.072
Jim Herman,0.066
Tommy Gainey,0.061
Harrison Frazar,0.058
Cameron Tringale,0.039
Retief Goosen,0.038
Scott Piercy,0.036
Michael Bradley,0.011
Y.E. Yang,0.004
Joseph Bramlett,0.003
Jeff Overton,0.002
Bill Lunde,-0.004
Brendan Steele,-0.016
Padraig Harrington,-0.017
D.A. Points,-0.028
David Hearn,-0.039
Troy Matteson,-0.044
Justin Leonard,-0.046
Ryuji Imada,-0.054
Paul Goydos,-0.055
Scott Gutschewski,-0.056
Andres Romero,-0.057
Trevor Immelman,-0.063
George McNeill,-0.077
Ryan Palmer,-0.079
Tim Herron,-0.08
Ben Curtis,-0.086
Ian Poulter,-0.087
Blake Adams,-0.128
William McGirt,-0.128
Bryce Molder,-0.133
Hunter Haas,-0.156
Jason Bohn,-0.168
Vaughn Taylor,-0.193
David Mathis,-0.208
Tom Gillis,-0.224
Billy Horschel,-0.229
Sung Kang,-0.241
James Driscoll,-0.252
Kent Jones,-0.261
Garrett Willis,-0.318
Stephen Ames,-0.326
Greg Chalmers,-0.329
Anthony Kim,-0.34
Johnson Wagner,-0.364
Tag Ridings,-0.365
Jim Renner,-0.366
Angel Cabrera,-0.396
Tim Petrovic,-0.398
Alex Prugh,-0.41
Michael Connell,-0.419
Paul Stankowski,-0.435
David Duval,-0.458
Cameron Beckman,-0.482
Steven Bowditch,-0.492
Matt Jones,-0.493
Arjun Atwal,-0.505
Alexandre Rocha,-0.513
Marc Turnesa,-0.538
Charlie Wi,-0.543
Bobby Gates,-0.562
Nathan Green,-0.563
Joe Ogilvie,-0.57
Stuart Appleby,-0.571
Fabian Gomez,-0.571
Michael Thompson,-0.6
J.P. Hayes,-0.619
Justin Hicks,-0.624
Steve Flesch,-0.627
Lee Janzen,-0.653
Michael Putnam,-0.685
Zack Miller,-0.692
Matt McQuillan,-0.702
Steve Elkington,-0.729
Ben Martin,-0.746
Roland Thatcher,-0.771
Jarrod Lyle,-0.78
Shaun Micheel,-0.783
Rich Beem,-0.784
Dean Wilson,-0.784
Troy Merritt,-0.804
D.J. Brigman,-0.91
Bio Kim,-0.972
Andres Gonzales,-0.987
Matt Bettencourt,-0.992
Scott McCarron,-1.048
Kevin Kisner,-1.053
Colt Knost,-1.084
Rocco Mediate,-1.085
Derek Lamely,-1.177
Richard Johnson,-1.253
Nate Smith,-1.353
Daniel Summerhays,-1.443
Will Strickler,-1.493
Martin Piller,-1.573
