PLAYER,ONE PUTT PCT
Brandt Snedeker,44.3
Aaron Baddeley,44.21
Greg Chalmers,43.3
Y.E. Yang,42.92
Jonas Blixt,42.9
Phil Mickelson,42.76
Jason Day,42.63
Zach Johnson,42.61
Ian Poulter,42.26
Padraig Harrington,41.89
Brian Gay,41.76
Carl Pettersson,41.73
Ryuji Imada,41.67
Charlie Wi,41.54
Tom Gillis,41.48
Kevin Na,41.28
Ben Crane,41.2
Rory Sabbatini,41.14
Robert Karlsson,41.13
Pat Perez,41.07
Matt Kuchar,41.06
Geoff Ogilvy,40.97
Rory McIlroy,40.84
Scott Piercy,40.82
Brian Harman,40.81
Spencer Levin,40.79
Bob Estes,40.74
Ryan Palmer,40.74
Dustin Johnson,40.71
Chris Couch,40.68
Ryan Moore,40.45
Keegan Bradley,40.4
Bo Van Pelt,40.36
John Daly,40.34
Tommy Gainey,40.31
Harrison Frazar,40.23
Webb Simpson,40.13
Michael Thompson,40.07
Tiger Woods,40.05
Sangmoon Bae,40.04
Jeff Overton,40.04
Derek Lamely,40.02
Luke Donald,39.96
Charl Schwartzel,39.92
Jason Dufner,39.91
Ken Duke,39.8
Chris DiMarco,39.71
Justin Leonard,39.7
Stuart Appleby,39.67
Bud Cauley,39.56
Colt Knost,39.54
J.J. Killeen,39.52
Bryce Molder,39.52
Graeme McDowell,39.51
Jonathan Byrd,39.46
David Toms,39.46
Freddie Jacobson,39.44
Chris Stroud,39.41
Brian Davis,39.38
Gavin Coles,39.37
Tom Pernice Jr.,39.37
Rickie Fowler,39.36
Sergio Garcia,39.29
David Mathis,39.09
Daniel Chopra,38.99
Steve Stricker,38.97
Garth Mulroy,38.89
Josh Teater,38.89
Nick Watney,38.83
Jimmy Walker,38.78
James Driscoll,38.76
Billy Hurley III,38.73
Davis Love III,38.72
Kevin Chappell,38.7
David Hearn,38.65
Marc Leishman,38.62
Martin Flores,38.54
Sung Kang,38.51
John Huh,38.5
Jim Furyk,38.49
Hunter Haas,38.46
Martin Laird,38.43
Chris Kirk,38.39
Tommy Biershenk,38.19
Matt Every,38.19
Ernie Els,38.18
Tim Clark,38.15
Nick O'Hern,38.14
Matt Bettencourt,38.08
Trevor Immelman,38.08
Johnson Wagner,38.01
Mark Wilson,37.96
Robert Garrigus,37.95
Troy Kelly,37.93
Jason Kokrak,37.93
J.B. Holmes,37.86
Andres Romero,37.85
Justin Rose,37.83
Mark Anderson,37.75
Jeff Maggert,37.75
Billy Mayfair,37.66
Erik Compton,37.52
George McNeill,37.52
Charley Hoffman,37.5
John Senden,37.46
Brendon Todd,37.46
D.A. Points,37.44
Vijay Singh,37.43
Jason Bohn,37.37
Jerry Kelly,37.37
Cameron Tringale,37.37
Kevin Kisner,37.35
Arjun Atwal,37.33
Bill Haas,37.32
John Rollins,37.3
Cameron Beckman,37.23
"Ted Potter, Jr.",37.23
John Mallinger,37.22
Ricky Barnes,37.18
Kevin Streelman,37.02
Rocco Mediate,37.01
Bill Lunde,36.78
K.J. Choi,36.75
Harris English,36.73
William McGirt,36.63
Louis Oosthuizen,36.6
Richard Lee,36.57
Gary Woodland,36.55
Adam Scott,36.49
Danny Lee,36.43
Greg Owen,36.36
Stephen Ames,36.32
Scott Stallings,36.32
Charles Howell III,36.28
Tim Herron,36.17
Troy Matteson,36.17
Brendon de Jonge,36.14
Bobby Gates,36.08
Nathan Green,36.07
Kyle Stanley,36.04
Seung-Yul Noh,36.03
Dicky Pride,36.02
Stewart Cink,35.99
D.J. Trahan,35.99
Brendan Steele,35.92
Lee Westwood,35.91
Sean O'Hair,35.85
Chad Campbell,35.78
Gary Christian,35.76
Rod Pampling,35.65
Vaughn Taylor,35.65
Camilo Villegas,35.64
Blake Adams,35.62
Bubba Watson,35.61
Graham DeLaet,35.58
Matt Jones,35.43
John Merrick,35.37
Billy Horschel,35.31
Russell Knox,35.29
Chez Reavie,35.27
Ryo Ishikawa,35.26
Steve Wheatcroft,35.26
Roberto Castro,35.19
Will Claxton,35.19
Stephen Gangluff,35.15
Patrick Sheehan,35.12
Kevin Stadler,35.12
Mathew Goggin,35.1
Hunter Mahan,35.09
Ben Curtis,35.04
Miguel Angel Carballo,35.02
Robert Allenby,35.01
Henrik Stenson,34.86
Kris Blanks,34.7
Heath Slocum,34.58
Edward Loar,34.41
Marco Dawson,34.29
Scott Dunlap,34.28
Scott Brown,34.22
Kyle Thompson,34.13
Daniel Summerhays,34.02
Brandt Jobe,33.92
Kyle Reifers,33.85
Jhonattan Vegas,33.84
Roland Thatcher,33.33
Angel Cabrera,33.13
J.J. Henry,32.77
Alexandre Rocha,32.66
Michael Bradley,32.63
Charlie Beljan,32.46
Boo Weekley,30.79
