PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Jason Bohn,108.6,113.23,105.59
Scott Langley,108.42,111.11,104.66
Ben Crane,108.29,111.11,105
Justin Bolli,108.24,112.53,104.96
Ben Curtis,108.24,110.57,104.27
Bryce Molder,108.06,111.2,104.24
David Lynn,108.02,111.28,104.7
Zach Johnson,108.01,110.83,104.89
Chez Reavie,107.86,111.59,105.51
Mark Wilson,107.37,110.17,103.9
Brian Davis,107.36,112.78,104.22
Doug LaBelle II,107.14,111.31,103.61
Aaron Watkins,106.93,110.52,101.79
Dicky Pride,106.83,109.57,103.68
Justin Leonard,106.44,109.99,103.17
Lee Williams,106.2,109.79,103.73
Colt Knost,105.82,109.24,102.2
David Toms,105.73,112.32,101.27
Jerry Kelly,105.58,107.73,102.88
Jeff Maggert,105.49,107.42,101.79
Brian Gay,104.99,118.84,101.82
Darron Stiles,104.89,109.36,101.72
Tim Clark,104.58,107.57,101.51
Jin Park,104.48,107.85,100.57
