PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Bubba Watson,123.58,127.76,118.07
J.B. Holmes,122.75,129.78,113.72
Chris Couch,122.06,128.29,117.91
Dustin Johnson,121.94,127.84,118.28
Robert Garrigus,121.92,126.55,118.84
Graham DeLaet,121.26,124.77,117.14
Angel Cabrera,120.63,123.61,116.16
Aaron Baddeley,119.95,124.53,113.93
Phil Mickelson,119.56,123.61,114.72
Paul Casey,119.37,125.75,115.62
Jimmy Walker,119.27,125.01,114.83
Martin Flores,119.25,122.66,115.57
Brett Wetterich,119.1,122.92,110.24
Charley Hoffman,118.88,124.55,114.03
Sergio Garcia,118.83,123.79,114.44
James Driscoll,118.75,123.36,114.71
Bill Haas,118.55,123.9,113.9
Nick Watney,118.5,123.45,114.84
Adam Scott,118.42,124.98,114.68
John Daly,118.18,121.44,108.17
Martin Laird,118.12,124.65,112.93
Jason Day,117.88,123.26,107.8
Charles Howell III,117.85,121.09,114.4
Charles Warren,117.7,121.33,108.64
Davis Love III,117.68,121.44,113.47
Troy Matteson,117.33,121.2,113.6
Alex Prugh,117.2,121.2,113.37
John Senden,117.19,121.83,108.65
Daniel Chopra,117.06,121.46,110.34
Ricky Barnes,116.87,120.59,113.28
Marc Leishman,116.82,121.56,112.57
George McNeill,116.81,119.79,111.09
Andres Romero,116.56,122.23,112.91
Rory McIlroy,116.55,122.69,112.02
Lucas Glover,116.41,120.19,112.05
Matt Jones,116.41,122.4,112.08
Derek Lamely,116.34,120.79,112.41
D.J. Trahan,115.99,121.93,110.9
Greg Owen,115.88,119.98,110.35
J.J. Henry,115.86,122.19,111.5
Jonathan Byrd,115.8,120.91,112.28
Trevor Immelman,115.78,122.35,106.88
Jeff Overton,115.77,120.92,108.03
Scott Piercy,115.65,121.07,111.2
Kevin Streelman,115.6,119.39,111.58
Cameron Tringale,115.57,120.3,112.26
Stewart Cink,115.53,120.51,111.45
Boo Weekley,115.52,120.98,111.13
Padraig Harrington,115.43,120.97,110.25
Retief Goosen,115.32,120.97,109.43
Blake Adams,115.31,119.14,108.9
Matt Every,115.25,121.14,111.82
Garth Mulroy,115.23,119.49,111.88
Stuart Appleby,115.21,120.61,109.56
Rickie Fowler,115.17,120.03,110.77
James Nitties,114.96,119.33,111.54
Matt Bettencourt,114.88,119.24,110.53
Ryan Palmer,114.84,120.41,111.1
Mathew Goggin,114.82,118.71,111.62
John Rollins,114.78,119.29,109.25
Camilo Villegas,114.77,118.92,111.21
Pat Perez,114.74,118.93,106.44
Bo Van Pelt,114.68,118.6,111.12
David Duval,114.6,119.29,110.73
Andrew McLardy,114.54,118.87,106.88
Tom Gillis,114.5,117.86,105.75
Brenden Pappas,114.5,118.62,110.99
Steve Marino,114.43,116.95,111.25
Cameron Percy,114.34,118.71,111.03
Ted Purdy,114.32,119.1,110.96
Geoff Ogilvy,114.08,118,110.97
Josh Teater,114.08,118.38,110.61
Rory Sabbatini,114.06,118.07,111.1
Kevin Stadler,114,119.6,110.57
Freddie Jacobson,113.96,118.35,110.35
Ernie Els,113.92,118.58,110.34
Ryan Moore,113.9,119.94,109.98
Troy Merritt,113.82,117.16,109.44
Vijay Singh,113.77,117.85,110.11
Scott McCarron,113.7,117.78,108.38
Chris Wilson,113.65,117.68,107.47
Sean O'Hair,113.61,118.03,110.2
Justin Rose,113.57,117.69,109.77
Y.E. Yang,113.56,118.61,109.93
Brendon de Jonge,113.4,118.81,107.9
Jeev Milkha Singh,113.25,117.89,108.89
Rich Barcelo,113.21,116.78,108.6
Chris Tidland,113.2,119.48,109.85
Michael Letzig,113.07,119.6,105.86
Jarrod Lyle,113.06,116.34,109.84
Michael Bradley,113.04,116.83,109.31
Lee Janzen,112.94,118.19,108.86
Robert Allenby,112.87,116.88,108.29
Woody Austin,112.84,117.32,109.38
Joe Durant,112.84,116.18,108.97
Michael Sim,112.83,117.6,109.16
Henrik Bjornstad,112.66,116.03,108.87
Nicholas Thompson,112.62,118,108.98
Brett Quigley,112.58,119.32,108.79
Mark Calcavecchia,112.57,115.63,108.73
Chad Campbell,112.57,115.96,107.95
Steve Lowery,112.54,116.86,109.09
Tim Herron,112.53,115.79,106.12
Vance Veazey,112.51,117.07,108.07
David Lutterus,112.46,117.33,109.52
Rod Pampling,112.46,116.63,107.32
Roger Tambellini,112.42,117.03,108.79
Hunter Mahan,112.31,117.03,107.96
Bob Estes,112.18,115.32,108.11
Stephen Ames,112.15,115.13,107.67
Chris Stroud,112.09,116.76,109.04
Charlie Wi,112.08,117.34,107.14
Mathias Gronberg,112.05,115.81,108.39
John Merrick,112.04,116.96,106.31
Kevin Sutherland,112.01,116.17,107.89
Will MacKenzie,112,116.77,108
Paul Stankowski,111.71,115.56,109.11
Kris Blanks,111.58,115.48,105.93
Nathan Green,111.35,117.02,105.89
Kevin Na,111.35,115.51,106.48
Roland Thatcher,111.26,116.98,103.47
K.J. Choi,111.24,115.79,107.84
Steve Stricker,111.18,116.48,107.72
Jason Dufner,111.15,114.98,106.16
Bill Lunde,111.15,115.11,108.65
Kenny Perry,111.14,117.13,106.61
Joe Ogilvie,111.06,114.3,104.64
Shaun Micheel,111.01,116.39,105.42
Tim Petrovic,110.9,114.26,105.97
Luke Donald,110.86,115.89,106.71
Ian Poulter,110.84,115.23,108.38
Johnson Wagner,110.81,114.52,107.02
Matt Kuchar,110.76,115.07,106.91
D.A. Points,110.73,114.71,106.57
Webb Simpson,110.59,116.37,106.72
Jeff Gove,110.58,114.9,106.78
Chad Collins,110.51,117.15,105.99
Greg Chalmers,110.19,115.41,105
Brian Stuard,110.14,113.93,107.25
Steve Elkington,110.06,114.89,100.76
Spencer Levin,110.01,113.59,106.47
Cameron Beckman,109.93,114.84,105.19
Briny Baird,109.91,114.1,106.48
Steve Wheatcroft,109.91,113.61,106.5
Ryuji Imada,109.83,114.83,106.99
Garrett Willis,109.74,114.61,105.44
Vaughn Taylor,109.73,113.91,105.03
Carl Pettersson,109.72,115.19,104.17
Bryce Molder,109.63,113.64,105.22
Michael Connell,109.51,113.2,105.95
Jay Williamson,109.49,115.13,102.93
Billy Mayfair,109.48,113.16,106.1
Jason Bohn,109.4,115.25,103.97
Chris Riley,109.13,113.85,105.1
Ben Crane,108.96,112.31,104.92
Dean Wilson,108.94,113.22,103.53
Richard Johnson,108.92,115.26,102.72
Jim Furyk,108.83,113.33,104.66
Mike Weir,108.78,112.95,105.84
Steve Flesch,108.7,112.62,105.12
Kevin Johnson,108.58,112.12,104.43
Jerry Kelly,108.44,111.88,104.79
Ben Curtis,108.42,112.26,105.77
Tom Pernice Jr.,108.33,112.23,103.34
Jerod Turner,108.33,111.62,105.09
J.P. Hayes,108.21,113.99,104.39
Brandt Snedeker,108.16,112.7,104.44
Brian Davis,108.13,112.5,101.69
Rocco Mediate,108.11,112.64,104.84
Justin Leonard,108.05,113.02,102.53
Chris DiMarco,107.97,112.37,104.7
Zach Johnson,107.92,114.78,104.61
Alex Cejka,107.76,111.83,103.78
Aron Price,107.64,110.94,104.51
Justin Bolli,107.48,115.02,104.66
David Toms,107.18,110.71,104.06
Cliff Kresge,107.01,112.27,102.26
Scott Verplank,106.92,109.71,103.2
Heath Slocum,106.9,110.4,102.44
John Mallinger,106.88,115.45,102.18
Brent Delahoussaye,106.85,110.96,103.95
Mark Wilson,106.81,110.61,104.06
Skip Kendall,106.53,109.81,104.18
Jeff Maggert,106.4,111.67,100.94
Brad Faxon,106.11,110.42,101.91
Tim Clark,105.88,110.82,102.11
Paul Goydos,105.88,111.48,100.82
Omar Uresti,105.71,109.21,103.5
Greg Kraft,105.64,109.09,98.99
Jeff Quinney,105.2,109.65,102.17
Brian Gay,103.04,108.02,99.77
Craig Bowden,102.71,105.53,99.58
