PLAYER,Putts per round
Jonas Blixt,27.89
Brandt Snedeker,27.92
Greg Chalmers,27.93
Aaron Baddeley,28.07
Brian Gay,28.13
Charlie Wi,28.24
Kevin Na,28.39
Ian Poulter,28.39
Padraig Harrington,28.41
Jason Day,28.42
Zach Johnson,28.45
Carl Pettersson,28.46
Phil Mickelson,28.49
Y.E. Yang,28.5
Matt Kuchar,28.51
David Mathis,28.58
Daniel Chopra,28.59
Chris DiMarco,28.59
Bob Estes,28.59
Brian Davis,28.61
Billy Hurley III,28.62
Luke Donald,28.63
Dustin Johnson,28.64
J.J. Killeen,28.65
Spencer Levin,28.65
Sergio Garcia,28.66
Tom Gillis,28.67
Ken Duke,28.68
Ryuji Imada,28.68
Jeff Overton,28.7
Martin Flores,28.71
Rory McIlroy,28.72
Pat Perez,28.72
Geoff Ogilvy,28.74
Ryan Palmer,28.74
Scott Piercy,28.74
Charl Schwartzel,28.74
Ben Crane,28.75
Kevin Kisner,28.75
Sangmoon Bae,28.77
Jimmy Walker,28.78
Brian Harman,28.79
Webb Simpson,28.79
James Driscoll,28.8
Tommy Biershenk,28.81
Chris Couch,28.81
Rory Sabbatini,28.81
Bo Van Pelt,28.81
Matt Bettencourt,28.82
Derek Lamely,28.82
Gavin Coles,28.86
Ryan Moore,28.87
Brendon Todd,28.87
Keegan Bradley,28.88
Chris Stroud,28.88
Bud Cauley,28.89
John Daly,28.89
Tommy Gainey,28.91
Bryce Molder,28.91
Tiger Woods,28.91
Matt Every,28.92
Justin Leonard,28.93
Hunter Haas,28.97
Danny Lee,28.98
Erik Compton,29
Dicky Pride,29
Michael Thompson,29
Vaughn Taylor,29.01
Graeme McDowell,29.02
Troy Kelly,29.03
Jim Furyk,29.05
Steve Stricker,29.06
Jason Dufner,29.07
Sung Kang,29.07
Stuart Appleby,29.08
Rocco Mediate,29.09
Tom Pernice Jr.,29.09
Freddie Jacobson,29.1
Davis Love III,29.11
Jonathan Byrd,29.12
David Hearn,29.12
Colt Knost,29.14
John Huh,29.15
Chris Kirk,29.15
Rickie Fowler,29.17
George McNeill,29.17
Jerry Kelly,29.18
Marco Dawson,29.2
Harrison Frazar,29.2
J.B. Holmes,29.21
Andres Romero,29.22
David Toms,29.22
Arjun Atwal,29.23
Garth Mulroy,29.23
William McGirt,29.24
Jason Bohn,29.25
Marc Leishman,29.26
Robert Karlsson,29.27
Patrick Sheehan,29.27
Mark Anderson,29.28
Seung-Yul Noh,29.28
Nick Watney,29.29
Kevin Chappell,29.3
K.J. Choi,29.3
Nick O'Hern,29.3
Henrik Stenson,29.3
Brandt Jobe,29.32
Tim Clark,29.33
Bill Haas,29.33
"Ted Potter, Jr.",29.33
Kevin Streelman,29.34
Blake Adams,29.35
Nathan Green,29.35
Ben Curtis,29.36
Mark Wilson,29.36
Richard Lee,29.37
John Mallinger,29.39
Troy Matteson,29.39
Ernie Els,29.4
Johnson Wagner,29.4
Matt Jones,29.41
Jeff Maggert,29.41
Justin Rose,29.41
Vijay Singh,29.41
Billy Horschel,29.42
Brendon de Jonge,29.44
Ryo Ishikawa,29.44
John Senden,29.44
Bill Lunde,29.45
Louis Oosthuizen,29.46
Stephen Ames,29.48
Billy Mayfair,29.48
D.A. Points,29.48
John Rollins,29.48
Rod Pampling,29.5
Harris English,29.52
Martin Laird,29.52
Gary Christian,29.53
Adam Scott,29.53
Josh Teater,29.53
Charles Howell III,29.54
Miguel Angel Carballo,29.55
Stephen Gangluff,29.55
Daniel Summerhays,29.55
Will Claxton,29.56
Robert Garrigus,29.56
Jason Kokrak,29.56
Charley Hoffman,29.58
Cameron Tringale,29.58
Trevor Immelman,29.59
Roberto Castro,29.62
Graham DeLaet,29.63
Russell Knox,29.64
Kevin Stadler,29.64
Steve Wheatcroft,29.64
Charlie Beljan,29.66
Edward Loar,29.66
Sean O'Hair,29.67
Bobby Gates,29.69
Stewart Cink,29.7
Angel Cabrera,29.72
Bubba Watson,29.73
Kyle Reifers,29.76
Scott Stallings,29.77
Michael Bradley,29.78
Tim Herron,29.78
Mathew Goggin,29.79
Ricky Barnes,29.8
Scott Brown,29.8
Chad Campbell,29.83
Gary Woodland,29.83
Chez Reavie,29.86
Greg Owen,29.87
Heath Slocum,29.87
Cameron Beckman,29.88
Kris Blanks,29.89
Hunter Mahan,29.9
Kyle Stanley,29.9
Robert Allenby,29.91
J.J. Henry,29.91
D.J. Trahan,29.91
Camilo Villegas,29.92
Jhonattan Vegas,29.93
Roland Thatcher,29.98
John Merrick,30.01
Brendan Steele,30.03
Lee Westwood,30.06
Kyle Thompson,30.13
Alexandre Rocha,30.18
Scott Dunlap,30.22
Boo Weekley,30.5
