PLAYER,Putts per round
Jordan Spieth,27.82
Patrick Reed,28.16
Steven Bowditch,28.2
Phil Mickelson,28.23
Matt Jones,28.25
Brandt Snedeker,28.26
Danny Lee,28.27
Aaron Baddeley,28.28
Morgan Hoffmann,28.29
Ricky Barnes,28.31
J.B. Holmes,28.32
Andrew Putnam,28.33
Kevin Na,28.35
Derek Fathauer,28.39
Matt Kuchar,28.39
Brendon Todd,28.39
Sean O'Hair,28.42
Erik Compton,28.44
Jason Day,28.44
Rickie Fowler,28.44
Carl Pettersson,28.44
Jerry Kelly,28.46
Dustin Johnson,28.47
Brian Davis,28.51
Ryan Moore,28.51
Jason Bohn,28.54
Daniel Summerhays,28.54
Eric Axley,28.55
Sangmoon Bae,28.55
Jonas Blixt,28.56
Scott Brown,28.56
Chad Collins,28.56
Brian Stuard,28.57
Greg Chalmers,28.59
Troy Merritt,28.59
Steve Wheatcroft,28.59
Chris Kirk,28.6
Andres Romero,28.64
Justin Thomas,28.64
David Lingmerth,28.66
Matt Every,28.67
Zac Blair,28.68
Chesson Hadley,28.68
Bryce Molder,28.68
Luke Guthrie,28.7
Jimmy Walker,28.7
K.J. Choi,28.71
John Huh,28.71
Pat Perez,28.71
Fabian Gomez,28.72
Kevin Kisner,28.72
Steven Alker,28.73
David Toms,28.74
Zach Johnson,28.78
Jeff Overton,28.78
Hideki Matsuyama,28.79
Nick Taylor,28.8
Oscar Fraustro,28.81
Ian Poulter,28.81
Justin Leonard,28.82
Harris English,28.83
Charley Hoffman,28.83
Billy Hurley III,28.84
Max Homa,28.85
Scott Piercy,28.88
Blayne Barber,28.89
Tom Hoge,28.9
Tim Wilkinson,28.92
Alex Cejka,28.93
David Hearn,28.93
Camilo Villegas,28.93
Jonathan Byrd,28.94
Rory Sabbatini,28.94
Kevin Chappell,28.95
Ben Crane,28.95
Ryo Ishikawa,28.95
Chris Stroud,28.95
Jamie Donaldson,28.96
Sergio Garcia,28.96
William McGirt,28.96
Bubba Watson,28.96
Colt Knost,28.98
Hunter Mahan,28.98
Patrick Rodgers,28.98
Andres Gonzales,28.99
Jason Kokrak,28.99
Scott Langley,28.99
Marc Leishman,28.99
James Hahn,29
Ryan Palmer,29
Cameron Tringale,29
Ken Duke,29.01
Russell Henley,29.01
George McNeill,29.01
Shawn Stefani,29.02
Brendon de Jonge,29.03
Retief Goosen,29.04
Whee Kim,29.07
Brian Harman,29.09
Gonzalo Fdez-Castano,29.1
Brooks Koepka,29.1
Robert Streb,29.1
Tony Finau,29.11
Martin Laird,29.12
Brendan Steele,29.13
Adam Hadwin,29.15
Padraig Harrington,29.15
Vijay Singh,29.15
Kyle Reifers,29.16
Luke Donald,29.17
Justin Rose,29.17
Louis Oosthuizen,29.19
Jonathan Randolph,29.2
John Peterson,29.21
Daniel Berger,29.23
Mark Hubbard,29.23
S.J. Park,29.23
D.A. Points,29.24
Heath Slocum,29.25
Graham DeLaet,29.26
Carlos Ortiz,29.26
Scott Stallings,29.27
Boo Weekley,29.27
Jon Curran,29.28
Jhonattan Vegas,29.29
Lee Westwood,29.29
Seung-Yul Noh,29.31
Cameron Percy,29.31
Hudson Swafford,29.32
Nick Watney,29.32
Roger Sloan,29.33
Webb Simpson,29.35
Michael Thompson,29.35
Mark Wilson,29.35
Sam Saunders,29.37
Johnson Wagner,29.37
Jim Furyk,29.39
Jason Gore,29.4
Chad Campbell,29.41
Robert Garrigus,29.41
Will Wilcox,29.46
Scott Pinckney,29.48
Tyrone Van Aswegen,29.48
Keegan Bradley,29.49
Andrew Svoboda,29.51
John Senden,29.53
Gary Woodland,29.53
Bo Van Pelt,29.54
Russell Knox,29.56
Charl Schwartzel,29.57
Bill Haas,29.58
Jason Dufner,29.6
Martin Flores,29.6
Spencer Levin,29.6
Chez Reavie,29.63
Ben Martin,29.64
John Merrick,29.65
Kevin Streelman,29.65
Davis Love III,29.67
Derek Ernst,29.7
Billy Horschel,29.71
Charles Howell III,29.75
Paul Casey,29.77
Brice Garnett,29.77
Ernie Els,29.79
Roberto Castro,29.8
Nicholas Thompson,29.81
Michael Putnam,29.84
Byron Smith,29.84
Greg Owen,29.86
Angel Cabrera,29.87
Henrik Stenson,29.87
Francesco Molinari,29.94
Charlie Beljan,29.97
Bill Lunde,30.02
Robert Allenby,30.03
Alex Prugh,30.04
Jim Renner,30.06
Adam Scott,30.11
Stewart Cink,30.14
Jim Herman,30.22
J.J. Henry,30.24
Geoff Ogilvy,30.44
Lucas Glover,30.54
