PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Bubba Watson,124.69,129.43,121.22
Gary Woodland,123.85,127.94,115.28
Charlie Beljan,122.83,127.93,113.16
Jhonattan Vegas,122.47,128.98,118.28
Dustin Johnson,121.62,126.26,111.63
Robert Garrigus,121.37,124.97,118.82
J.B. Holmes,121.33,127.3,115.62
Tiger Woods,120.94,125.34,117.87
Henrik Stenson,120.71,123.53,114.69
Rory McIlroy,120.21,123.68,117.16
Graham DeLaet,120.04,124.02,116.12
Bobby Gates,119.63,125.08,108.98
Chris Couch,119.61,130.78,116.05
Kyle Stanley,119.51,125.05,111.97
Adam Scott,119.3,122.91,116.55
Jason Day,119.16,123.6,115.7
Sergio Garcia,119.13,123.52,116.03
Angel Cabrera,119.08,121.73,116.12
John Daly,119.07,122.4,115.26
Aaron Baddeley,119.05,124.64,115.66
Scott Stallings,118.96,121.92,112.17
Martin Flores,118.91,123.65,115.56
Greg Owen,118.8,124.11,109.04
Nick Watney,118.69,122.27,113.02
Seung-Yul Noh,118.35,122.76,114.71
Jason Kokrak,118.21,122.24,114.85
Charles Howell III,118.19,123.16,115.08
Trevor Immelman,118.16,122.42,113.49
Mark Anderson,117.8,120.39,114.25
Martin Laird,117.74,120.52,115.24
Scott Piercy,117.59,121.13,114.09
James Driscoll,117.54,122.26,113.91
Edward Loar,117.51,125.57,112.79
Harris English,117.48,120.86,109.39
Jimmy Walker,117.43,122.29,106.05
Kevin Chappell,117.33,123.75,112.13
Lee Westwood,117.2,120.12,113.16
Robert Karlsson,116.92,120.96,113.28
Charl Schwartzel,116.89,119.29,114.64
Keegan Bradley,116.83,121.02,113.82
Daniel Chopra,116.81,120.27,113.58
Phil Mickelson,116.81,119.9,113.07
Louis Oosthuizen,116.79,121.11,113.12
Troy Matteson,116.52,120.55,113.02
Matt Jones,116.45,119.86,111.62
Sean O'Hair,116.43,121.12,106.54
J.J. Killeen,116.31,122.71,113.06
Ryan Palmer,116.17,118.36,110.76
Derek Lamely,116.12,119.67,113.38
Ricky Barnes,116.05,119.44,110.7
Stewart Cink,115.94,121.39,112.85
John Senden,115.9,120.17,111.6
Josh Teater,115.84,118.31,107.89
Charley Hoffman,115.76,119.85,110.91
Brandt Jobe,115.7,118.26,111.37
George McNeill,115.68,119.39,112.02
Brendon de Jonge,115.66,119.41,112.58
Rickie Fowler,115.64,120.64,112.62
Troy Kelly,115.64,118.52,108.27
Bill Haas,115.55,118.55,112.92
Marc Leishman,115.52,119.1,109.32
Kevin Streelman,115.43,118.85,112.55
Andres Romero,115.42,119.07,109.68
Pat Perez,115.4,120.35,111.67
Davis Love III,115.18,118.32,112.48
Jonathan Byrd,115.14,118.84,111.62
Nathan Green,114.97,120.99,111.46
Geoff Ogilvy,114.96,117.22,111.64
Padraig Harrington,114.92,116.91,112.56
Boo Weekley,114.88,117.33,111.48
Garth Mulroy,114.82,118.33,111.26
Cameron Tringale,114.8,119.19,110.62
D.J. Trahan,114.76,117.63,111.81
Justin Rose,114.63,118.77,111.11
Erik Compton,114.57,117.93,109.2
Stephen Gangluff,114.56,118.08,109.31
Harrison Frazar,114.39,116.57,109.87
Sangmoon Bae,114.12,118.34,109.04
Bo Van Pelt,114.09,118.28,110.47
Michael Bradley,114.05,117.27,110.46
J.J. Henry,114.03,118.74,109.43
Tom Gillis,114.02,117.26,109.97
Danny Lee,113.85,117.87,110.77
Carl Pettersson,113.85,117.96,110.55
Vijay Singh,113.75,116.73,110.38
Blake Adams,113.63,116.88,107.52
Kevin Stadler,113.62,117.09,109.83
Ryo Ishikawa,113.55,116.35,110.45
Miguel Angel Carballo,113.49,117.32,109
John Rollins,113.48,116.81,111.02
Freddie Jacobson,113.47,117.61,110.19
Matt Every,113.43,118.28,110.3
Webb Simpson,113.34,117.73,109.47
Ernie Els,113.2,116.4,110.16
John Merrick,113.11,115.92,109.84
Matt Bettencourt,113.04,116.06,108.87
Camilo Villegas,113.03,115.94,109.33
Kevin Na,112.97,120.41,105.23
Tommy Gainey,112.91,116.68,108.25
Daniel Summerhays,112.88,117.89,109.39
