PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Chad Campbell,112.85,116.46,108.66
Roberto Castro,112.83,118.81,109.52
William McGirt,112.83,117.06,108.42
Chris Kirk,112.78,118.34,109.31
Mathew Goggin,112.76,117.08,109.61
Tim Herron,112.74,117.63,109.18
Y.E. Yang,112.73,116.16,109.18
Jason Dufner,112.6,119.9,105.92
Scott Brown,112.59,116.31,106.32
Roland Thatcher,112.54,118.44,109.06
Graeme McDowell,112.4,115.15,110.44
Bud Cauley,112.39,115.47,108.79
Stuart Appleby,112.32,116.99,108.94
Rod Pampling,112.31,116.08,108.61
Brendan Steele,112.22,115.33,108.49
Steve Stricker,112.22,115.67,109.81
Rory Sabbatini,112.2,114.66,107.69
Kris Blanks,112.19,117.99,107.64
Hunter Mahan,112.05,114.31,109.57
Jeff Overton,112.04,115.18,108.94
Hunter Haas,111.96,116.56,108.26
Jonas Blixt,111.94,116.24,106.53
Bill Lunde,111.94,117.53,109.64
Bob Estes,111.9,114.82,108.85
Will Claxton,111.67,117.45,108.58
Michael Thompson,111.63,114.25,108.77
Robert Allenby,111.62,117.16,109.21
Kyle Reifers,111.58,118.04,106.07
Ryan Moore,111.51,116.46,107
Charlie Wi,111.36,115.34,107.74
Billy Horschel,111.33,114.24,107.98
Marco Dawson,111.24,113.6,108.17
Chris Stroud,111.13,114.46,106.85
John Huh,111.11,114.23,107.95
Kevin Kisner,111.01,114.31,107.01
Brian Harman,110.98,114.88,107.42
Ian Poulter,110.97,113.82,108.44
Ken Duke,110.89,114.86,105.36
Brandt Snedeker,110.75,113.84,108.01
Scott Dunlap,110.72,115.13,107.74
Luke Donald,110.69,113.54,104.13
Brendon Todd,110.64,114.25,108.07
Johnson Wagner,110.58,113.33,107.95
D.A. Points,110.52,115.64,106.62
Spencer Levin,110.5,114.49,107.09
Billy Mayfair,110.09,113.21,106.82
Ben Crane,109.99,115.07,107.13
Chez Reavie,109.88,114.73,106.82
Ryuji Imada,109.87,116.73,106.83
Stephen Ames,109.85,111.91,107.36
Jason Bohn,109.84,113.58,106.57
Greg Chalmers,109.83,112.99,106.88
Sung Kang,109.78,113.39,104.23
Richard Lee,109.78,112.1,104.02
Cameron Beckman,109.77,112.71,106.22
"Ted Potter, Jr.",109.76,113.98,106.38
David Hearn,109.74,113.07,106.58
Arjun Atwal,109.69,112.84,104.15
Steve Wheatcroft,109.68,111.61,105.32
K.J. Choi,109.62,116.1,105.38
Jim Furyk,109.6,112.95,106.5
Russell Knox,109.55,112.65,105.67
Tommy Biershenk,109.46,113.22,105.72
Alexandre Rocha,109.42,113.91,106.67
Dicky Pride,109.38,111.83,106.02
Gary Christian,109.3,113.18,106.23
Bryce Molder,109.28,120.57,105.54
Billy Hurley III,109.17,113.6,105.01
Vaughn Taylor,108.43,112.97,104.98
Ben Curtis,108.25,111.12,105.51
Matt Kuchar,108.13,110.93,104.54
John Mallinger,108,110.31,104.23
Patrick Sheehan,107.94,110.94,105.16
Kyle Thompson,107.68,110.58,105.12
David Mathis,107.66,111.05,104.38
Zach Johnson,107.57,110.55,104.47
Mark Wilson,107.55,111.34,104.99
Rocco Mediate,107.53,110.85,104.42
Justin Leonard,107.31,110.26,103.61
Chris DiMarco,107.15,110.47,103.51
Tom Pernice Jr.,107.02,111.36,104.13
Colt Knost,106.78,110.26,102.41
Jeff Maggert,106.17,112.46,102.94
Heath Slocum,106.13,108.45,102
Brian Davis,105.79,110.66,102.38
Jerry Kelly,105.4,109.04,101.84
Gavin Coles,104.78,107.6,101.44
Nick O'Hern,104.68,111.02,101.28
Brian Gay,104.58,107.95,102.33
Tim Clark,104.37,106.83,100.21
David Toms,104.29,106.78,99.63
