PLAYER,Strokes gained tee to green
Justin Rose,1.914
Henrik Stenson,1.612
Tiger Woods,1.6
Steve Stricker,1.463
Adam Scott,1.311
Jim Furyk,1.275
Jordan Spieth,1.247
Bubba Watson,1.161
Keegan Bradley,1.129
Rory McIlroy,1.076
Lee Westwood,1.048
Matt Kuchar,0.982
Charl Schwartzel,0.965
Bill Haas,0.948
Graham DeLaet,0.931
Webb Simpson,0.918
Sergio Garcia,0.908
Roberto Castro,0.869
Dustin Johnson,0.847
Jason Dufner,0.811
Vijay Singh,0.796
Luke Donald,0.749
Boo Weekley,0.742
Lucas Glover,0.711
Kevin Stadler,0.705
Phil Mickelson,0.703
Hunter Mahan,0.7
Rory Sabbatini,0.69
Brendon de Jonge,0.688
Matt Jones,0.667
Kevin Chappell,0.658
Stewart Cink,0.605
Freddie Jacobson,0.596
Jimmy Walker,0.591
Jason Day,0.556
Kevin Streelman,0.555
Camilo Villegas,0.544
Ryan Palmer,0.509
John Huh,0.504
K.J. Choi,0.481
Mark Wilson,0.471
Chris Kirk,0.47
Nick Watney,0.469
Robert Garrigus,0.466
Zach Johnson,0.458
Nicholas Thompson,0.454
Ernie Els,0.446
John Rollins,0.43
Brian Davis,0.411
Graeme McDowell,0.409
Charley Hoffman,0.401
Charles Howell III,0.387
Bob Estes,0.385
Ryan Moore,0.377
Brandt Snedeker,0.377
John Merrick,0.375
Gary Woodland,0.355
Ian Poulter,0.338
Rickie Fowler,0.333
Chez Reavie,0.329
Matt Every,0.322
Martin Flores,0.299
Kyle Stanley,0.289
Jerry Kelly,0.287
Bud Cauley,0.258
Nicolas Colsaerts,0.257
Jason Kokrak,0.251
Pat Perez,0.251
Josh Teater,0.248
Ricky Barnes,0.242
Chris Stroud,0.23
Billy Horschel,0.221
George McNeill,0.215
Jim Herman,0.211
Marc Leishman,0.211
Chad Campbell,0.185
Daniel Summerhays,0.171
Cameron Tringale,0.168
John Senden,0.166
Luke Guthrie,0.146
"Ted Potter, Jr.",0.12
Brad Fritsch,0.115
Russell Henley,0.115
Scott Brown,0.113
Ben Crane,0.113
D.A. Points,0.103
Harris English,0.077
Scott Piercy,0.074
Brandt Jobe,0.071
Martin Laird,0.07
Ryo Ishikawa,0.058
Bo Van Pelt,0.044
Peter Hanson,0.028
Trevor Immelman,0.027
Tim Clark,0.025
Morgan Hoffmann,0.011
Justin Hicks,0.004
Martin Kaymer,0.001
Padraig Harrington,0
Jeff Maggert,0
Greg Owen,-0.007
Angel Cabrera,-0.023
Jeff Overton,-0.028
David Lingmerth,-0.042
Brendan Steele,-0.06
Ken Duke,-0.073
Seung-Yul Noh,-0.077
Robert Karlsson,-0.108
J.J. Henry,-0.116
Carl Pettersson,-0.129
David Lynn,-0.134
James Hahn,-0.146
Will Claxton,-0.148
Bryce Molder,-0.154
Stuart Appleby,-0.176
Vaughn Taylor,-0.178
Henrik Norlander,-0.181
David Hearn,-0.19
William McGirt,-0.2
Brian Stuard,-0.233
D.H. Lee,-0.275
Jason Bohn,-0.276
Justin Leonard,-0.278
Patrick Reed,-0.283
Scott Langley,-0.289
Tag Ridings,-0.304
Richard Lee,-0.308
Robert Streb,-0.316
Steve LeBrun,-0.319
David Toms,-0.328
James Driscoll,-0.332
Tim Herron,-0.332
Steven Bowditch,-0.375
D.J. Trahan,-0.375
Rod Pampling,-0.378
Andres Romero,-0.389
Charlie Beljan,-0.397
Cameron Percy,-0.397
Geoff Ogilvy,-0.417
Dicky Pride,-0.418
Michael Thompson,-0.425
Scott Stallings,-0.434
Lee Williams,-0.445
Fabian Gomez,-0.486
Erik Compton,-0.488
Charlie Wi,-0.491
Ben Curtis,-0.495
Brian Harman,-0.5
Sangmoon Bae,-0.528
Y.E. Yang,-0.543
Jin Park,-0.578
Ben Kohles,-0.584
Robert Allenby,-0.587
Darron Stiles,-0.61
Eric Meierdierks,-0.642
Shawn Stefani,-0.665
Troy Matteson,-0.666
Brian Gay,-0.708
Andrew Svoboda,-0.726
Scott Gardiner,-0.74
Jonas Blixt,-0.744
David Mathis,-0.748
Tom Gillis,-0.791
Sean O'Hair,-0.842
Tommy Gainey,-0.922
Casey Wittenberg,-0.943
Greg Chalmers,-0.944
Derek Ernst,-0.961
Michael Bradley,-0.982
Doug LaBelle II,-1.012
Aaron Baddeley,-1.057
Alistair Presnell,-1.112
Aaron Watkins,-1.112
Mike Weir,-1.164
Luke List,-1.17
Johnson Wagner,-1.276
Justin Bolli,-1.365
Stephen Ames,-1.37
Bobby Gates,-1.542
Colt Knost,-1.76
