PLAYER,SAND SAVE PERCENTAGE
Brian Gay,63.4
Greg Chalmers,61.68
Paul Stankowski,61.17
Jason Day,60.96
Luke Donald,59.09
Matt Kuchar,58.86
Retief Goosen,58.75
Chris Riley,58.18
Justin Rose,58.16
Woody Austin,58.11
Rod Pampling,57.63
Bryce Molder,57.52
Tom Gillis,57.14
D.J. Brigman,56.38
Shaun Micheel,56.3
Hunter Haas,56.21
Jerry Kelly,55.97
David Toms,55.93
Adam Scott,55.66
K.J. Choi,55.65
Michael Putnam,55.36
Kevin Na,55.35
Mark Wilson,55.19
Brandt Jobe,55.17
Ian Poulter,55.17
Zach Johnson,54.61
Vijay Singh,54.61
Anthony Kim,54.4
Aaron Baddeley,54.38
Charles Howell III,54.19
Jason Dufner,54.07
Robert Karlsson,54.05
Kevin Chappell,53.96
Arjun Atwal,53.7
David Hearn,53.68
Ben Curtis,53.61
Jim Furyk,53.45
Chris Kirk,53.42
Stuart Appleby,53.21
Nate Smith,53.06
Charlie Wi,53.01
Trevor Immelman,52.99
Justin Leonard,52.99
Rory Sabbatini,52.98
Joe Ogilvie,52.94
Freddie Jacobson,52.73
Stewart Cink,52.63
Y.E. Yang,52.38
Bo Van Pelt,52.32
Geoff Ogilvy,52.29
Sergio Garcia,52.17
Phil Mickelson,52.17
Steve Stricker,52.07
Brendan Steele,52.05
Steve Flesch,52.03
William McGirt,52.03
Webb Simpson,52
Pat Perez,51.88
Roland Thatcher,51.82
Dean Wilson,51.81
Zack Miller,51.7
Bill Lunde,51.69
Robert Allenby,51.66
Brian Davis,51.65
Marc Leishman,51.59
Hunter Mahan,51.43
Alex Cejka,51.33
Graeme McDowell,51.28
Ryan Palmer,51.18
D.J. Trahan,50.75
Padraig Harrington,50.59
David Mathis,50.39
Chris DiMarco,50.38
Carl Pettersson,50.38
Billy Mayfair,50.36
Jonathan Byrd,50.35
Jason Bohn,50
Billy Horschel,50
Bio Kim,50
D.A. Points,50
Jimmy Walker,50
Jarrod Lyle,49.66
Brandt Snedeker,49.66
Matt Jones,49.64
Nick O'Hern,49.62
Michael Thompson,49.48
Lee Janzen,49.38
Ryuji Imada,49.32
Nathan Green,49.29
Chris Stroud,49.17
J.P. Hayes,48.94
Shane Bertsch,48.89
Brendon de Jonge,48.73
Cameron Beckman,48.54
Steve Elkington,48.19
Nick Watney,48.12
Kevin Streelman,48.06
Stephen Ames,48.04
Sean O'Hair,48
Charl Schwartzel,47.92
Marc Turnesa,47.76
Sung Kang,47.5
Scott Gutschewski,47.41
Tim Petrovic,47.37
Ben Crane,47.27
Tommy Gainey,47.2
Lucas Glover,47.1
Andres Romero,47.06
Chris Couch,47.01
Joe Durant,46.88
Steven Bowditch,46.79
Daniel Summerhays,46.67
Tim Herron,46.56
Ryan Moore,46.4
Matt Bettencourt,46.2
Josh Teater,46.2
Blake Adams,45.92
Camilo Villegas,45.71
Spencer Levin,45.45
Matt McQuillan,45.45
George McNeill,45.36
Heath Slocum,45.36
Tag Ridings,45.28
Briny Baird,45.07
Rickie Fowler,45.07
John Rollins,44.63
Ricky Barnes,44.44
Martin Piller,44.44
Aron Price,44.44
Derek Lamely,44.32
Troy Merritt,44.3
Jim Renner,44.29
Jeff Overton,44.24
Johnson Wagner,44.19
Martin Laird,44.17
Kris Blanks,44.06
Boo Weekley,44
Bill Haas,43.86
Chez Reavie,43.71
Fabian Gomez,43.7
J.B. Holmes,43.33
Cameron Tringale,43.26
Charley Hoffman,43.21
Scott McCarron,42.99
James Driscoll,42.86
Kevin Kisner,42.73
Joseph Bramlett,42.71
Gary Woodland,42.62
Michael Connell,42.48
Harrison Frazar,42.16
John Merrick,42.05
Kyle Stanley,41.61
Chad Campbell,41.48
Dustin Johnson,41.48
Garrett Willis,41.44
Scott Piercy,41.18
John Senden,41.1
Steve Marino,41.09
Robert Garrigus,40.94
J.J. Henry,40.83
Vaughn Taylor,40.77
Jhonattan Vegas,40.56
Rich Beem,40.26
Angel Cabrera,39.78
Ernie Els,39.5
Colt Knost,39.5
Kent Jones,39.47
Keegan Bradley,39.31
Paul Goydos,38.84
Richard Johnson,38.71
Bubba Watson,38.71
Ben Martin,38.68
Davis Love III,38.66
Will Strickler,38.36
Rocco Mediate,37.78
Troy Matteson,37.68
Andres Gonzales,37.35
David Duval,37.27
Bobby Gates,37.19
Kevin Stadler,36.21
Alex Prugh,34.56
Alexandre Rocha,32.89
Michael Bradley,32.67
Justin Hicks,32.5
Scott Stallings,31.48
Jim Herman,30.49
