PLAYER,HIT FAIRWAY PCT
Jerry Kelly,74.14
Heath Slocum,72.96
Tim Clark,72.52
Jim Furyk,71.38
Graeme McDowell,71.19
David Toms,69.56
Gary Christian,69.44
Mark Wilson,69.18
Chris DiMarco,69.17
Ben Curtis,68.91
Zach Johnson,68.87
Ian Poulter,68.43
John Huh,68.27
Billy Horschel,68.07
Brian Davis,67.85
Chez Reavie,67.76
John Mallinger,67.74
Colt Knost,67.6
Blake Adams,67.35
Richard Lee,67.3
Hunter Mahan,67.26
Jeff Maggert,67.25
Kevin Na,66.92
Chris Couch,66.85
Jason Bohn,66.74
Russell Knox,66.58
Ryan Moore,66.43
Kris Blanks,66.39
Boo Weekley,66.38
Jason Dufner,66.37
Brian Harman,66.37
Will Claxton,66.11
Tom Gillis,66
Billy Mayfair,65.95
Ken Duke,65.84
D.A. Points,65.77
Kevin Stadler,65.64
Stuart Appleby,65.49
Rickie Fowler,65.43
Roberto Castro,65.42
Ben Crane,65.39
Cameron Tringale,65.03
Scott Dunlap,64.9
Henrik Stenson,64.84
Gavin Coles,64.82
John Merrick,64.82
John Senden,64.8
Steve Stricker,64.72
K.J. Choi,64.54
Alexandre Rocha,64.47
Justin Rose,64.26
Rod Pampling,64.2
Nick O'Hern,64.17
John Rollins,64.02
Kyle Thompson,63.87
"Ted Potter, Jr.",63.81
David Mathis,63.75
Matt Kuchar,63.71
Bo Van Pelt,63.67
Roland Thatcher,63.65
Bill Haas,63.6
Charl Schwartzel,63.59
Brendon de Jonge,63.55
Kevin Streelman,63.13
Brandt Jobe,63.08
Tiger Woods,63.06
Brendan Steele,62.92
Luke Donald,62.9
Brian Gay,62.86
Charlie Wi,62.85
David Hearn,62.84
Arjun Atwal,62.8
Steve Wheatcroft,62.8
Vijay Singh,62.76
Dicky Pride,62.65
J.J. Henry,62.58
Stephen Ames,62.57
Pat Perez,62.57
Keegan Bradley,62.54
Daniel Summerhays,62.47
Louis Oosthuizen,62.39
Cameron Beckman,62.37
Rocco Mediate,62.36
D.J. Trahan,62.34
Greg Chalmers,62.31
Hunter Haas,62.27
Bryce Molder,62.17
Kyle Reifers,62.17
Camilo Villegas,62.1
Chris Stroud,62.06
Johnson Wagner,62.02
Kevin Kisner,61.9
Charley Hoffman,61.88
Josh Teater,61.87
Jeff Overton,61.77
Bob Estes,61.76
Justin Leonard,61.55
Vaughn Taylor,61.47
Lee Westwood,61.44
Sergio Garcia,61.41
Geoff Ogilvy,61.32
Graham DeLaet,61.24
Matt Every,61.16
Rory Sabbatini,61.12
Padraig Harrington,61.07
Michael Thompson,61.03
Billy Hurley III,60.99
William McGirt,60.99
Webb Simpson,60.96
Scott Brown,60.94
George McNeill,60.88
Bud Cauley,60.78
Garth Mulroy,60.69
Tom Pernice Jr.,60.56
Brandt Snedeker,60.56
Chad Campbell,60.48
Chris Kirk,60.44
Greg Owen,60.41
Sean O'Hair,60.32
Davis Love III,60.22
Y.E. Yang,60.18
Tim Herron,59.92
Harris English,59.9
Bill Lunde,59.76
Adam Scott,59.75
Kyle Stanley,59.61
Bobby Gates,59.35
Patrick Sheehan,59.35
Tommy Biershenk,59.32
Martin Laird,59.23
Scott Stallings,59.12
Robert Allenby,59.08
Nick Watney,59.03
Jonas Blixt,59.01
Mathew Goggin,58.98
Seung-Yul Noh,58.94
Angel Cabrera,58.9
Danny Lee,58.83
Trevor Immelman,58.76
Freddie Jacobson,58.76
Bubba Watson,58.67
Ricky Barnes,58.52
Charlie Beljan,58.52
Brendon Todd,58.45
Nathan Green,58.39
Ryan Palmer,58.29
Miguel Angel Carballo,58.03
Sung Kang,57.53
Erik Compton,57.5
Jonathan Byrd,57.42
Dustin Johnson,57.38
Scott Piercy,57.3
Ernie Els,57.21
Robert Garrigus,56.95
Sangmoon Bae,56.84
Kevin Chappell,56.81
Carl Pettersson,56.76
Ryuji Imada,56.75
John Daly,56.73
Marco Dawson,56.4
J.B. Holmes,56.21
Edward Loar,56.13
J.J. Killeen,56.09
Rory McIlroy,55.94
Andres Romero,55.87
Spencer Levin,55.82
Tommy Gainey,55.62
Robert Karlsson,55.46
Phil Mickelson,55.37
Marc Leishman,55.22
Gary Woodland,55.17
Harrison Frazar,55.04
Martin Flores,54.72
Matt Jones,54.71
Aaron Baddeley,54.55
Charles Howell III,54.54
Matt Bettencourt,54.3
Troy Matteson,53.66
Jason Day,53.65
Jimmy Walker,53.56
Jason Kokrak,53.54
Jhonattan Vegas,53.42
Troy Kelly,53.37
Ryo Ishikawa,53.15
Michael Bradley,53.13
Derek Lamely,53.07
James Driscoll,53.05
Mark Anderson,52.7
Stewart Cink,52.57
Stephen Gangluff,51.54
Daniel Chopra,48.87
