PLAYER,ROUGH TENDENCY
Omar Uresti,18.79
Joe Durant,18.88
Brian Gay,20.02
Craig Bowden,20.6
Skip Kendall,21.09
Tim Clark,21.27
Heath Slocum,21.3
David Toms,21.98
Scott Verplank,22.06
John Mallinger,22.1
Alex Cejka,22.13
Garrett Willis,22.15
Zach Johnson,22.47
Jim Furyk,22.69
Paul Goydos,22.76
Richard Johnson,22.83
Jerry Kelly,23.08
Rocco Mediate,23.1
Billy Mayfair,23.15
Ben Curtis,23.36
Ben Crane,23.69
Chris DiMarco,23.72
Tom Gillis,23.84
Jeff Quinney,24
Mark Wilson,24.09
Chad Campbell,24.11
Justin Bolli,24.13
Jason Dufner,24.24
Kris Blanks,24.32
Brendon de Jonge,24.46
John Merrick,24.47
Vaughn Taylor,24.47
Aron Price,24.51
Brian Davis,24.53
Brent Delahoussaye,24.57
Stephen Ames,24.58
Chris Riley,24.74
Cliff Kresge,24.8
Pat Perez,24.93
James Nitties,24.96
Charles Warren,24.97
Ryan Moore,25.06
Justin Leonard,25.17
Kevin Sutherland,25.19
Rod Pampling,25.21
Matt Kuchar,25.22
Boo Weekley,25.27
K.J. Choi,25.3
Tim Petrovic,25.31
Will MacKenzie,25.37
Henrik Bjornstad,25.4
Scott McCarron,25.57
Steve Flesch,25.65
Hunter Mahan,25.67
Chris Couch,25.7
Kenny Perry,25.7
Jeff Maggert,25.77
Woody Austin,26.05
Kevin Johnson,26.08
Mathew Goggin,26.17
Paul Stankowski,26.19
Davis Love III,26.23
Jay Williamson,26.27
Steve Elkington,26.3
Steve Wheatcroft,26.3
Steve Stricker,26.32
Blake Adams,26.4
Michael Letzig,26.5
Jarrod Lyle,26.58
Josh Teater,26.59
John Senden,26.6
Brandt Snedeker,26.6
Spencer Levin,26.7
Kevin Streelman,26.7
Rickie Fowler,26.72
Tom Pernice Jr.,26.75
Charlie Wi,26.77
Nicholas Thompson,26.94
Jason Bohn,26.95
Justin Rose,27
Y.E. Yang,27.07
Retief Goosen,27.12
Bill Haas,27.12
Graham DeLaet,27.13
Carl Pettersson,27.17
John Rollins,27.21
Johnson Wagner,27.21
Jerod Turner,27.24
J.J. Henry,27.37
Greg Owen,27.39
Kevin Stadler,27.45
Mathias Gronberg,27.5
Trevor Immelman,27.57
Freddie Jacobson,27.58
Chris Stroud,27.58
Bo Van Pelt,27.59
Dean Wilson,27.69
Jeff Gove,27.7
J.P. Hayes,27.74
Ted Purdy,27.84
Charley Hoffman,27.86
Kevin Na,27.87
Michael Sim,27.91
Robert Allenby,27.93
D.A. Points,27.93
Briny Baird,27.99
Chris Tidland,28.09
Lucas Glover,28.19
Matt Every,28.22
Sergio Garcia,28.25
Cameron Beckman,28.31
Michael Connell,28.36
Steve Lowery,28.38
Brian Stuard,28.47
Bryce Molder,28.59
Mark Calcavecchia,28.6
Chad Collins,28.65
Shaun Micheel,28.79
Bill Lunde,28.8
Roger Tambellini,28.94
Greg Kraft,28.97
Ryuji Imada,29.03
Bob Estes,29.07
Garth Mulroy,29.12
Jonathan Byrd,29.14
Andrew McLardy,29.16
Rory Sabbatini,29.17
Brett Quigley,29.26
Michael Bradley,29.41
Stewart Cink,29.46
Steve Marino,29.51
Sean O'Hair,29.68
Paul Casey,29.8
Ian Poulter,29.89
Stuart Appleby,29.97
Chris Wilson,30
Cameron Tringale,30.06
Nathan Green,30.08
Roland Thatcher,30.29
Nick Watney,30.42
Rory McIlroy,30.56
Brad Faxon,30.61
Cameron Percy,30.63
Vijay Singh,30.7
Troy Merritt,30.71
Greg Chalmers,30.72
Webb Simpson,30.72
Adam Scott,30.78
Jeev Milkha Singh,30.81
Joe Ogilvie,30.87
Matt Jones,31.06
D.J. Trahan,31.12
Troy Matteson,31.22
James Driscoll,31.24
Camilo Villegas,31.27
Ricky Barnes,31.3
Luke Donald,31.31
Jason Day,31.49
Lee Janzen,31.6
Brett Wetterich,31.65
Martin Laird,31.99
David Duval,32.01
Vance Veazey,32.06
Scott Piercy,32.16
Matt Bettencourt,32.39
Aaron Baddeley,32.61
Marc Leishman,32.62
Alex Prugh,32.76
Ryan Palmer,32.79
Ernie Els,32.81
David Lutterus,32.99
Brenden Pappas,33.33
Geoff Ogilvy,33.38
Andres Romero,33.5
Robert Garrigus,33.53
Rich Barcelo,33.85
J.B. Holmes,33.92
Padraig Harrington,34
Charles Howell III,34.12
Jeff Overton,34.12
George McNeill,34.41
Bubba Watson,34.46
Dustin Johnson,34.49
Mike Weir,34.74
Derek Lamely,34.94
Tim Herron,35.16
Daniel Chopra,35.75
John Daly,36.95
Phil Mickelson,37.32
Jimmy Walker,37.77
Angel Cabrera,37.8
Martin Flores,38.18
