PLAYER,Strokes gained tee to green
Adam Scott,2.087
Bubba Watson,2.004
Rory McIlroy,1.932
Justin Rose,1.834
Hideki Matsuyama,1.738
Rickie Fowler,1.699
Dustin Johnson,1.521
Henrik Stenson,1.45
Kevin Chappell,1.334
Sergio Garcia,1.311
Charl Schwartzel,1.297
Jordan Spieth,1.281
Jason Day,1.21
Paul Casey,1.208
Matt Kuchar,1.166
Phil Mickelson,1.11
Gary Woodland,1.087
Robert Garrigus,1.049
Patrick Reed,1.048
Louis Oosthuizen,1.037
Branden Grace,1.019
Jason Dufner,0.993
Lucas Glover,0.993
Kevin Na,0.978
Chez Reavie,0.935
Bill Haas,0.914
Danny Lee,0.898
Chad Campbell,0.87
Francesco Molinari,0.866
Ryan Palmer,0.856
Daniel Berger,0.841
Billy Horschel,0.825
Keegan Bradley,0.805
Luke List,0.802
Webb Simpson,0.798
Charley Hoffman,0.797
Greg Owen,0.79
Roberto Castro,0.78
Jimmy Walker,0.768
Brooks Koepka,0.755
Brendan Steele,0.755
Charles Howell III,0.754
Russell Knox,0.754
Chris Kirk,0.752
Shane Lowry,0.714
William McGirt,0.712
Brandt Snedeker,0.711
J.B. Holmes,0.685
Patrick Rodgers,0.665
Jamie Lovemark,0.644
David Toms,0.588
Marc Leishman,0.587
Si Woo Kim,0.555
Justin Thomas,0.552
Bernd Wiesberger,0.548
Jason Kokrak,0.54
Smylie Kaufman,0.53
Padraig Harrington,0.519
Jhonattan Vegas,0.518
Zach Johnson,0.503
Vaughn Taylor,0.488
Graham DeLaet,0.475
Spencer Levin,0.465
David Lingmerth,0.464
Alex Cejka,0.452
Luke Donald,0.434
Scott Stallings,0.434
Robert Streb,0.396
Graeme McDowell,0.394
Sean O'Hair,0.378
David Hearn,0.376
Kyle Reifers,0.373
Tim Wilkinson,0.344
Harold Varner III,0.337
Tony Finau,0.333
Stewart Cink,0.332
Will MacKenzie,0.331
Bryce Molder,0.312
Emiliano Grillo,0.255
Kevin Streelman,0.249
Colt Knost,0.233
Kevin Kisner,0.224
Ryan Moore,0.222
Jim Herman,0.217
John Huh,0.203
Kyle Stanley,0.19
John Senden,0.179
Harris English,0.174
Scott Piercy,0.173
Retief Goosen,0.172
Jerry Kelly,0.155
Patton Kizzire,0.155
Nick Taylor,0.101
Anirban Lahiri,0.093
Chris Stroud,0.077
Martin Laird,0.075
Scott Brown,0.074
Vijay Singh,0.07
Derek Ernst,0.051
Jason Bohn,0.04
Boo Weekley,0.025
Fabian Gomez,0.024
Scott Pinckney,0.008
Cameron Tringale,0.008
K.J. Choi,-0.005
Whee Kim,-0.006
Shane Bertsch,-0.014
Brett Stegmaier,-0.018
Jeff Overton,-0.021
Blayne Barber,-0.035
Andrew Loupe,-0.037
Bronson Burgoon,-0.038
Thomas Aiken,-0.039
Daniel Summerhays,-0.039
Justin Leonard,-0.045
Michael Thompson,-0.046
James Hahn,-0.055
Ben Martin,-0.063
Johnson Wagner,-0.08
Russell Henley,-0.106
Sung Kang,-0.109
Ben Crane,-0.112
Henrik Norlander,-0.123
Will Wilcox,-0.132
Tyrone Van Aswegen,-0.145
Tom Hoge,-0.146
Mark Hubbard,-0.17
Rob Oppenheim,-0.182
Aaron Baddeley,-0.183
Andy Sullivan,-0.19
Tyler Aldridge,-0.195
Hudson Swafford,-0.204
Adam Hadwin,-0.206
Dawie van der Walt,-0.206
Stuart Appleby,-0.222
Shawn Stefani,-0.222
Brice Garnett,-0.225
Seung-Yul Noh,-0.228
Camilo Villegas,-0.232
D.A. Points,-0.234
Ken Duke,-0.238
Matt Jones,-0.241
Jason Gore,-0.26
Freddie Jacobson,-0.267
Justin Hicks,-0.286
Ricky Barnes,-0.292
Davis Love III,-0.3
Geoff Ogilvy,-0.301
Brian Stuard,-0.312
Mark Wilson,-0.312
Rory Sabbatini,-0.335
Martin Piller,-0.343
Jon Curran,-0.365
Zac Blair,-0.385
Chesson Hadley,-0.385
Brendon de Jonge,-0.389
Jamie Donaldson,-0.413
J.J. Henry,-0.42
Steve Stricker,-0.452
Morgan Hoffmann,-0.457
Jonas Blixt,-0.46
Kelly Kraft,-0.481
Michael Kim,-0.488
Pat Perez,-0.495
Wes Roach,-0.531
Steve Marino,-0.551
Sam Saunders,-0.562
Chad Collins,-0.594
Scott Langley,-0.628
Ernie Els,-0.637
Carlos Ortiz,-0.655
Cameron Smith,-0.659
Angel Cabrera,-0.686
Billy Hurley III,-0.696
Abraham Ancer,-0.7
George McNeill,-0.702
Rhein Gibson,-0.739
Ian Poulter,-0.754
Brian Harman,-0.755
Troy Merritt,-0.761
Steve Wheatcroft,-0.774
Erik Compton,-0.777
Peter Malnati,-0.906
Hunter Mahan,-0.944
Luke Guthrie,-1.014
Derek Fathauer,-1.02
Andres Gonzales,-1.084
Hiroshi Iwata,-1.114
Andrew Landry,-1.203
Dicky Pride,-1.251
Tim Herron,-1.263
Matt Every,-1.381
Carl Pettersson,-1.437
Darron Stiles,-1.594
Charlie Beljan,-1.773
Brendon Todd,-1.874
Robert Allenby,-2.019
D.H. Lee,-2.341
Steven Bowditch,-2.9
