PLAYER,prox to hole
Vaughn Taylor,32.1
Jason Gore,33.1
David Hearn,33.3
Adam Scott,33.6
Shane Bertsch,33.8
David Toms,33.9
Billy Hurley III,33.1
Jerry Kelly,33.1
Tom Hoge,33.11
Justin Leonard,33.11
Tim Wilkinson,33.11
Colt Knost,34
Darron Stiles,34.1
Justin Hicks,34.2
Chez Reavie,34.3
Louis Oosthuizen,34.7
Webb Simpson,34.8
K.J. Choi,34.9
Zach Johnson,34.9
D.A. Points,34.9
Jason Dufner,34.1
Henrik Norlander,34.1
Martin Piller,34.1
Keegan Bradley,34.11
Robert Garrigus,34.11
Jason Bohn,35
Dustin Johnson,35
Russell Knox,35
Michael Thompson,35
Lucas Glover,35.1
Kyle Stanley,35.1
Brian Stuard,35.1
Ryan Palmer,35.3
Dicky Pride,35.3
Ken Duke,35.4
Russell Henley,35.4
Spencer Levin,35.4
Graeme McDowell,35.4
Thomas Aiken,35.5
Kevin Kisner,35.6
Hideki Matsuyama,35.6
Boo Weekley,35.6
Tyler Aldridge,35.7
Chris Kirk,35.7
Matt Kuchar,35.7
Greg Owen,35.7
Wes Roach,35.7
Cameron Smith,35.7
Nick Taylor,35.7
Jon Curran,35.8
Jim Herman,35.8
Abraham Ancer,35.9
John Huh,35.9
Kelly Kraft,35.9
Will MacKenzie,35.9
Kyle Reifers,35.9
Kevin Chappell,35.1
Hudson Swafford,35.1
Alex Cejka,35.11
Rob Oppenheim,35.11
Brett Stegmaier,35.11
Tyrone Van Aswegen,36
Emiliano Grillo,36.1
Tim Herron,36.1
Andrew Landry,36.1
Bryce Molder,36.1
Kevin Na,36.1
Graham DeLaet,36.2
Luke Donald,36.2
Dawie van der Walt,36.2
Ricky Barnes,36.3
Brandt Snedeker,36.3
Steve Stricker,36.3
Charley Hoffman,36.4
Justin Thomas,36.4
Zac Blair,36.5
Charl Schwartzel,36.5
Bubba Watson,36.5
Mark Wilson,36.6
Michael Kim,36.7
Ryan Moore,36.7
Stuart Appleby,36.8
Charlie Beljan,36.8
Roberto Castro,36.8
Luke Guthrie,36.8
Martin Laird,36.8
Kevin Streelman,36.8
Jason Kokrak,36.9
Danny Lee,36.9
Marc Leishman,36.9
Scott Stallings,36.9
Chad Campbell,36.1
David Lingmerth,36.1
William McGirt,36.1
Carl Pettersson,36.1
Brooks Koepka,36.11
Blayne Barber,37
Erik Compton,37
Mark Hubbard,37
Freddie Jacobson,37
Francesco Molinari,37
Seung-Yul Noh,37
Jordan Spieth,37
Paul Casey,37.1
Shane Lowry,37.1
Branden Grace,37.2
Smylie Kaufman,37.2
Davis Love III,37.2
Will Wilcox,37.2
Ben Crane,37.3
Brice Garnett,37.3
Harris English,37.4
Patton Kizzire,37.4
Rory McIlroy,37.4
Shawn Stefani,37.4
Gary Woodland,37.4
Rhein Gibson,37.5
Ben Martin,37.5
Robert Streb,37.5
Daniel Berger,37.6
Bronson Burgoon,37.6
Stewart Cink,37.6
Derek Fathauer,37.6
Geoff Ogilvy,37.6
Brendan Steele,37.6
Chris Stroud,37.6
Chesson Hadley,37.7
Tony Finau,37.8
Jimmy Walker,37.8
Adam Hadwin,37.9
Brian Harman,37.9
John Senden,37.9
Henrik Stenson,37.9
Johnson Wagner,37.9
Brendon de Jonge,37.1
James Hahn,37.1
Steve Marino,37.1
Patrick Reed,37.1
Camilo Villegas,37.1
Peter Malnati,37.11
Pat Perez,37.11
Patrick Rodgers,37.11
Cameron Tringale,37.11
Robert Allenby,38
Sergio Garcia,38
Chad Collins,38.1
Rickie Fowler,38.1
Billy Horschel,38.1
Sean O'Hair,38.1
Scott Brown,38.2
Fabian Gomez,38.2
Charles Howell III,38.2
D.H. Lee,38.2
George McNeill,38.2
Bill Haas,38.4
Scott Piercy,38.4
Aaron Baddeley,38.5
Vijay Singh,38.5
Derek Ernst,38.6
Andres Gonzales,38.7
J.J. Henry,38.7
Morgan Hoffmann,38.7
Andrew Loupe,38.7
Harold Varner III,38.7
Troy Merritt,38.8
Scott Pinckney,38.8
Andy Sullivan,38.8
Hiroshi Iwata,38.9
Jeff Overton,38.9
Sam Saunders,38.9
Justin Rose,38.11
Steve Wheatcroft,38.11
Bernd Wiesberger,38.11
Matt Jones,39
Jhonattan Vegas,39
Anirban Lahiri,39.1
Ian Poulter,39.1
Jamie Lovemark,39.2
Daniel Summerhays,39.3
Sung Kang,39.4
Whee Kim,39.4
Luke List,39.5
Jonas Blixt,39.6
Angel Cabrera,39.6
Padraig Harrington,39.6
Retief Goosen,39.7
Phil Mickelson,39.7
Matt Every,39.9
Jason Day,39.11
Si Woo Kim,39.11
Hunter Mahan,40.2
Carlos Ortiz,40.2
Jamie Donaldson,40.3
J.B. Holmes,40.3
Brendon Todd,40.4
Rory Sabbatini,40.1
Scott Langley,41
Steven Bowditch,41.1
Ernie Els,42.5
