PLAYER,POS
Charl Schwartzel,1
Jason Day,2
Adam Scott,2
Luke Donald,4
Geoff Ogilvy,4
Tiger Woods,4
Angel Cabrera,7
K.J. Choi,8
Bo Van Pelt,8
Ryan Palmer,10
Edoardo Molinari,11
Justin Rose,11
Steve Stricker,11
Lee Westwood,11
Fred Couples,15
Ross Fisher,15
Trevor Immelman,15
Rory McIlroy,15
Brandt Snedeker,15
Ricky Barnes,20
Ryo Ishikawa,20
Martin Laird,20
Y.E. Yang,20
Jim Furyk,24
David Toms,24
Gary Woodland,24
Charley Hoffman,27
Miguel Jimenez,27
Robert Karlsson,27
Matt Kuchar,27
Phil Mickelson,27
Ian Poulter,27
Alvaro Quiros,27
Hideki Matsuyama,27
Alex Cejka,35
Sergio Garcia,35
Ryan Moore,35
Paul Casey,38
Rickie Fowler,38
Dustin Johnson,38
Bubba Watson,38
Bill Haas,42
Steve Marino,42
K.T. Kim,44
Jeff Overton,44
Nick Watney,46
Aaron Baddeley,47
Ernie Els,47
Camilo Villegas,49
Robert Allenby,50
Stewart Cink,51
Tim Clark,52
Lucas Glover,53
Zach Johnson,54
Anthony Kim,55
Hunter Mahan,56
Francesco Molinari,57
Sean O'Hair,58
Stuart Appleby,59
Jerry Kelly,60
Graeme McDowell,61
Kevin Na,62
Mark Wilson,63
Jason Bohn,64
David Chung,65
Ben Crane,66
Retief Goosen,67
Peter Hanson,68
Yuta Ikeda,69
Lion Kim,70
Carl Pettersson,71
D.A. Points,72
Heath Slocum,73
Jhonattan Vegas,74
Hiroyuki Fujita,75
Anders Hansen,76
Padraig Harrington,77
Gregory Havret,78
Louis Oosthuizen,79
Kevin Streelman,80
Peter Uihlein,81
Jin Jeong,82
Martin Kaymer,83
Larry Mize,84
Mark O'Meara,85
Jose Maria Olazabal,86
Rory Sabbatini,87
Arjun Atwal,88
Jonathan Byrd,89
Craig Stadler,90
Tom Watson,91
Davis Love III,92
Nathan Smith,93
Sandy Lyle,94
Vijay Singh,95
Ben Crenshaw,96
Mike Weir,97
Ian Woosnam,98
Henrik Stenson,99
