PLAYER,PAR 5
Bubba Watson,4.47
Justin Thomas,4.49
Dustin Johnson,4.5
Matt Kuchar,4.54
Justin Rose,4.54
Webb Simpson,4.54
Jason Day,4.55
Brooks Koepka,4.55
Carlos Ortiz,4.56
Jimmy Walker,4.56
Aaron Baddeley,4.57
Jamie Donaldson,4.57
Daniel Berger,4.58
Keegan Bradley,4.58
Paul Casey,4.58
Graham DeLaet,4.58
Phil Mickelson,4.58
Adam Scott,4.58
Rickie Fowler,4.59
J.B. Holmes,4.59
Matt Jones,4.59
Jason Kokrak,4.59
Jordan Spieth,4.59
Angel Cabrera,4.6
Charles Howell III,4.6
Hideki Matsuyama,4.6
Shawn Stefani,4.6
Charlie Beljan,4.61
Chad Campbell,4.61
Harris English,4.61
Zach Johnson,4.61
Kevin Kisner,4.61
Louis Oosthuizen,4.61
Alex Prugh,4.61
Patrick Reed,4.61
Vijay Singh,4.61
Brandt Snedeker,4.61
Brendan Steele,4.61
Hudson Swafford,4.61
Tony Finau,4.62
Charley Hoffman,4.62
Morgan Hoffmann,4.62
Mark Hubbard,4.62
Scott Piercy,4.62
Patrick Rodgers,4.62
Henrik Stenson,4.62
Boo Weekley,4.62
Kevin Chappell,4.63
Sergio Garcia,4.63
Scott Langley,4.63
Rory Sabbatini,4.63
Chad Collins,4.64
Bill Haas,4.64
Chris Kirk,4.64
David Lingmerth,4.64
Francesco Molinari,4.64
Ryan Moore,4.64
Pat Perez,4.64
Sam Saunders,4.64
Charl Schwartzel,4.64
Jonas Blixt,4.65
Steven Bowditch,4.65
Roberto Castro,4.65
Stewart Cink,4.65
Martin Flores,4.65
Robert Garrigus,4.65
Brian Harman,4.65
Russell Henley,4.65
Jim Herman,4.65
Tom Hoge,4.65
Jerry Kelly,4.65
George McNeill,4.65
Kevin Na,4.65
John Senden,4.65
Robert Streb,4.65
Jhonattan Vegas,4.65
Steve Wheatcroft,4.65
Blayne Barber,4.66
Jason Bohn,4.66
Scott Brown,4.66
Jason Dufner,4.66
Ernie Els,4.66
Derek Ernst,4.66
Lucas Glover,4.66
Billy Horschel,4.66
Colt Knost,4.66
Marc Leishman,4.66
William McGirt,4.66
Seung-Yul Noh,4.66
Cameron Percy,4.66
John Peterson,4.66
Jonathan Randolph,4.66
Michael Thompson,4.66
Cameron Tringale,4.66
Nick Watney,4.66
Will Wilcox,4.66
Steven Alker,4.67
Zac Blair,4.67
Alex Cejka,4.67
James Hahn,4.67
J.J. Henry,4.67
Ryo Ishikawa,4.67
Martin Laird,4.67
Hunter Mahan,4.67
John Merrick,4.67
Ryan Palmer,4.67
Carl Pettersson,4.67
Ian Poulter,4.67
Daniel Summerhays,4.67
Nick Taylor,4.67
Brendon Todd,4.67
Camilo Villegas,4.67
Johnson Wagner,4.67
Gary Woodland,4.67
Brendon de Jonge,4.68
Ken Duke,4.68
Adam Hadwin,4.68
John Huh,4.68
Danny Lee,4.68
Jeff Overton,4.68
Scott Pinckney,4.68
Michael Putnam,4.68
Kyle Reifers,4.68
Jonathan Byrd,4.69
Luke Donald,4.69
Derek Fathauer,4.69
Chez Reavie,4.69
Andres Romero,4.69
Sangmoon Bae,4.7
Erik Compton,4.7
Andres Gonzales,4.7
Chesson Hadley,4.7
S.J. Park,4.7
D.A. Points,4.7
Kevin Streelman,4.7
Jim Furyk,4.71
Fabian Gomez,4.71
Max Homa,4.71
Ben Martin,4.71
Geoff Ogilvy,4.71
Heath Slocum,4.71
Byron Smith,4.71
Scott Stallings,4.71
Tim Wilkinson,4.71
Ricky Barnes,4.72
K.J. Choi,4.72
Jon Curran,4.72
Gonzalo Fdez-Castano,4.72
Retief Goosen,4.72
Jason Gore,4.72
Whee Kim,4.72
Russell Knox,4.72
Justin Leonard,4.72
Andrew Svoboda,4.72
Greg Chalmers,4.73
Oscar Fraustro,4.73
David Hearn,4.73
Greg Owen,4.73
Bo Van Pelt,4.73
Mark Wilson,4.73
Ben Crane,4.74
Brian Davis,4.74
Spencer Levin,4.74
Davis Love III,4.74
Brian Stuard,4.74
Brice Garnett,4.75
Bill Lunde,4.75
Bryce Molder,4.75
Sean O'Hair,4.75
Roger Sloan,4.75
Chris Stroud,4.75
Padraig Harrington,4.76
Nicholas Thompson,4.76
Tyrone Van Aswegen,4.76
Luke Guthrie,4.77
Andrew Putnam,4.77
Jim Renner,4.77
Lee Westwood,4.77
Eric Axley,4.78
Matt Every,4.78
Billy Hurley III,4.79
David Toms,4.79
Troy Merritt,4.81
Robert Allenby,4.84
