PLAYER,STROKES GAINED PUTTING
Jason Day,1.012
Steve Stricker,0.905
Phil Mickelson,0.869
Jamie Donaldson,0.821
Adam Hadwin,0.73
Jordan Spieth,0.675
Brian Harman,0.666
Andrew Landry,0.641
Brian Stuard,0.63
Bryce Molder,0.627
Brendon Todd,0.611
Tim Wilkinson,0.605
Harris English,0.603
Daniel Summerhays,0.585
Patton Kizzire,0.578
Aaron Baddeley,0.568
Hunter Mahan,0.559
Troy Merritt,0.544
Freddie Jacobson,0.542
Martin Piller,0.537
Marc Leishman,0.529
Russell Henley,0.49
Jonas Blixt,0.475
Andrew Loupe,0.474
Ryan Moore,0.463
K.J. Choi,0.461
Retief Goosen,0.451
Brice Garnett,0.43
Kevin Kisner,0.43
Johnson Wagner,0.43
Colt Knost,0.423
Stuart Appleby,0.394
D.H. Lee,0.394
Rickie Fowler,0.39
Ernie Els,0.389
Matt Kuchar,0.388
Ricky Barnes,0.387
Derek Fathauer,0.382
William McGirt,0.381
Hiroshi Iwata,0.379
Ben Crane,0.376
Kelly Kraft,0.359
Peter Malnati,0.353
Jon Curran,0.349
Brooks Koepka,0.344
Tom Hoge,0.337
Wes Roach,0.333
Dustin Johnson,0.317
Billy Hurley III,0.306
Luke Donald,0.278
Daniel Berger,0.277
Morgan Hoffmann,0.274
John Senden,0.266
Shane Bertsch,0.26
Sung Kang,0.258
Ben Martin,0.256
Andy Sullivan,0.244
Anirban Lahiri,0.24
David Toms,0.231
Charles Howell III,0.228
Hudson Swafford,0.227
Steven Bowditch,0.222
Fabian Gomez,0.217
Michael Kim,0.212
Sam Saunders,0.212
Charley Hoffman,0.207
Zach Johnson,0.189
Jamie Lovemark,0.189
Cameron Tringale,0.179
Scott Langley,0.177
Mark Hubbard,0.173
Sean O'Hair,0.171
Billy Horschel,0.17
Seung-Yul Noh,0.166
Thomas Aiken,0.143
Steve Wheatcroft,0.142
David Hearn,0.136
Kevin Na,0.134
Alex Cejka,0.13
Zac Blair,0.125
Jason Bohn,0.123
Branden Grace,0.122
Jhonattan Vegas,0.122
Brandt Snedeker,0.117
Jimmy Walker,0.116
Charl Schwartzel,0.099
Shane Lowry,0.095
Kyle Stanley,0.094
Camilo Villegas,0.091
Martin Laird,0.082
Ian Poulter,0.079
J.B. Holmes,0.074
Cameron Smith,0.072
Hideki Matsuyama,0.067
Dawie van der Walt,0.066
Will Wilcox,0.063
Andres Gonzales,0.054
Luke Guthrie,0.048
Carl Pettersson,0.048
Bronson Burgoon,0.043
Tyler Aldridge,0.029
Patrick Reed,0.012
Tyrone Van Aswegen,0.008
Ryan Palmer,0.005
Russell Knox,0.003
Kyle Reifers,-0.006
Henrik Norlander,-0.017
Chesson Hadley,-0.018
Scott Brown,-0.021
Scott Piercy,-0.028
Adam Scott,-0.028
Sergio Garcia,-0.031
Gary Woodland,-0.035
Chris Stroud,-0.043
Erik Compton,-0.046
Smylie Kaufman,-0.056
Justin Rose,-0.057
Vijay Singh,-0.06
Jason Gore,-0.061
Tony Finau,-0.075
Jerry Kelly,-0.075
Rory McIlroy,-0.076
Boo Weekley,-0.083
Danny Lee,-0.086
Nick Taylor,-0.086
Chris Kirk,-0.093
Mark Wilson,-0.095
Graeme McDowell,-0.098
Paul Casey,-0.102
Brendon de Jonge,-0.106
Justin Thomas,-0.116
Michael Thompson,-0.121
Tim Herron,-0.123
David Lingmerth,-0.123
Bubba Watson,-0.133
Brett Stegmaier,-0.14
Spencer Levin,-0.146
Justin Hicks,-0.15
Jason Kokrak,-0.153
Darron Stiles,-0.156
Graham DeLaet,-0.159
George McNeill,-0.16
Chad Collins,-0.165
Rob Oppenheim,-0.17
Justin Leonard,-0.177
Carlos Ortiz,-0.181
Bill Haas,-0.184
Dicky Pride,-0.188
Luke List,-0.197
Francesco Molinari,-0.205
Bernd Wiesberger,-0.208
Henrik Stenson,-0.211
Brendan Steele,-0.222
Scott Pinckney,-0.233
Si Woo Kim,-0.24
Steve Marino,-0.241
Whee Kim,-0.256
James Hahn,-0.265
Blayne Barber,-0.266
Chez Reavie,-0.266
Jason Dufner,-0.267
Rhein Gibson,-0.267
Webb Simpson,-0.268
J.J. Henry,-0.277
Emiliano Grillo,-0.281
Angel Cabrera,-0.283
Jeff Overton,-0.287
Chad Campbell,-0.291
Harold Varner III,-0.302
Scott Stallings,-0.308
Roberto Castro,-0.314
Kevin Streelman,-0.321
John Huh,-0.324
Kevin Chappell,-0.356
Abraham Ancer,-0.382
Lucas Glover,-0.396
Patrick Rodgers,-0.402
Pat Perez,-0.421
Vaughn Taylor,-0.434
Stewart Cink,-0.448
Davis Love III,-0.459
Jim Herman,-0.468
Robert Allenby,-0.494
Matt Every,-0.508
Padraig Harrington,-0.56
Shawn Stefani,-0.587
Robert Streb,-0.589
Will MacKenzie,-0.607
D.A. Points,-0.623
Louis Oosthuizen,-0.66
Geoff Ogilvy,-0.717
Derek Ernst,-0.751
Matt Jones,-0.755
Robert Garrigus,-0.858
Ken Duke,-0.922
Keegan Bradley,-0.956
Rory Sabbatini,-0.993
Greg Owen,-1.023
Charlie Beljan,-1.721
