PLAYER,BOUNCE BACK
Aron Price,27.71
Webb Simpson,27.4
Dustin Johnson,26.58
Boo Weekley,26.5
Aaron Baddeley,26.15
J.B. Holmes,26.09
Luke Donald,25.9
Will Strickler,25.68
Blake Adams,25.32
Rickie Fowler,25.1
Brandt Jobe,25
Adam Scott,25
D.A. Points,24.91
Hunter Mahan,24.79
Nate Smith,24.63
Sergio Garcia,24.52
John Merrick,24.19
K.J. Choi,24.14
Charley Hoffman,23.7
Kyle Stanley,23.67
Matt Jones,23.64
Martin Laird,23.53
Robert Karlsson,23.42
Fabian Gomez,23.33
Chris Kirk,23.14
Brian Davis,23.02
Bill Lunde,22.87
Steve Marino,22.87
Scott Gutschewski,22.86
Billy Horschel,22.83
Kevin Stadler,22.81
Davis Love III,22.73
Jonathan Byrd,22.65
Shane Bertsch,22.6
Lucas Glover,22.57
Justin Rose,22.55
Geoff Ogilvy,22.4
Marc Turnesa,22.35
Jhonattan Vegas,22.35
Tommy Gainey,22.33
Cameron Tringale,22.33
Scott Piercy,22.32
Tim Petrovic,22.27
Ryan Palmer,22.22
David Toms,22.04
Robert Garrigus,22.01
Garrett Willis,22.01
Jim Herman,22
Chris Couch,21.99
Cameron Beckman,21.88
Angel Cabrera,21.88
Steven Bowditch,21.72
Jarrod Lyle,21.72
Rocco Mediate,21.65
Bio Kim,21.58
Woody Austin,21.57
Tim Herron,21.52
Kris Blanks,21.51
Stewart Cink,21.46
Ben Martin,21.46
Ryan Moore,21.46
Bubba Watson,21.46
Kevin Streelman,21.4
Billy Mayfair,20.97
Nick Watney,20.97
Derek Lamely,20.92
Vaughn Taylor,20.92
Stuart Appleby,20.9
Chad Campbell,20.83
Michael Connell,20.83
Matt Bettencourt,20.82
Rory Sabbatini,20.82
Steve Flesch,20.64
Joe Ogilvie,20.63
Troy Merritt,20.51
Spencer Levin,20.5
Graeme McDowell,20.42
Jim Renner,20.42
Charles Howell III,20.33
Ryuji Imada,20.33
Andres Romero,20.33
Michael Putnam,20.32
Josh Teater,20.32
Gary Woodland,20.32
George McNeill,20.3
Michael Thompson,20.3
Anthony Kim,20.27
Steve Stricker,20.26
Y.E. Yang,20.25
Brendon de Jonge,20.22
Robert Allenby,20.18
Paul Stankowski,20.18
Chez Reavie,20.15
David Duval,20.09
Kevin Chappell,20
Hunter Haas,20
Matt McQuillan,20
Nick O'Hern,19.92
Bill Haas,19.91
Kent Jones,19.91
Brandt Snedeker,19.91
Jason Bohn,19.9
Jason Day,19.89
Jimmy Walker,19.82
Chris Stroud,19.76
Ian Poulter,19.73
Arjun Atwal,19.72
Retief Goosen,19.58
Scott Stallings,19.54
Matt Kuchar,19.51
Freddie Jacobson,19.5
Carl Pettersson,19.47
Brendan Steele,19.47
Joseph Bramlett,19.41
Ricky Barnes,19.33
Keegan Bradley,19.32
Nathan Green,19.2
Greg Chalmers,19.18
Andres Gonzales,19.17
Stephen Ames,19.13
Bryce Molder,19.12
D.J. Trahan,19.11
Troy Matteson,18.97
Jeff Overton,18.91
Tag Ridings,18.89
Ernie Els,18.78
Charl Schwartzel,18.67
Zack Miller,18.6
Phil Mickelson,18.52
David Hearn,18.47
Harrison Frazar,18.37
John Rollins,18.22
Jason Dufner,18.18
Camilo Villegas,18.18
Jerry Kelly,18.14
Johnson Wagner,18.14
Ben Curtis,18.13
John Senden,18.11
Dean Wilson,18.07
Alex Cejka,18.01
Heath Slocum,17.83
Chris DiMarco,17.74
Kevin Na,17.6
Alex Prugh,17.52
Charlie Wi,17.5
Jim Furyk,17.43
Roland Thatcher,17.35
Bo Van Pelt,17.2
James Driscoll,17.19
Martin Piller,17.18
Tom Gillis,17.06
Sung Kang,17.03
Rod Pampling,17.02
Vijay Singh,16.95
Kevin Kisner,16.89
J.J. Henry,16.87
Justin Hicks,16.82
Pat Perez,16.82
Mark Wilson,16.82
Ben Crane,16.75
Lee Janzen,16.75
Briny Baird,16.55
Colt Knost,16.53
Zach Johnson,16.39
David Mathis,16.39
Richard Johnson,16.23
Brian Gay,16.09
Padraig Harrington,16.07
Trevor Immelman,15.89
Justin Leonard,15.77
Joe Durant,15.71
Sean O'Hair,15.65
Bobby Gates,15.5
Marc Leishman,15.23
Shaun Micheel,15.19
Alexandre Rocha,14.97
Scott McCarron,14.66
Michael Bradley,14.56
William McGirt,14.56
Chris Riley,14.29
Steve Elkington,13.95
D.J. Brigman,13.9
J.P. Hayes,13.19
Daniel Summerhays,13.01
Paul Goydos,12.85
Rich Beem,8.9
