PLAYER,prox to hole
Heath Slocum,31.11
Paul Goydos,32
Chad Campbell,32.2
Joe Durant,32.3
Shane Bertsch,32.7
David Toms,32.7
Jason Dufner,32.8
Brian Gay,32.8
Luke Donald,32.1
Alex Cejka,33.1
Jim Furyk,33.1
Brandt Jobe,33.1
Woody Austin,33.2
Chris Kirk,33.2
Davis Love III,33.3
Kris Blanks,33.5
Jason Bohn,33.6
Chez Reavie,33.7
Kevin Stadler,33.7
Stephen Ames,33.8
David Hearn,33.8
Steve Stricker,33.9
Zach Johnson,33.1
Brian Davis,33.11
David Mathis,33.11
Ian Poulter,33.11
Webb Simpson,33.11
Scott Stallings,33.11
Briny Baird,34
Chris DiMarco,34
Rickie Fowler,34
Matt Kuchar,34
John Rollins,34.1
Vijay Singh,34.1
K.J. Choi,34.3
Chris Stroud,34.3
Y.E. Yang,34.3
Brendon de Jonge,34.4
Andres Gonzales,34.4
Nick O'Hern,34.4
Geoff Ogilvy,34.4
Alex Prugh,34.4
Brandt Snedeker,34.5
Vaughn Taylor,34.5
Tommy Gainey,34.6
Tom Gillis,34.6
Lucas Glover,34.6
Spencer Levin,34.6
Pat Perez,34.6
Brendan Steele,34.6
Dean Wilson,34.6
Mark Wilson,34.6
Stewart Cink,34.7
Ben Curtis,34.7
Retief Goosen,34.7
Aron Price,34.7
Ricky Barnes,34.8
Kevin Chappell,34.8
Ernie Els,34.8
Justin Leonard,34.8
Boo Weekley,34.8
Dustin Johnson,34.9
Carl Pettersson,34.9
Kyle Stanley,34.9
Graeme McDowell,34.1
Bryce Molder,34.1
D.J. Trahan,34.1
Robert Garrigus,34.11
Michael Thompson,34.11
Marc Turnesa,34.11
Michael Bradley,35
Michael Connell,35
Jerry Kelly,35
George McNeill,35
Chris Riley,35
Kevin Streelman,35
Nick Watney,35
Sung Kang,35.1
Matt McQuillan,35.1
Troy Matteson,35.2
Billy Mayfair,35.2
Phil Mickelson,35.2
Harrison Frazar,35.3
Kent Jones,35.3
Rory Sabbatini,35.3
Justin Hicks,35.4
Lee Janzen,35.4
John Merrick,35.4
Cameron Beckman,35.5
Ben Crane,35.5
John Senden,35.5
Jim Herman,35.6
Bill Lunde,35.6
Jim Renner,35.6
Justin Rose,35.6
Gary Woodland,35.6
Robert Allenby,35.7
Keegan Bradley,35.7
J.P. Hayes,35.7
Ryan Moore,35.7
Sean O'Hair,35.7
Scott Piercy,35.7
Bo Van Pelt,35.7
Chris Couch,35.8
David Duval,35.8
Sergio Garcia,35.8
Jonathan Byrd,35.9
Charley Hoffman,35.9
Freddie Jacobson,35.9
Adam Scott,35.9
Camilo Villegas,35.9
Scott Gutschewski,35.1
Hunter Haas,35.1
William McGirt,35.1
Trevor Immelman,35.11
Shaun Micheel,36
Bubba Watson,36
Garrett Willis,36
Robert Karlsson,36.1
Kevin Na,36.1
Paul Stankowski,36.1
Stuart Appleby,36.2
Richard Johnson,36.2
Josh Teater,36.2
Roland Thatcher,36.2
Fabian Gomez,36.3
Billy Horschel,36.3
Johnson Wagner,36.3
Padraig Harrington,36.4
J.B. Holmes,36.4
Nate Smith,36.5
Arjun Atwal,36.6
Martin Laird,36.6
Marc Leishman,36.6
Blake Adams,36.7
Bobby Gates,36.7
Steve Marino,36.7
Ben Martin,36.7
Rocco Mediate,36.7
Joe Ogilvie,36.7
D.A. Points,36.7
Angel Cabrera,36.8
Tim Herron,36.8
Rod Pampling,36.8
Tim Petrovic,36.8
Jimmy Walker,36.9
Joseph Bramlett,36.1
Colt Knost,36.1
Hunter Mahan,36.1
Zack Miller,36.1
Charles Howell III,36.11
Greg Chalmers,37
Troy Merritt,37
Andres Romero,37
Matt Bettencourt,37.1
Bill Haas,37.1
Ryuji Imada,37.1
Alexandre Rocha,37.2
Daniel Summerhays,37.2
Rich Beem,37.3
Steve Flesch,37.3
Jeff Overton,37.3
Aaron Baddeley,37.5
Steve Elkington,37.5
Kevin Kisner,37.5
Michael Putnam,37.5
Ryan Palmer,37.6
Martin Piller,37.6
Tag Ridings,37.6
Charl Schwartzel,37.7
D.J. Brigman,37.8
Nathan Green,37.8
J.J. Henry,37.8
Jarrod Lyle,37.9
Charlie Wi,37.9
Jason Day,37.1
Matt Jones,38
Derek Lamely,38
Steven Bowditch,38.1
Anthony Kim,38.1
Cameron Tringale,38.2
Jhonattan Vegas,38.3
James Driscoll,38.6
Will Strickler,38.11
Bio Kim,39.9
Scott McCarron,39.11
