PLAYER,SCORING AVG
Jordan Spieth,69.47
Adam Scott,69.79
Matt Kuchar,69.801
Phil Mickelson,69.816
Jason Day,69.822
Rory McIlroy,69.851
Hideki Matsuyama,69.888
Dustin Johnson,69.904
Rickie Fowler,69.943
Justin Rose,70.009
Charles Howell III,70.138
Charl Schwartzel,70.191
Ryan Palmer,70.212
Sergio Garcia,70.236
Jason Dufner,70.274
Brooks Koepka,70.387
Kevin Na,70.393
Marc Leishman,70.428
Russell Knox,70.433
Branden Grace,70.437
Paul Casey,70.446
William McGirt,70.45
Bubba Watson,70.457
Brandt Snedeker,70.459
Charley Hoffman,70.482
Kevin Kisner,70.489
Gary Woodland,70.494
Jimmy Walker,70.496
Jamie Lovemark,70.524
Lucas Glover,70.54
Kevin Chappell,70.548
Daniel Berger,70.567
Chez Reavie,70.573
Sean O'Hair,70.576
Patton Kizzire,70.593
Colt Knost,70.62
Patrick Reed,70.624
Bill Haas,70.637
Steve Stricker,70.638
Harris English,70.639
Billy Horschel,70.645
Tim Wilkinson,70.646
Francesco Molinari,70.677
Webb Simpson,70.692
Chad Campbell,70.693
Daniel Summerhays,70.699
Graeme McDowell,70.702
Tony Finau,70.714
Alex Cejka,70.725
Freddie Jacobson,70.741
Justin Thomas,70.776
Bryce Molder,70.784
Luke List,70.786
J.B. Holmes,70.795
Adam Hadwin,70.796
Roberto Castro,70.804
Si Woo Kim,70.807
Jason Bohn,70.809
Henrik Stenson,70.809
David Toms,70.825
Zach Johnson,70.83
Danny Lee,70.831
Brendan Steele,70.844
Kyle Reifers,70.845
Retief Goosen,70.847
Spencer Levin,70.873
K.J. Choi,70.891
John Senden,70.894
Graham DeLaet,70.899
Aaron Baddeley,70.906
Luke Donald,70.925
Ricky Barnes,70.945
Johnson Wagner,70.947
Russell Henley,70.949
Jason Kokrak,70.96
Smylie Kaufman,70.966
Anirban Lahiri,70.978
Jamie Donaldson,70.997
Sung Kang,71.002
Kyle Stanley,71.015
David Hearn,71.018
Patrick Rodgers,71.026
Ben Crane,71.028
Will Wilcox,71.033
Louis Oosthuizen,71.052
Bronson Burgoon,71.056
Scott Piercy,71.063
Stewart Cink,71.078
Ryan Moore,71.078
Tom Hoge,71.099
Andrew Loupe,71.11
Stuart Appleby,71.123
Jhonattan Vegas,71.133
Hudson Swafford,71.147
Scott Stallings,71.15
Jonas Blixt,71.154
Seung-Yul Noh,71.154
Harold Varner III,71.159
Jerry Kelly,71.162
Mark Hubbard,71.19
John Huh,71.191
Martin Laird,71.197
Cameron Tringale,71.202
Fabian Gomez,71.23
Jim Herman,71.23
Vaughn Taylor,71.238
Shane Lowry,71.243
Vijay Singh,71.248
Chris Kirk,71.252
Ben Martin,71.255
Camilo Villegas,71.274
Brett Stegmaier,71.275
Brian Harman,71.291
Jon Curran,71.293
Boo Weekley,71.298
Scott Brown,71.304
Derek Fathauer,71.326
Chris Stroud,71.326
Nick Taylor,71.333
Jeff Overton,71.335
Emiliano Grillo,71.345
Kevin Streelman,71.355
Tyrone Van Aswegen,71.358
Michael Thompson,71.359
David Lingmerth,71.368
Padraig Harrington,71.392
Mark Wilson,71.401
Keegan Bradley,71.422
Justin Leonard,71.438
Dawie van der Walt,71.44
Tyler Aldridge,71.446
Michael Kim,71.496
Jason Gore,71.499
James Hahn,71.515
Will MacKenzie,71.522
Zac Blair,71.525
Henrik Norlander,71.538
Brian Stuard,71.54
Shane Bertsch,71.541
Thomas Aiken,71.566
Morgan Hoffmann,71.58
Blayne Barber,71.583
Martin Piller,71.598
Scott Pinckney,71.602
Justin Hicks,71.641
Robert Streb,71.657
Whee Kim,71.673
Greg Owen,71.704
Brice Garnett,71.721
Peter Malnati,71.723
Kelly Kraft,71.725
Ian Poulter,71.744
Steve Marino,71.755
Sam Saunders,71.755
Robert Garrigus,71.764
Hiroshi Iwata,71.769
Brendon de Jonge,71.812
Billy Hurley III,71.825
Scott Langley,71.856
Chesson Hadley,71.885
Troy Merritt,71.891
Cameron Smith,71.895
George McNeill,71.903
Steve Wheatcroft,71.908
Ernie Els,71.921
Rob Oppenheim,71.928
Chad Collins,71.93
Wes Roach,71.943
Hunter Mahan,71.958
Matt Jones,71.978
Davis Love III,72.035
Shawn Stefani,72.059
Luke Guthrie,72.06
J.J. Henry,72.135
Erik Compton,72.151
Carlos Ortiz,72.166
Pat Perez,72.2
Tim Herron,72.212
D.A. Points,72.226
Andrew Landry,72.276
Ken Duke,72.317
Geoff Ogilvy,72.319
Andres Gonzales,72.378
Derek Ernst,72.388
Rory Sabbatini,72.47
Angel Cabrera,72.48
Rhein Gibson,72.492
Brendon Todd,72.539
Dicky Pride,72.806
Carl Pettersson,72.812
Abraham Ancer,72.887
Darron Stiles,73.182
Matt Every,73.56
Robert Allenby,73.646
D.H. Lee,73.878
Steven Bowditch,73.947
Charlie Beljan,74.754
