PLAYER,POS
Bubba Watson,1
Jonas Blixt,2
Jordan Spieth,2
Miguel Jimenez,4
Rickie Fowler,5
Matt Kuchar,5
Lee Westwood,7
Thomas Bjorn,8
Bernhard Langer,8
Rory McIlroy,8
John Senden,8
Kevin Stadler,8
Jimmy Walker,8
Stewart Cink,14
Jamie Donaldson,14
Jim Furyk,14
Justin Rose,14
Adam Scott,14
Henrik Stenson,14
Fred Couples,20
Jason Day,20
Bill Haas,20
Chris Kirk,20
Ian Poulter,20
Louis Oosthuizen,25
Steven Bowditch,26
Gonzalo Fdez-Castano,26
Joost Luiten,26
Hunter Mahan,26
Gary Woodland,26
Russell Henley,31
Martin Kaymer,31
Steve Stricker,31
K.J. Choi,34
Stephen Gallacher,34
Jose Maria Olazabal,34
Brendon de Jonge,37
Billy Horschel,37
Thongchai Jaidee,37
Vijay Singh,37
Brandt Snedeker,37
Lucas Glover,42
Kevin Streelman,42
Darren Clarke,44
Sandy Lyle,44
Thorbjorn Olesen,44
Nick Watney,44
Mike Weir,44
Oliver Goss,49
Francesco Molinari,50
Larry Mize,51
Sang-Moon Bae,52
Luke Donald,53
Victor Dubuisson,54
Ernie Els,55
Matthew Fitzpatrick,56
Sergio Garcia,57
Marc Leishman,58
Phil Mickelson,59
Ryan Moore,60
Charl Schwartzel,61
Webb Simpson,62
Harris English,63
Zach Johnson,64
Graeme McDowell,65
D.A. Points,66
Ian Woosnam,67
Ken Duke,68
John Huh,69
Dustin Johnson,70
Hideki Matsuyama,71
Angel Cabrera,72
Graham DeLaet,73
Derek Ernst,74
Matt Jones,75
David Lynn,76
Matteo Manassero,77
Mark O'Meara,78
Patrick Reed,79
Keegan Bradley,80
Roberto Castro,81
Branden Grace,82
Trevor Immelman,83
Chang-woo Lee,84
Jason Dufner,85
Y.E. Yang,86
Matt Every,87
Jordan Niebrugge,88
Scott Stallings,89
Garrick Porteous,90
Boo Weekley,91
Tim Clark,92
Peter Hanson,93
Craig Stadler,94
Tom Watson,95
Michael McCoy,96
Ben Crenshaw,97
