PLAYER,SAND SAVE PERCENTAGE
Bill Haas,62.15
Mike Weir,61.95
Vijay Singh,61.36
Phil Mickelson,61.27
Charlie Wi,61.02
Tim Clark,60.98
Justin Leonard,60.58
Seung-Yul Noh,60.28
Jonas Blixt,59.29
Brian Gay,59.18
Heath Slocum,59.18
Retief Goosen,59.15
John Senden,59.01
Patrick Reed,58.97
Brendon Todd,58.24
Justin Rose,58.16
Greg Chalmers,58.08
Chris Kirk,57.89
Jordan Spieth,57.64
Jason Day,57.3
Marc Leishman,56.94
Morgan Hoffmann,56.89
Kevin Na,56.89
Richard Lee,56.83
Chad Collins,56.52
Sergio Garcia,56.36
Gonzalo Fdez-Castano,56.34
Matt Kuchar,56.34
Brian Davis,56.22
James Driscoll,55.97
Scott Langley,55.63
Charles Howell III,55.32
Russell Knox,55.2
Tim Wilkinson,55.07
David Hearn,54.88
Charl Schwartzel,54.78
"Ted Potter, Jr.",54.7
Bryce Molder,54.62
Sangmoon Bae,54.61
Aaron Baddeley,54.41
Ben Crane,54.41
John Huh,54.33
Hunter Mahan,54.32
K.J. Choi,54.3
Ryan Palmer,53.89
Tyrone Van Aswegen,53.78
Jason Dufner,53.76
Graeme McDowell,53.76
Adam Scott,53.66
Webb Simpson,53.62
Steven Bowditch,53.61
Graham DeLaet,53.45
Andres Romero,53.33
Zach Johnson,53.25
Troy Merritt,53.19
Hideki Matsuyama,53.06
Stuart Appleby,53.01
Martin Kaymer,52.63
Spencer Levin,52.53
Mark Wilson,52.53
Sean O'Hair,52.5
Billy Hurley III,52.34
Brooks Koepka,52.33
Martin Flores,52.31
Cameron Tringale,52.2
Josh Teater,52.17
Chris Stroud,52.14
D.A. Points,52.07
Dustin Johnson,51.96
Rickie Fowler,51.95
Brian Harman,51.81
Briny Baird,51.76
Luke Donald,51.4
Ken Duke,51.24
Stewart Cink,51.11
Luke Guthrie,51.11
Bronson La'Cassie,51.11
Brian Stuard,51.05
Matt Every,51.01
Kevin Chappell,50.97
Brice Garnett,50.97
Ryo Ishikawa,50.91
D.H. Lee,50.89
Ben Martin,50.79
Camilo Villegas,50.72
Bud Cauley,50.68
Jeff Maggert,50.59
Troy Matteson,50.57
Andrew Loupe,50.44
Keegan Bradley,50.4
Michael Thompson,50.4
Trevor Immelman,50.35
Jerry Kelly,50.34
Jim Furyk,50
Jimmy Walker,50
Michael Putnam,49.7
Jason Bohn,49.64
Lee Westwood,49.53
Chad Campbell,49.25
Brendan Steele,49.24
Will MacKenzie,49.23
Freddie Jacobson,49.06
Jason Kokrak,49.06
Ricky Barnes,48.98
Paul Casey,48.98
Rory Sabbatini,48.92
Brad Fritsch,48.91
James Hahn,48.85
Ian Poulter,48.76
Geoff Ogilvy,48.63
Roberto Castro,48.55
Will Wilcox,48.53
Jamie Lovemark,48.51
David Lingmerth,48.46
Y.E. Yang,48.37
Ernie Els,48.33
Brandt Snedeker,48.3
George McNeill,48.18
Russell Henley,48.1
Erik Compton,48.03
Robert Allenby,47.79
Ryan Moore,47.79
Rory McIlroy,47.5
Harris English,47.41
Ben Curtis,47.37
Pat Perez,47.37
Shawn Stefani,47
Carl Pettersson,46.91
Chesson Hadley,46.71
Jeff Overton,46.56
J.B. Holmes,46.55
Scott Brown,46.36
William McGirt,46.02
Charley Hoffman,45.71
Robert Garrigus,45.6
Martin Laird,45.36
Billy Horschel,45.08
Henrik Stenson,44.9
John Rollins,44.8
Bo Van Pelt,44.78
Scott Stallings,44.72
Brendon de Jonge,44.66
Nicholas Thompson,44.44
David Toms,44.44
Kyle Stanley,44.14
Louis Oosthuizen,44.12
Davis Love III,44.04
Robert Streb,43.97
Justin Hicks,43.88
Jhonattan Vegas,43.69
Danny Lee,43.59
Jonathan Byrd,43.51
Boo Weekley,43.48
Hudson Swafford,43.27
Kevin Streelman,43.17
Kevin Stadler,42.75
Daniel Summerhays,42.42
Johnson Wagner,42.27
Matt Jones,41.83
Bubba Watson,41.8
Gary Woodland,41.04
Jim Herman,40.91
Kevin Kisner,40.31
Tommy Gainey,40.15
Wes Roach,39.58
Jim Renner,38.83
Charlie Beljan,38.53
Derek Ernst,38.53
Woody Austin,38.04
Lucas Glover,37.78
Nick Watney,37.76
Angel Cabrera,37.17
J.J. Henry,36.78
Andrew Svoboda,36.67
John Merrick,36.44
John Peterson,36.08
Kevin Tway,34.07
