PLAYER,ONE PUTT PCT
Brian Gay,43.93
Brandt Snedeker,43.88
Ryuji Imada,42.84
Charlie Wi,42.69
Mike Weir,42.5
Greg Chalmers,42
Padraig Harrington,41.57
Michael Sim,41.18
Luke Donald,41.09
Kevin Na,41.04
Matt Jones,40.89
Pat Perez,40.8
Scott Verplank,40.79
J.B. Holmes,40.67
David Toms,40.65
Nathan Green,40.57
Zach Johnson,40.48
Aaron Baddeley,40.43
Tom Gillis,40.38
Justin Rose,40.38
Brian Davis,40.32
Matt Kuchar,40.23
Ryan Palmer,40.21
Webb Simpson,40.19
Freddie Jacobson,40.09
Steve Stricker,40.05
Jeff Quinney,39.99
Tim Clark,39.93
Phil Mickelson,39.91
Geoff Ogilvy,39.81
Jim Furyk,39.64
Daniel Chopra,39.56
Paul Goydos,39.53
Charley Hoffman,39.48
Ben Crane,39.43
Ryan Moore,39.38
Justin Leonard,39.27
Scott McCarron,39.26
Troy Merritt,39.21
Bo Van Pelt,39.21
Andres Romero,39.19
Paul Casey,39.18
Chris Couch,39.14
Retief Goosen,39.12
Rory McIlroy,39.1
Matt Bettencourt,39.07
Ian Poulter,39
Stuart Appleby,38.94
Rory Sabbatini,38.82
Y.E. Yang,38.65
Michael Letzig,38.56
Carl Pettersson,38.5
Camilo Villegas,38.5
Ernie Els,38.49
Jason Day,38.48
George McNeill,38.33
Chad Collins,38.31
Marc Leishman,38.31
Bryce Molder,38.29
Dustin Johnson,38.28
Rickie Fowler,38.27
Jeff Overton,38.2
Scott Piercy,38.19
Matt Every,38.15
Nick Watney,38.13
Ricky Barnes,38.08
Stephen Ames,38.06
Stewart Cink,38.06
Tim Petrovic,38.04
James Driscoll,37.75
Kevin Streelman,37.72
Jason Bohn,37.7
John Mallinger,37.61
Lee Janzen,37.59
K.J. Choi,37.47
Angel Cabrera,37.39
Steve Marino,37.38
Vaughn Taylor,37.36
Bob Estes,37.34
Martin Laird,37.24
Bubba Watson,37.23
Brad Faxon,37.16
Bill Haas,37.16
Jimmy Walker,37.13
Hunter Mahan,37.1
J.P. Hayes,37.06
Jason Dufner,37.04
James Nitties,37.02
Robert Allenby,37.01
Blake Adams,36.97
Chris DiMarco,36.93
Ben Curtis,36.89
Lucas Glover,36.79
Jonathan Byrd,36.73
Charles Howell III,36.73
Sean O'Hair,36.65
Steve Flesch,36.61
John Rollins,36.56
Vijay Singh,36.56
Alex Prugh,36.55
Rod Pampling,36.44
Roland Thatcher,36.42
Joe Ogilvie,36.36
Woody Austin,36.32
Will MacKenzie,36.27
Johnson Wagner,36.27
Michael Connell,36.2
David Duval,36.15
Shaun Micheel,36.11
Jeev Milkha Singh,36.11
Josh Teater,35.97
Dean Wilson,35.91
Tim Herron,35.86
Derek Lamely,35.8
Adam Scott,35.78
Chris Riley,35.77
Trevor Immelman,35.76
Chad Campbell,35.64
Martin Flores,35.63
Heath Slocum,35.62
Brian Stuard,35.6
Chris Tidland,35.57
Spencer Levin,35.56
Brett Wetterich,35.49
Ted Purdy,35.47
D.A. Points,35.37
Rich Barcelo,35.32
Sergio Garcia,35.26
Brett Quigley,35.24
Kenny Perry,35.21
Bill Lunde,35.16
D.J. Trahan,35.14
Garrett Willis,34.96
Steve Elkington,34.91
Michael Bradley,34.78
Greg Owen,34.78
Briny Baird,34.74
Alex Cejka,34.71
Steve Wheatcroft,34.68
Kevin Sutherland,34.63
Kevin Stadler,34.5
Cameron Beckman,34.4
Mark Wilson,34.29
Jerry Kelly,34.23
Brendon de Jonge,34.16
Brenden Pappas,34.09
Vance Veazey,34
Mathias Gronberg,33.97
Graham DeLaet,33.96
Jerod Turner,33.95
Aron Price,33.89
Skip Kendall,33.72
Robert Garrigus,33.65
Davis Love III,33.61
Chris Wilson,33.5
Jeff Maggert,33.48
Craig Bowden,33.43
John Senden,33.39
Nicholas Thompson,33.33
Kevin Johnson,33.24
Mathew Goggin,33.14
John Merrick,33.13
Richard Johnson,33.09
Steve Lowery,33.08
Paul Stankowski,33.06
Rocco Mediate,33.02
Chris Stroud,33.02
Andrew McLardy,32.91
Charles Warren,32.9
Jarrod Lyle,32.82
J.J. Henry,32.67
Troy Matteson,32.61
Cliff Kresge,32.56
Garth Mulroy,32.49
Joe Durant,32.42
Cameron Percy,32.42
David Lutterus,32.37
Tom Pernice Jr.,32.36
Jay Williamson,32.31
Omar Uresti,32.28
Greg Kraft,32.26
Boo Weekley,32.2
John Daly,31.83
Justin Bolli,31.82
Brent Delahoussaye,31.58
Henrik Bjornstad,30.86
Mark Calcavecchia,30.11
Billy Mayfair,29.91
Cameron Tringale,29.9
Kris Blanks,29.85
Roger Tambellini,28.93
Jeff Gove,28.36
