PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
J.B. Holmes,125.25,128.48,122.11
Bubba Watson,124.55,128.29,121.67
Gary Woodland,124.34,127.95,117.28
Jhonattan Vegas,122.2,126.13,115.29
Dustin Johnson,122.13,125.71,118.63
Robert Garrigus,121.89,125.33,114.38
Zack Miller,120.78,125.76,115.04
Chris Couch,120.33,124.49,115.14
Tag Ridings,120.33,124.48,116.98
Angel Cabrera,119.72,122.53,116.86
Sergio Garcia,119.43,124.01,115.82
Scott Stallings,119.25,122.94,114.59
Aaron Baddeley,119.14,122.4,114.63
Kyle Stanley,118.81,126.67,115.32
Bio Kim,118.61,123.83,103.66
Phil Mickelson,118.48,122.97,115.22
James Driscoll,118.47,123.13,110.68
Will Strickler,118.42,122.67,109.49
Trevor Immelman,118.4,121.09,112.13
Steven Bowditch,118.11,122.44,107.39
Charley Hoffman,118.1,123.59,114.73
Nick Watney,118.01,123.37,109.18
Jimmy Walker,117.8,121.74,107.06
Robert Karlsson,117.69,121.18,111.95
Martin Laird,117.65,122,110.87
Ricky Barnes,117.54,123.89,113.25
Keegan Bradley,117.49,121.37,109.02
Adam Scott,117.26,120.08,113.93
Bill Haas,117.18,119.71,108.62
Jason Day,117.02,120.72,110.67
Derek Lamely,116.98,120.85,111.76
George McNeill,116.82,120.38,113.16
Charl Schwartzel,116.67,120.69,112.59
John Senden,116.59,122.84,108.14
Bobby Gates,116.55,121.62,101.2
Troy Matteson,116.52,119.66,113
Lucas Glover,116.5,120.25,110.14
Charles Howell III,116.46,120.24,113.31
Matt Jones,116.25,120.25,108.4
Marc Leishman,116.2,119.96,112.07
Andres Romero,116.02,122.22,110.66
Davis Love III,115.89,119.76,110.37
Scott Piercy,115.89,120.15,111.74
Sean O'Hair,115.87,122.04,111.44
D.J. Trahan,115.81,121.02,108.4
Josh Teater,115.75,119.01,109.34
Michael Putnam,115.73,119.76,112.35
Harrison Frazar,115.71,119.87,107.7
Alex Prugh,115.71,118.28,112.7
Jim Herman,115.6,119.29,109.64
Scott Gutschewski,115.45,119.1,109.17
Joseph Bramlett,115.36,120.14,110.59
Brandt Jobe,115.29,119.62,110.19
David Duval,115.22,117.9,112.33
Pat Perez,115.2,119.69,108.5
Padraig Harrington,115.15,118.07,110.86
Kevin Streelman,115.06,119.2,111.02
Retief Goosen,114.98,117.9,111.6
Stewart Cink,114.91,118.26,109.6
Boo Weekley,114.91,119.64,111.38
Justin Rose,114.89,119.98,111.39
Ryan Palmer,114.87,119.89,103.71
Anthony Kim,114.85,118.41,111.4
Jonathan Byrd,114.84,119.26,108.47
Blake Adams,114.75,118.48,108.54
Kevin Chappell,114.65,118.04,110.83
Cameron Tringale,114.65,118.63,109.33
Rickie Fowler,114.53,119.67,107.53
John Rollins,114.5,118.3,106.05
Brendon de Jonge,114.45,119.71,108.65
Nathan Green,114.29,118.28,107.38
Stuart Appleby,114.24,117.87,110.98
Scott McCarron,114.18,117.41,110.97
Michael Bradley,114.14,117.09,110.01
Tom Gillis,114.11,117.65,106.76
Steve Marino,114.11,117.58,110.65
Matt Bettencourt,114.05,117.15,110.93
Tommy Gainey,113.92,117.69,103.64
Y.E. Yang,113.92,117.94,110.5
Bo Van Pelt,113.85,116.91,103.12
Rory Sabbatini,113.79,116.85,110.82
Webb Simpson,113.69,117.68,106.72
Ben Martin,113.55,118.28,109.96
Chad Campbell,113.54,116.83,106.56
Brendan Steele,113.54,117.67,106.82
Jeff Overton,113.5,118.09,110.42
William McGirt,113.49,116.6,106.97
Ryan Moore,113.45,117.24,110.45
Jim Renner,113.36,118.2,110
Kevin Stadler,113.34,117.52,109.41
Andres Gonzales,113.25,116.17,109.91
Kevin Na,113.12,117.98,108.21
Graeme McDowell,113.1,116.19,110.91
Camilo Villegas,113.09,117.56,109.85
Geoff Ogilvy,113.08,116.13,105.66
Jarrod Lyle,113.05,118.2,107.84
Vijay Singh,113.05,116.25,109.1
J.J. Henry,112.85,117.69,107.22
Michael Thompson,112.66,115.36,106.9
Roland Thatcher,112.62,115.91,109.05
Bill Lunde,112.6,116.24,106.54
Fabian Gomez,112.59,117.59,109.43
Rod Pampling,112.56,115.52,109.49
Freddie Jacobson,112.49,116.71,108.13
Ernie Els,112.42,116.81,108.26
Chris Stroud,112.26,114.86,108.72
Lee Janzen,112.16,115.52,106.82
Robert Allenby,112.11,114.68,106.64
Tim Herron,112.03,115.1,108.84
Luke Donald,111.97,116.88,108.08
Chris Kirk,111.92,115.34,106.28
Sung Kang,111.83,118.76,108.15
Hunter Mahan,111.76,114.95,104.53
Troy Merritt,111.6,114.97,108.41
Ryuji Imada,111.59,114.64,107.27
Daniel Summerhays,111.49,115.47,107.98
Charlie Wi,111.43,115.79,104.08
Joe Durant,111.39,114.59,107.31
Billy Horschel,111.38,114.39,108.61
Kris Blanks,111.33,116.16,107.09
Shaun Micheel,111.27,114.89,107.82
David Hearn,111.21,115.29,106.88
Martin Piller,111.2,116.4,105.19
Alexandre Rocha,111.16,117.55,107.6
Joe Ogilvie,111.08,114.61,107.18
Hunter Haas,110.99,115.02,101.2
Woody Austin,110.98,114.14,105
Briny Baird,110.96,114.59,106.59
Steve Stricker,110.94,113.98,107.35
Carl Pettersson,110.92,115.72,105.23
Kevin Kisner,110.83,113.97,106.47
D.J. Brigman,110.76,114.7,106.72
K.J. Choi,110.6,113.62,106.01
John Merrick,110.48,114.36,104.28
Brandt Snedeker,110.45,113.39,108.34
Matt Kuchar,110.41,115.62,106.82
Chez Reavie,110.41,114.99,105.45
Paul Stankowski,110.37,113,107.36
Spencer Levin,110.35,114.18,107.4
D.A. Points,110.2,113.46,106.02
Kent Jones,110.17,113.52,101.42
Cameron Beckman,110.15,114.43,102.42
Billy Mayfair,110.12,114.47,106.38
Jason Dufner,110.11,114.96,103.85
Ian Poulter,110.02,112.87,107.14
Greg Chalmers,109.98,112.78,104.7
Marc Turnesa,109.84,113.22,105.51
Stephen Ames,109.67,112.76,100.94
Bryce Molder,109.64,115.25,104.07
Johnson Wagner,109.59,112.83,106.8
Nate Smith,109.23,112.35,105.95
David Mathis,109.13,116.95,105.36
Tim Petrovic,109.11,112.04,106.05
Dean Wilson,109.08,112.33,105.53
Jason Bohn,108.98,113.16,104.96
Arjun Atwal,108.94,112.61,105.68
Steve Flesch,108.93,115.34,105.94
Michael Connell,108.92,112.78,99.94
Ben Crane,108.85,114.3,104.17
Jim Furyk,108.71,112.61,104.15
Vaughn Taylor,108.65,111.84,105.33
Steve Elkington,108.64,110.71,105.98
Rich Beem,108.61,111.65,104.19
Justin Leonard,108.38,111.66,106.26
Colt Knost,108.37,115.12,104.56
Matt McQuillan,108.36,113.03,104.52
Chris DiMarco,108.29,110.9,104.46
Justin Hicks,108.29,115.58,105.45
J.P. Hayes,107.95,110.8,101.27
Shane Bertsch,107.89,110.64,105.05
Richard Johnson,107.88,118.07,103.12
Ben Curtis,107.66,110.31,104.07
Mark Wilson,107.61,112.15,104.81
Chris Riley,107.56,110.94,103.7
Alex Cejka,107.55,112.68,104.31
Garrett Willis,107.03,109.21,103.49
Zach Johnson,106.92,109.89,102.93
Jerry Kelly,106.61,110.27,103.7
Brian Davis,106.4,110.82,102.39
David Toms,106.24,110.4,102.75
Aron Price,106.16,112.54,102.39
Heath Slocum,106.13,109.89,102.88
Rocco Mediate,106.02,121.27,101.88
Paul Goydos,105.7,109.66,100.88
Nick O'Hern,104.55,107.38,100.06
Brian Gay,103.39,109.34,100.1
