PLAYER,ROUGH TENDENCY
Jerry Kelly,19.45
Heath Slocum,19.94
Graeme McDowell,20.53
Tim Clark,21.73
Chez Reavie,22.55
Chris DiMarco,22.62
Mark Wilson,22.64
Gary Christian,22.8
Kevin Na,23.45
Jeff Maggert,23.59
Chris Couch,23.62
Ian Poulter,23.63
Kris Blanks,23.65
Zach Johnson,23.83
Jim Furyk,23.87
David Toms,24.06
Brian Harman,24.36
John Huh,24.47
John Mallinger,24.57
Stuart Appleby,24.67
Ryan Moore,24.78
Ben Curtis,24.81
Colt Knost,24.87
Brian Davis,24.93
Boo Weekley,24.94
Jason Bohn,24.95
Roland Thatcher,25
Blake Adams,25.12
Billy Horschel,25.19
Hunter Mahan,25.34
John Senden,25.38
Jason Dufner,25.4
Tom Gillis,25.42
Russell Knox,25.58
Kevin Stadler,25.62
Rod Pampling,25.68
Cameron Tringale,25.73
Will Claxton,25.84
Ben Crane,26.25
Richard Lee,26.29
Billy Mayfair,26.33
John Merrick,26.43
Rickie Fowler,26.48
D.A. Points,26.52
Roberto Castro,26.53
Ken Duke,26.56
Steve Stricker,26.66
Justin Rose,26.74
Brian Gay,26.83
Nick O'Hern,26.84
Gavin Coles,26.86
Henrik Stenson,26.93
Scott Dunlap,26.99
Chris Stroud,26.99
D.J. Trahan,27.25
Brendan Steele,27.39
K.J. Choi,27.42
Brendon de Jonge,27.53
Charley Hoffman,27.57
Bo Van Pelt,27.67
Bill Haas,27.68
J.J. Henry,27.69
David Mathis,27.71
"Ted Potter, Jr.",27.73
Luke Donald,27.75
John Rollins,27.95
Greg Chalmers,28
Bud Cauley,28.04
Kevin Streelman,28.05
Pat Perez,28.08
Brandt Jobe,28.09
Tommy Biershenk,28.16
Matt Kuchar,28.18
Louis Oosthuizen,28.21
Vaughn Taylor,28.25
David Hearn,28.3
Rory Sabbatini,28.32
Billy Hurley III,28.34
Alexandre Rocha,28.37
Cameron Beckman,28.51
Vijay Singh,28.53
Kevin Kisner,28.57
Chad Campbell,28.6
Stephen Ames,28.68
Arjun Atwal,28.77
Kyle Reifers,28.84
Charlie Wi,28.88
Geoff Ogilvy,28.95
Matt Every,28.99
Brandt Snedeker,29
Steve Wheatcroft,29.01
Garth Mulroy,29.09
Scott Brown,29.12
Robert Allenby,29.15
Dicky Pride,29.26
Camilo Villegas,29.27
Freddie Jacobson,29.3
William McGirt,29.3
Kyle Thompson,29.3
George McNeill,29.32
Y.E. Yang,29.34
Hunter Haas,29.4
Josh Teater,29.41
Justin Leonard,29.45
Bryce Molder,29.51
Sean O'Hair,29.55
Keegan Bradley,29.64
Tim Herron,29.68
Michael Thompson,29.68
Rocco Mediate,29.69
Johnson Wagner,29.69
Daniel Summerhays,29.7
Miguel Angel Carballo,29.71
Charl Schwartzel,29.71
Harris English,29.74
Tom Pernice Jr.,29.79
Sergio Garcia,29.89
Greg Owen,29.97
Danny Lee,29.98
Sung Kang,30
Jeff Overton,30.14
Bill Lunde,30.2
Lee Westwood,30.27
Bob Estes,30.32
Webb Simpson,30.32
Padraig Harrington,30.37
Martin Laird,30.41
Andres Romero,30.63
Angel Cabrera,30.72
Bobby Gates,30.78
Trevor Immelman,30.9
Chris Kirk,30.9
Graham DeLaet,30.93
Tiger Woods,30.93
Marco Dawson,30.96
Carl Pettersson,30.99
Nathan Green,31.02
Nick Watney,31.18
Seung-Yul Noh,31.26
Tommy Gainey,31.46
Adam Scott,31.56
Davis Love III,31.71
Ricky Barnes,31.72
Mathew Goggin,31.72
Ryan Palmer,31.84
Jonas Blixt,31.87
Scott Stallings,32.34
Kevin Chappell,32.36
Brendon Todd,32.41
Phil Mickelson,32.44
Patrick Sheehan,32.52
Matt Jones,32.56
Erik Compton,32.58
Kyle Stanley,32.79
Ryuji Imada,32.91
Jonathan Byrd,33.03
J.J. Killeen,33.19
Spencer Levin,33.3
James Driscoll,33.51
Scott Piercy,33.53
Edward Loar,33.61
Harrison Frazar,33.68
Charlie Beljan,33.73
Derek Lamely,33.73
Ernie Els,33.74
Troy Kelly,33.86
J.B. Holmes,33.9
Robert Karlsson,33.98
Jimmy Walker,34.03
Sangmoon Bae,34.05
Martin Flores,34.07
Dustin Johnson,34.07
John Daly,34.23
Robert Garrigus,34.25
Aaron Baddeley,34.26
Michael Bradley,34.35
Charles Howell III,34.4
Bubba Watson,34.41
Stephen Gangluff,34.47
Matt Bettencourt,34.55
Mark Anderson,34.57
Marc Leishman,34.64
Gary Woodland,35.03
Jhonattan Vegas,35.54
Stewart Cink,35.77
Jason Kokrak,35.87
Troy Matteson,36.1
Jason Day,36.86
Ryo Ishikawa,37.4
Rory McIlroy,37.41
Daniel Chopra,40.03
