PLAYER,STROKES GAINED PUTTING
Luke Donald,0.87
Carl Pettersson,0.818
Paul Casey,0.812
Dean Wilson,0.781
Greg Chalmers,0.772
Brian Gay,0.73
Retief Goosen,0.679
Matt Kuchar,0.648
Chad Collins,0.626
Zach Johnson,0.583
Charlie Wi,0.574
Ryuji Imada,0.551
Michael Sim,0.518
Troy Merritt,0.512
Aaron Baddeley,0.509
Matt Jones,0.509
Scott McCarron,0.507
Kevin Na,0.493
Bryce Molder,0.476
Brandt Snedeker,0.464
Charles Howell III,0.452
Steve Stricker,0.437
Ryan Palmer,0.433
Brad Faxon,0.426
Jeff Overton,0.409
Jim Furyk,0.402
Jeff Quinney,0.388
Pat Perez,0.379
Stephen Ames,0.375
Geoff Ogilvy,0.37
Webb Simpson,0.37
Matt Bettencourt,0.368
Daniel Chopra,0.361
Tom Gillis,0.359
Nathan Green,0.339
Michael Connell,0.337
Skip Kendall,0.333
Paul Stankowski,0.332
Ernie Els,0.33
Steve Elkington,0.328
George McNeill,0.319
James Driscoll,0.315
Chris Couch,0.302
Ryan Moore,0.299
Brian Stuard,0.289
David Toms,0.274
Tim Clark,0.269
Padraig Harrington,0.267
Ben Crane,0.266
Steve Marino,0.261
Andres Romero,0.254
Jimmy Walker,0.252
Justin Rose,0.243
Freddie Jacobson,0.241
Matt Every,0.24
Shaun Micheel,0.235
Brent Delahoussaye,0.231
Chris Tidland,0.231
Ben Curtis,0.229
J.J. Henry,0.217
Scott Piercy,0.215
Ian Poulter,0.213
Steve Wheatcroft,0.211
Alex Prugh,0.202
Blake Adams,0.196
Stewart Cink,0.19
Richard Johnson,0.188
Y.E. Yang,0.188
Chris Riley,0.185
Justin Leonard,0.181
Tim Herron,0.171
Rich Barcelo,0.144
Mark Wilson,0.139
Robert Allenby,0.137
James Nitties,0.133
Spencer Levin,0.132
Jason Bohn,0.13
Rickie Fowler,0.129
David Duval,0.12
Dustin Johnson,0.112
Charley Hoffman,0.104
Bo Van Pelt,0.098
Joe Ogilvie,0.096
Nick Watney,0.09
Brett Quigley,0.078
Trevor Immelman,0.074
Hunter Mahan,0.068
Johnson Wagner,0.065
J.B. Holmes,0.064
Chris Stroud,0.062
K.J. Choi,0.054
John Mallinger,0.051
Jarrod Lyle,0.049
Kevin Streelman,0.044
Scott Verplank,0.034
Jonathan Byrd,0.029
J.P. Hayes,0.027
Ricky Barnes,0.021
Derek Lamely,0.02
Aron Price,0.017
Bob Estes,0.014
Brendon de Jonge,0
Jerod Turner,-0.002
Tim Petrovic,-0.006
Jason Day,-0.009
Bill Lunde,-0.012
Mike Weir,-0.018
Briny Baird,-0.026
Jeev Milkha Singh,-0.045
Stuart Appleby,-0.056
Vaughn Taylor,-0.056
Chris DiMarco,-0.058
Woody Austin,-0.063
Bill Haas,-0.065
Michael Letzig,-0.071
Sean O'Hair,-0.071
Bubba Watson,-0.077
Steve Flesch,-0.078
Michael Bradley,-0.084
Brenden Pappas,-0.091
Kevin Sutherland,-0.094
D.A. Points,-0.1
Chad Campbell,-0.106
Martin Flores,-0.106
Vance Veazey,-0.109
Ted Purdy,-0.114
Lucas Glover,-0.115
John Merrick,-0.126
Brett Wetterich,-0.126
Garrett Willis,-0.137
John Senden,-0.139
Marc Leishman,-0.146
Phil Mickelson,-0.147
Angel Cabrera,-0.148
Paul Goydos,-0.158
Robert Garrigus,-0.164
Tom Pernice Jr.,-0.165
Andrew McLardy,-0.172
Jay Williamson,-0.174
Greg Kraft,-0.182
Mathias Gronberg,-0.184
Rory Sabbatini,-0.202
Henrik Bjornstad,-0.211
John Rollins,-0.216
Rory McIlroy,-0.225
Kenny Perry,-0.244
Rod Pampling,-0.247
Brian Davis,-0.249
Heath Slocum,-0.259
Kevin Stadler,-0.275
Joe Durant,-0.292
Cameron Beckman,-0.297
Lee Janzen,-0.302
Martin Laird,-0.304
Josh Teater,-0.314
David Lutterus,-0.33
Kevin Johnson,-0.35
Jeff Maggert,-0.357
Graham DeLaet,-0.36
Sergio Garcia,-0.36
Boo Weekley,-0.376
Mathew Goggin,-0.377
Roland Thatcher,-0.384
Steve Lowery,-0.386
Camilo Villegas,-0.396
Craig Bowden,-0.404
Charles Warren,-0.411
Jerry Kelly,-0.444
Troy Matteson,-0.445
Will MacKenzie,-0.448
Alex Cejka,-0.466
D.J. Trahan,-0.467
Cameron Percy,-0.491
Davis Love III,-0.51
Rocco Mediate,-0.543
Justin Bolli,-0.558
Kris Blanks,-0.568
Cliff Kresge,-0.573
Garth Mulroy,-0.586
Jason Dufner,-0.6
Greg Owen,-0.641
John Daly,-0.653
Chris Wilson,-0.668
Cameron Tringale,-0.711
Vijay Singh,-0.739
Adam Scott,-0.746
Omar Uresti,-0.757
Roger Tambellini,-0.789
Mark Calcavecchia,-0.871
Nicholas Thompson,-0.885
Jeff Gove,-0.947
Billy Mayfair,-1.008
