PLAYER,birdie conversion
Phil Mickelson,34.97
Tiger Woods,33.33
Charl Schwartzel,33.17
Rory McIlroy,33.13
Aaron Baddeley,32.99
Sangmoon Bae,32.84
Brandt Snedeker,32.8
Charley Hoffman,32.59
Ryan Palmer,32.55
Rory Sabbatini,32.5
Charlie Wi,32.43
Chris Kirk,32.35
Andres Romero,32.26
Vaughn Taylor,32.13
Morgan Hoffmann,32.12
Matt Every,32.06
Jordan Spieth,32.01
Harris English,31.94
Steven Bowditch,31.86
Billy Horschel,31.85
Steve Stricker,31.77
Jimmy Walker,31.39
Dustin Johnson,31.35
Greg Chalmers,31.3
Brian Davis,31.26
Bryce Molder,31.26
Russell Henley,31.11
David Hearn,31.05
Patrick Reed,31.05
Scott Piercy,31.03
Robert Garrigus,31
Mike Weir,30.98
David Lingmerth,30.92
Jason Bohn,30.91
Daniel Summerhays,30.9
Luke Donald,30.76
James Driscoll,30.75
Gary Woodland,30.74
Keegan Bradley,30.7
Jason Day,30.65
Matt Kuchar,30.65
Webb Simpson,30.58
Rickie Fowler,30.5
Kevin Stadler,30.49
Bubba Watson,30.41
James Hahn,30.34
Charles Howell III,30.32
Justin Rose,30.28
Peter Hanson,30.23
Camilo Villegas,30.21
Jeff Overton,30.19
Justin Leonard,30.15
Matt Jones,30.08
Brian Gay,30.06
Jason Kokrak,30.02
Brad Fritsch,30
Luke Guthrie,29.88
Scott Stallings,29.88
Fabian Gomez,29.81
D.A. Points,29.77
Stephen Ames,29.74
Sergio Garcia,29.62
Freddie Jacobson,29.58
Luke List,29.52
Chris Stroud,29.5
Pat Perez,29.37
Martin Flores,29.35
Henrik Stenson,29.35
Graham DeLaet,29.34
Doug LaBelle II,29.33
Tommy Gainey,29.32
Roberto Castro,29.28
Ryan Moore,29.23
Josh Teater,29.23
Adam Scott,29.21
Aaron Watkins,29.21
Hunter Mahan,29.07
Kevin Chappell,28.84
Seung-Yul Noh,28.77
D.H. Lee,28.74
Nicholas Thompson,28.69
Carl Pettersson,28.67
Jason Dufner,28.62
John Rollins,28.54
Nick Watney,28.5
Ernie Els,28.4
Kevin Streelman,28.36
Brendon de Jonge,28.33
Shawn Stefani,28.33
Stewart Cink,28.32
Brendan Steele,28.29
Angel Cabrera,28.25
Bo Van Pelt,28.24
Lee Westwood,28.22
Bud Cauley,28.19
William McGirt,28.15
Brian Harman,28.14
David Toms,28.14
Erik Compton,28.09
"Ted Potter, Jr.",28.05
Jim Herman,28.02
Justin Bolli,27.98
Henrik Norlander,27.95
Charlie Beljan,27.92
Boo Weekley,27.87
Tag Ridings,27.83
Zach Johnson,27.76
D.J. Trahan,27.76
Alistair Presnell,27.74
Cameron Tringale,27.73
Ken Duke,27.72
Jim Furyk,27.69
Bill Haas,27.65
Greg Owen,27.62
George McNeill,27.6
Robert Streb,27.6
Justin Hicks,27.57
Bob Estes,27.5
Cameron Percy,27.44
Scott Brown,27.41
Martin Kaymer,27.41
Jonas Blixt,27.4
Tim Clark,27.39
Scott Gardiner,27.35
Tim Herron,27.33
Jeff Maggert,27.32
Geoff Ogilvy,27.32
Robert Karlsson,27.29
John Merrick,27.28
Jerry Kelly,27.27
Lucas Glover,27.26
Marc Leishman,27.25
Rod Pampling,27.25
Chez Reavie,27.2
Martin Laird,27.16
David Mathis,27.15
Richard Lee,27.14
Steve LeBrun,27.13
Jin Park,27.07
Ben Crane,27.03
David Lynn,26.93
Stuart Appleby,26.9
Y.E. Yang,26.9
John Senden,26.89
Brian Stuard,26.89
Kyle Stanley,26.81
Tom Gillis,26.69
Dicky Pride,26.58
Ian Poulter,26.57
K.J. Choi,26.53
Padraig Harrington,26.44
Brandt Jobe,26.35
Chad Campbell,26.32
John Huh,26.29
Derek Ernst,26.28
Graeme McDowell,26.27
Scott Langley,26.19
Darron Stiles,26.19
Colt Knost,26.15
Andrew Svoboda,26.15
Robert Allenby,26.04
Ryo Ishikawa,25.78
Ben Kohles,25.75
Eric Meierdierks,25.73
Sean O'Hair,25.64
Lee Williams,25.49
Will Claxton,25.4
Michael Thompson,25.21
Ricky Barnes,25.03
Ben Curtis,24.92
Casey Wittenberg,24.65
Michael Bradley,24.6
Troy Matteson,24.41
Nicolas Colsaerts,24.33
Mark Wilson,24.23
J.J. Henry,24.22
Johnson Wagner,23.81
Bobby Gates,23.43
Trevor Immelman,22.67
Vijay Singh,22.27
