PLAYER,HIT FAIRWAY PCT
Henrik Stenson,72.65
Steve Stricker,72.24
Jerry Kelly,71.51
Mark Wilson,71.26
Jim Furyk,70.87
Chez Reavie,70.28
Ken Duke,70.18
Zach Johnson,70.09
Graeme McDowell,69.5
Tim Clark,69.23
Justin Hicks,69.1
Ryan Moore,69.1
Darron Stiles,69.07
K.J. Choi,69.06
Brian Davis,68.95
Jordan Spieth,68.39
John Huh,68.35
Jin Park,68.34
"Ted Potter, Jr.",68.23
Jeff Maggert,68.22
Roberto Castro,68.19
Doug LaBelle II,68.02
Ben Kohles,67.52
Graham DeLaet,67.29
Kevin Streelman,67.23
D.H. Lee,67.13
Brendon de Jonge,66.99
Hunter Mahan,66.88
Richard Lee,66.77
Colt Knost,66.67
Boo Weekley,66.46
Jason Bohn,66.16
George McNeill,66.03
Russell Henley,66.01
J.J. Henry,65.86
David Lingmerth,65.82
Matt Jones,65.7
Bryce Molder,65.58
Brandt Jobe,65.48
Y.E. Yang,65.44
Nicholas Thompson,65.41
David Toms,65.32
Brian Stuard,65.18
Jason Dufner,65.14
Vaughn Taylor,65.1
Tom Gillis,65.02
Dicky Pride,64.84
Brian Gay,64.8
Justin Leonard,64.74
Bo Van Pelt,64.71
Keegan Bradley,64.66
Webb Simpson,64.51
Billy Horschel,64.17
Ian Poulter,64.15
Bob Estes,64.1
Greg Chalmers,63.99
D.A. Points,63.91
Kevin Stadler,63.78
Lee Westwood,63.7
Justin Rose,63.59
Tiger Woods,63.41
Bill Haas,63.33
Martin Kaymer,63.24
Will Claxton,63.23
Rickie Fowler,63.17
Jim Herman,63.11
Nick Watney,63.11
William McGirt,63.03
D.J. Trahan,63.03
David Mathis,63.01
Aaron Watkins,62.96
Charlie Wi,62.88
Josh Teater,62.75
Chris Stroud,62.73
Stuart Appleby,62.7
Rod Pampling,62.7
Cameron Tringale,62.68
Andrew Svoboda,62.55
Scott Langley,62.47
Michael Thompson,62.47
Adam Scott,62.34
Brandt Snedeker,62.3
Charlie Beljan,62.23
Kevin Chappell,62.18
Luke Donald,61.95
Daniel Summerhays,61.95
Lucas Glover,61.79
Scott Brown,61.76
Ben Crane,61.73
Pat Perez,61.72
David Hearn,61.7
Martin Laird,61.59
Kyle Stanley,61.54
Brendan Steele,61.54
Fabian Gomez,61.32
Vijay Singh,61.09
Trevor Immelman,61.08
Scott Stallings,61.07
Carl Pettersson,61.04
Sergio Garcia,61.02
Justin Bolli,61.01
Charley Hoffman,61
Ben Curtis,60.97
Chad Campbell,60.96
Charl Schwartzel,60.84
Brian Harman,60.82
John Merrick,60.76
Luke Guthrie,60.71
John Senden,60.59
Robert Streb,60.55
Bud Cauley,60.49
Steve LeBrun,60.49
Lee Williams,60.31
Henrik Norlander,60.27
Derek Ernst,60.21
Ricky Barnes,60.16
Chris Kirk,60.04
Robert Karlsson,60
Geoff Ogilvy,59.86
Cameron Percy,59.8
Harris English,59.79
David Lynn,59.74
John Rollins,59.51
Greg Owen,59.47
Ernie Els,59.43
Padraig Harrington,59.42
Marc Leishman,59.41
Rory Sabbatini,59.36
Matt Every,59.28
Bubba Watson,59.17
Camilo Villegas,59.12
Johnson Wagner,59.03
Stewart Cink,58.98
Stephen Ames,58.94
Jason Day,58.74
Scott Gardiner,58.66
Sangmoon Bae,58.62
Ryan Palmer,58.57
Andres Romero,58.57
Rory McIlroy,58.54
Gary Woodland,58.48
Matt Kuchar,58.46
Jonas Blixt,58.42
Freddie Jacobson,58.33
James Hahn,58.27
Erik Compton,57.98
Robert Allenby,57.89
Jeff Overton,57.84
Brad Fritsch,57.74
Alistair Presnell,57.74
Morgan Hoffmann,57.59
Phil Mickelson,57.27
Angel Cabrera,57.23
Troy Matteson,56.98
Tommy Gainey,56.94
Ryo Ishikawa,56.33
Eric Meierdierks,56.3
Patrick Reed,56.24
Scott Piercy,56.13
Sean O'Hair,56.03
Robert Garrigus,55.95
Michael Bradley,55.54
Jason Kokrak,55.03
James Driscoll,54.65
Steven Bowditch,54.56
Charles Howell III,54.53
Peter Hanson,54.37
Mike Weir,54.26
Casey Wittenberg,54.19
Nicolas Colsaerts,54.14
Tim Herron,53.74
Shawn Stefani,53.68
Tag Ridings,53.59
Seung-Yul Noh,53.49
Martin Flores,53.35
Dustin Johnson,53.21
Jimmy Walker,53.17
Aaron Baddeley,51.31
Bobby Gates,51.07
Luke List,46.32
