PLAYER,Putts per round
Kevin Na,27.75
Greg Chalmers,27.77
Steve Stricker,27.96
Luke Donald,28.03
Freddie Jacobson,28.19
Brian Gay,28.28
Rickie Fowler,28.35
Jason Day,28.37
Bryce Molder,28.38
Aaron Baddeley,28.39
Andres Romero,28.41
Charlie Wi,28.41
Nick Watney,28.44
Ryan Moore,28.47
Geoff Ogilvy,28.47
Brandt Snedeker,28.51
Matt Kuchar,28.52
Chris Couch,28.53
Steve Flesch,28.55
Jimmy Walker,28.57
Anthony Kim,28.59
Joe Ogilvie,28.63
Scott McCarron,28.64
Tim Petrovic,28.64
Dean Wilson,28.66
Nate Smith,28.68
Y.E. Yang,28.69
Ryan Palmer,28.7
Blake Adams,28.71
Zach Johnson,28.71
Matt McQuillan,28.71
Bio Kim,28.72
Nathan Green,28.74
Carl Pettersson,28.75
Matt Jones,28.76
Webb Simpson,28.77
Arjun Atwal,28.79
Shane Bertsch,28.8
Brendon de Jonge,28.81
Steven Bowditch,28.84
David Mathis,28.84
Pat Perez,28.84
Vaughn Taylor,28.85
Michael Thompson,28.88
Jonathan Byrd,28.9
Martin Laird,28.91
Robert Karlsson,28.92
Kevin Kisner,28.92
Lee Janzen,28.95
Jerry Kelly,28.96
Paul Stankowski,28.96
David Toms,28.96
Stewart Cink,28.97
Rod Pampling,28.97
Padraig Harrington,28.98
Tim Herron,28.99
Matt Bettencourt,29.01
Ryuji Imada,29.01
Stuart Appleby,29.02
Woody Austin,29.02
Kevin Chappell,29.03
George McNeill,29.03
D.A. Points,29.04
Camilo Villegas,29.04
James Driscoll,29.05
Chris Kirk,29.05
Retief Goosen,29.06
Ian Poulter,29.06
Angel Cabrera,29.07
Roland Thatcher,29.07
Ben Crane,29.08
Hunter Haas,29.08
Phil Mickelson,29.08
Scott Piercy,29.08
Mark Wilson,29.09
Brian Davis,29.1
Chris DiMarco,29.1
J.P. Hayes,29.11
D.J. Brigman,29.12
Colt Knost,29.12
Sergio Garcia,29.13
Marc Leishman,29.14
Stephen Ames,29.15
Tag Ridings,29.15
K.J. Choi,29.17
Steve Marino,29.17
Cameron Beckman,29.18
Jim Renner,29.18
Sung Kang,29.19
Garrett Willis,29.2
Michael Connell,29.21
Hunter Mahan,29.21
Jason Bohn,29.23
Justin Leonard,29.23
Kevin Streelman,29.24
Alex Cejka,29.25
Charl Schwartzel,29.25
Keegan Bradley,29.26
Lucas Glover,29.26
Nick O'Hern,29.26
Will Strickler,29.26
Michael Putnam,29.27
Shaun Micheel,29.29
Martin Piller,29.29
J.B. Holmes,29.3
Rory Sabbatini,29.3
Andres Gonzales,29.31
Charles Howell III,29.31
Troy Matteson,29.31
Chris Riley,29.31
Jeff Overton,29.33
Spencer Levin,29.34
Ben Martin,29.34
Jarrod Lyle,29.35
Graeme McDowell,29.38
Tommy Gainey,29.39
Adam Scott,29.39
Brendan Steele,29.39
Robert Garrigus,29.4
Charley Hoffman,29.41
Ben Curtis,29.42
Harrison Frazar,29.43
Fabian Gomez,29.43
Jason Dufner,29.44
Paul Goydos,29.44
Jim Furyk,29.45
Zack Miller,29.45
David Duval,29.46
Aron Price,29.46
Kyle Stanley,29.46
Richard Johnson,29.47
Cameron Tringale,29.47
Chris Stroud,29.49
Steve Elkington,29.5
Josh Teater,29.5
David Hearn,29.51
Brandt Jobe,29.52
Bill Haas,29.53
Vijay Singh,29.53
Ricky Barnes,29.54
Derek Lamely,29.54
Billy Mayfair,29.54
Sean O'Hair,29.54
Dustin Johnson,29.56
William McGirt,29.56
Johnson Wagner,29.56
Bo Van Pelt,29.57
Scott Gutschewski,29.58
Chez Reavie,29.58
Billy Horschel,29.59
Trevor Immelman,29.61
John Merrick,29.62
Justin Rose,29.64
Briny Baird,29.67
Joseph Bramlett,29.68
Kent Jones,29.68
Rocco Mediate,29.68
Marc Turnesa,29.69
Gary Woodland,29.69
Kris Blanks,29.7
Daniel Summerhays,29.7
Michael Bradley,29.71
Kevin Stadler,29.71
Scott Stallings,29.71
Robert Allenby,29.72
Troy Merritt,29.75
Bill Lunde,29.77
Bobby Gates,29.8
John Rollins,29.8
Rich Beem,29.81
John Senden,29.84
Bubba Watson,29.86
Tom Gillis,29.95
Jhonattan Vegas,29.95
J.J. Henry,30.03
Davis Love III,30.04
Alex Prugh,30.05
Chad Campbell,30.12
D.J. Trahan,30.12
Heath Slocum,30.16
Jim Herman,30.23
Ernie Els,30.39
Alexandre Rocha,30.54
Joe Durant,30.61
Justin Hicks,30.63
Boo Weekley,30.84
