PLAYER,prox to hole
Jim Furyk,31.5
Russell Knox,31.6
Jason Bohn,31.7
Lucas Glover,32.4
Jason Gore,32.4
Chez Reavie,32.4
Stewart Cink,32.8
Jim Herman,32.8
Paul Casey,32.9
Tom Hoge,32.9
Brian Stuard,32.9
Nicholas Thompson,32.11
Colt Knost,33
Roberto Castro,33.1
Greg Owen,33.1
Hudson Swafford,33.1
David Toms,33.1
Steven Alker,33.2
Tyrone Van Aswegen,33.2
Will Wilcox,33.4
Robert Allenby,33.5
Justin Rose,33.5
Chad Collins,33.6
Billy Hurley III,33.6
Hideki Matsuyama,33.7
William McGirt,33.8
Jordan Spieth,33.8
Alex Cejka,33.1
Jon Curran,33.1
Danny Lee,33.1
Whee Kim,33.11
Nick Watney,33.11
Ryo Ishikawa,34
Webb Simpson,34
Brendon Todd,34
Johnson Wagner,34
Charlie Beljan,34.1
Kevin Chappell,34.1
Graham DeLaet,34.1
Ken Duke,34.1
Bo Van Pelt,34.1
David Lingmerth,34.2
Jason Dufner,34.3
James Hahn,34.3
Justin Leonard,34.3
Spencer Levin,34.3
Francesco Molinari,34.3
Chad Campbell,34.4
Kevin Kisner,34.4
Scott Langley,34.4
Louis Oosthuizen,34.4
Blayne Barber,34.5
David Hearn,34.5
Bryce Molder,34.5
Pat Perez,34.5
Zach Johnson,34.6
Dustin Johnson,34.6
Mark Wilson,34.6
George McNeill,34.7
John Merrick,34.7
Jim Renner,34.7
Bill Lunde,34.8
Ryan Moore,34.8
Heath Slocum,34.8
Chris Stroud,34.8
Justin Thomas,34.8
Tim Wilkinson,34.9
Luke Guthrie,34.1
Davis Love III,34.1
Ben Martin,34.1
Ryan Palmer,34.1
Brendon de Jonge,34.11
Brian Harman,34.11
Brooks Koepka,34.11
Scott Piercy,34.11
D.A. Points,34.11
Alex Prugh,34.11
Shawn Stefani,34.11
Fabian Gomez,35
Chris Kirk,35
Rory Sabbatini,35
Sam Saunders,35
Vijay Singh,35
Byron Smith,35
Rickie Fowler,35.1
Adam Hadwin,35.1
John Peterson,35.1
Michael Putnam,35.1
Boo Weekley,35.1
Jerry Kelly,35.2
Seung-Yul Noh,35.2
Jeff Overton,35.2
Carl Pettersson,35.2
Daniel Summerhays,35.3
Daniel Berger,35.4
Zac Blair,35.4
Ben Crane,35.4
Harris English,35.4
J.J. Henry,35.4
Scott Brown,35.5
Erik Compton,35.5
Mark Hubbard,35.5
Troy Merritt,35.5
Eric Axley,35.7
Cameron Percy,35.7
Steven Bowditch,35.8
K.J. Choi,35.8
Ian Poulter,35.8
Patrick Rodgers,35.8
Brandt Snedeker,35.8
Brendan Steele,35.8
Jonas Blixt,35.9
Keegan Bradley,35.9
Luke Donald,35.9
Bill Haas,35.9
Martin Laird,35.9
Kyle Reifers,35.9
Kevin Streelman,35.9
Brian Davis,35.1
Oscar Fraustro,35.1
Chesson Hadley,35.1
Kevin Na,35.1
Nick Taylor,35.1
Camilo Villegas,35.1
Jonathan Byrd,35.11
Brice Garnett,35.11
Roger Sloan,35.11
Robert Garrigus,36
Scott Pinckney,36
Henrik Stenson,36
Bubba Watson,36
Andres Gonzales,36.1
Charley Hoffman,36.1
S.J. Park,36.1
Adam Scott,36.2
Jason Day,36.3
Patrick Reed,36.4
Jimmy Walker,36.4
Ricky Barnes,36.5
Ernie Els,36.5
Derek Ernst,36.5
Robert Streb,36.5
Lee Westwood,36.5
Sangmoon Bae,36.6
Gonzalo Fdez-Castano,36.6
Charl Schwartzel,36.6
Andrew Svoboda,36.8
Michael Thompson,36.8
Martin Flores,36.9
Max Homa,36.9
Billy Horschel,36.9
Matt Kuchar,36.9
J.B. Holmes,36.1
Jason Kokrak,36.1
Steve Wheatcroft,36.1
Angel Cabrera,37
Andrew Putnam,37
Tony Finau,37.1
Scott Stallings,37.1
Derek Fathauer,37.2
Russell Henley,37.2
Jonathan Randolph,37.2
Cameron Tringale,37.2
Greg Chalmers,37.3
Charles Howell III,37.3
Retief Goosen,37.4
Marc Leishman,37.7
Carlos Ortiz,37.7
Matt Every,37.8
Gary Woodland,37.8
John Senden,37.9
Sean O'Hair,38
John Huh,38.1
Phil Mickelson,38.4
Padraig Harrington,38.6
Jhonattan Vegas,38.8
Andres Romero,38.9
Morgan Hoffmann,38.1
Aaron Baddeley,38.11
Hunter Mahan,39
Matt Jones,39.4
Jamie Donaldson,39.9
Sergio Garcia,39.9
Geoff Ogilvy,40.2
