PLAYER,birdie conversion
Tom Gillis,32.93
Charley Hoffman,32.93
Phil Mickelson,32.81
Brandt Snedeker,32.73
Dustin Johnson,32.57
Chris Couch,32.32
Ryan Palmer,32.19
Rory Sabbatini,32.13
Bubba Watson,32.03
Matt Every,31.95
Troy Merritt,31.95
J.B. Holmes,31.8
Aaron Baddeley,31.65
Nick Watney,31.57
Geoff Ogilvy,31.46
Paul Casey,31.38
Kevin Streelman,31.36
Robert Garrigus,31.31
Matt Bettencourt,31.28
Matt Kuchar,31.22
Jeff Quinney,31.02
Matt Jones,30.87
Jeff Overton,30.85
Steve Stricker,30.8
Paul Stankowski,30.77
Justin Rose,30.75
Pat Perez,30.73
Scott Piercy,30.65
Zach Johnson,30.58
George McNeill,30.56
Bo Van Pelt,30.4
Steve Marino,30.31
Kevin Na,30.31
Alex Prugh,30.25
Y.E. Yang,30.24
David Toms,30.17
Lucas Glover,30.1
Michael Letzig,30.05
J.P. Hayes,29.95
Ben Crane,29.94
Ryan Moore,29.92
Charles Warren,29.91
John Daly,29.89
Webb Simpson,29.86
Carl Pettersson,29.82
Michael Sim,29.82
James Nitties,29.77
Kevin Stadler,29.77
Steve Wheatcroft,29.75
Graham DeLaet,29.71
Retief Goosen,29.69
Padraig Harrington,29.65
D.J. Trahan,29.65
Vaughn Taylor,29.64
Charlie Wi,29.64
Adam Scott,29.52
Ernie Els,29.51
Paul Goydos,29.47
Robert Allenby,29.46
John Rollins,29.39
Stewart Cink,29.37
Ryuji Imada,29.34
Brendon de Jonge,29.31
Brad Faxon,29.27
Jimmy Walker,29.22
Bill Haas,29.21
Justin Leonard,29.21
Greg Chalmers,29.19
Michael Connell,29.16
Martin Flores,29.14
Brian Gay,29.12
Freddie Jacobson,29.12
Aron Price,29.1
Jason Bohn,29.03
Camilo Villegas,29.01
Marc Leishman,28.95
Daniel Chopra,28.94
K.J. Choi,28.93
Martin Laird,28.92
Andres Romero,28.91
Brett Wetterich,28.9
Jason Day,28.89
Jerod Turner,28.89
Joe Ogilvie,28.88
Garrett Willis,28.88
Chad Collins,28.87
David Duval,28.87
Angel Cabrera,28.86
Ricky Barnes,28.84
Spencer Levin,28.76
Rory McIlroy,28.76
Vijay Singh,28.76
Scott Verplank,28.76
Bryce Molder,28.68
Stuart Appleby,28.61
Luke Donald,28.54
Shaun Micheel,28.51
Mike Weir,28.47
Blake Adams,28.44
Tim Clark,28.39
Jim Furyk,28.33
James Driscoll,28.31
Hunter Mahan,28.31
Woody Austin,28.29
Rich Barcelo,28.21
Sergio Garcia,28.2
Scott McCarron,28.15
Chris Tidland,28.13
Johnson Wagner,28.13
Rickie Fowler,28.09
Nathan Green,28.07
Jonathan Byrd,28.06
Dean Wilson,28.02
Derek Lamely,27.97
Mark Calcavecchia,27.94
Tim Petrovic,27.93
Steve Flesch,27.92
Mathias Gronberg,27.84
Tim Herron,27.84
Henrik Bjornstad,27.8
John Merrick,27.8
Ted Purdy,27.78
Jason Dufner,27.76
Stephen Ames,27.72
Brian Davis,27.69
Josh Teater,27.64
Brett Quigley,27.57
John Mallinger,27.48
Charles Howell III,27.46
Brian Stuard,27.45
Garth Mulroy,27.35
Will MacKenzie,27.31
Chris Stroud,27.3
Davis Love III,27.29
Nicholas Thompson,27.19
Cameron Percy,27.18
Chris Riley,27.13
Joe Durant,27.03
D.A. Points,27.01
Brenden Pappas,26.89
Jerry Kelly,26.87
Lee Janzen,26.84
Bob Estes,26.79
Sean O'Hair,26.77
Jeff Maggert,26.75
Jay Williamson,26.69
Jarrod Lyle,26.67
Greg Owen,26.67
Chris DiMarco,26.65
Chad Campbell,26.63
Steve Elkington,26.61
Heath Slocum,26.61
Vance Veazey,26.5
Skip Kendall,26.47
Alex Cejka,26.41
Chris Wilson,26.27
Kevin Sutherland,26.26
Michael Bradley,26.19
Ian Poulter,26.13
Steve Lowery,26.05
J.J. Henry,25.97
Jeev Milkha Singh,25.94
Bill Lunde,25.93
John Senden,25.84
Tom Pernice Jr.,25.81
Cliff Kresge,25.77
Boo Weekley,25.72
Cameron Beckman,25.59
Rod Pampling,25.56
Roland Thatcher,25.44
Troy Matteson,25.42
Cameron Tringale,25.4
Richard Johnson,25.22
Mark Wilson,25.17
Kevin Johnson,25.08
Kris Blanks,25.05
Billy Mayfair,25.03
David Lutterus,24.9
Kenny Perry,24.88
Andrew McLardy,24.78
Mathew Goggin,24.77
Briny Baird,24.64
Trevor Immelman,24.54
Ben Curtis,24.5
Rocco Mediate,24.03
Justin Bolli,23.99
Greg Kraft,23.71
Roger Tambellini,23.5
Brent Delahoussaye,23
Craig Bowden,22.96
Omar Uresti,22.87
Jeff Gove,22.85
