PLAYER,prox to hole
Steve Stricker,32.2
Roland Thatcher,32.6
Jim Furyk,32.1
Jason Dufner,33
Graeme McDowell,33.1
Rory McIlroy,33.1
Boo Weekley,33.1
Tim Clark,33.3
Heath Slocum,33.3
Vaughn Taylor,33.4
Chez Reavie,33.7
Tiger Woods,33.7
Russell Knox,33.8
Charl Schwartzel,33.8
Kyle Thompson,33.9
Bo Van Pelt,33.1
Dustin Johnson,33.11
Charlie Beljan,34
Ben Curtis,34
John Mallinger,34.1
Gavin Coles,34.2
Robert Garrigus,34.2
Matt Kuchar,34.3
Cameron Beckman,34.4
Davis Love III,34.4
Kevin Stadler,34.5
Brendon de Jonge,34.6
Brian Harman,34.6
Jason Bohn,34.7
Matt Every,34.7
Ryan Moore,34.7
Justin Rose,34.7
David Toms,34.7
Luke Donald,34.8
Kyle Stanley,34.8
Bud Cauley,34.9
Scott Dunlap,34.9
Billy Horschel,34.9
Jeff Maggert,34.9
Nick Watney,34.9
Chad Campbell,34.1
Louis Oosthuizen,34.1
Kyle Reifers,34.1
Stephen Ames,34.11
Marco Dawson,34.11
Vijay Singh,34.11
Brian Gay,35
Bill Lunde,35
Alexandre Rocha,35
Graham DeLaet,35.1
Padraig Harrington,35.1
Zach Johnson,35.1
Bryce Molder,35.1
Michael Thompson,35.1
Camilo Villegas,35.1
Lee Westwood,35.1
Robert Allenby,35.2
Keegan Bradley,35.2
Bob Estes,35.2
William McGirt,35.2
Carl Pettersson,35.2
Gary Christian,35.3
Brian Davis,35.3
Ken Duke,35.3
Rickie Fowler,35.3
Chris Kirk,35.3
John Merrick,35.3
Geoff Ogilvy,35.3
Greg Owen,35.3
Dicky Pride,35.3
Will Claxton,35.4
J.J. Henry,35.4
Webb Simpson,35.4
Hunter Mahan,35.5
Scott Piercy,35.5
Brandt Snedeker,35.5
Nick O'Hern,35.6
Ryan Palmer,35.6
Ricky Barnes,35.7
Adam Scott,35.7
Chris Stroud,35.7
Ernie Els,35.8
Tommy Gainey,35.8
Freddie Jacobson,35.8
Justin Leonard,35.8
Garth Mulroy,35.8
Ian Poulter,35.8
Kevin Streelman,35.8
Mark Wilson,35.8
Jonas Blixt,35.9
David Hearn,35.9
Richard Lee,35.9
D.A. Points,35.9
Kris Blanks,35.1
Roberto Castro,35.1
Chris DiMarco,35.1
K.J. Choi,35.11
Chris Couch,35.11
Patrick Sheehan,35.11
Scott Brown,36
Tim Herron,36
Ryo Ishikawa,36
Rory Sabbatini,36
Scott Stallings,36
D.J. Trahan,36
Bubba Watson,36
Rocco Mediate,36.1
Pat Perez,36.1
Charlie Wi,36.1
Stuart Appleby,36.2
Kevin Na,36.2
Rod Pampling,36.2
Josh Teater,36.2
Danny Lee,36.3
Jeff Overton,36.4
Arjun Atwal,36.5
Michael Bradley,36.5
John Huh,36.5
Trevor Immelman,36.5
Brandt Jobe,36.5
David Mathis,36.5
Daniel Summerhays,36.5
Johnson Wagner,36.5
John Daly,36.6
Charley Hoffman,36.6
Jerry Kelly,36.6
Sean O'Hair,36.6
Blake Adams,36.7
Colt Knost,36.7
Kevin Kisner,36.8
Jason Kokrak,36.8
"Ted Potter, Jr.",36.8
Steve Wheatcroft,36.8
Sergio Garcia,36.9
Tommy Biershenk,36.1
Stewart Cink,36.1
Jason Day,36.1
Angel Cabrera,36.11
Harris English,36.11
Bobby Gates,36.11
Robert Karlsson,36.11
Jonathan Byrd,37
Ben Crane,37
J.B. Holmes,37
Billy Hurley III,37
Troy Kelly,37
Seung-Yul Noh,37
Martin Flores,37.1
Tom Gillis,37.1
Tom Pernice Jr.,37.1
John Rollins,37.1
Miguel Angel Carballo,37.2
Harrison Frazar,37.2
Charles Howell III,37.2
George McNeill,37.2
Brendon Todd,37.2
Cameron Tringale,37.2
Hunter Haas,37.3
John Senden,37.3
Brendan Steele,37.3
Marc Leishman,37.5
Matt Bettencourt,37.6
Kevin Chappell,37.6
Mathew Goggin,37.6
Phil Mickelson,37.6
Greg Chalmers,37.7
Gary Woodland,37.7
Sangmoon Bae,37.9
Billy Mayfair,37.1
Troy Matteson,37.11
Jimmy Walker,37.11
Daniel Chopra,38
Erik Compton,38
Y.E. Yang,38
Mark Anderson,38.1
Ryuji Imada,38.1
Edward Loar,38.1
Nathan Green,38.2
Andres Romero,38.2
Aaron Baddeley,38.3
J.J. Killeen,38.4
Spencer Levin,38.5
Stephen Gangluff,38.6
Bill Haas,38.7
Matt Jones,38.7
Sung Kang,38.1
Martin Laird,38.1
Henrik Stenson,39.4
James Driscoll,39.5
Jhonattan Vegas,39.6
Derek Lamely,39.11
