PLAYER,BOUNCE BACK
Luke Donald,27.4
Seung-yul Noh,25.4
Brooks Koepka,25.3
Justin Rose,25.1
Brian Davis,24.6
Phil Mickelson,24.6
Bubba Watson,24.3
Nick Watney,24.2
Rickie Fowler,24.1
Luke Guthrie,23.8
Carl Pettersson,23.8
Troy Merritt,23.6
Ryo Ishikawa,23.5
Charles Howell III,23.4
Bud Cauley,23.4
Ryan Palmer,23.3
Woody Austin,23.3
Henrik Stenson,23.2
Jimmy Walker,23.1
Brendon Todd,23.1
Morgan Hoffmann,23
Harris English,23
Graeme McDowell,22.9
Robert Allenby,22.9
Martin Laird,22.9
Kevin Kisner,22.8
Geoff Ogilvy,22.8
Billy Horschel,22.8
Jim Furyk,22.8
George McNeill,22.7
Michael Thompson,22.6
Will Wilcox,22.5
Angel Cabrera,22.3
Andres Romero,22.2
Steven Bowditch,22.2
Rory McIlroy,22
Jerry Kelly,21.9
Paul Casey,21.9
Jason Kokrak,21.8
Graham DeLaet,21.7
Jordan Spieth,21.7
J.B. Holmes,21.7
Gary Woodland,21.7
Jonathan Byrd,21.6
Andrew Loupe,21.5
Charl Schwartzel,21.4
Bo Van Pelt,21.4
Cameron Tringale,21.4
Kevin Streelman,21.3
Tyrone Van Aswegen,21.3
Brad Fritsch,21.2
Robert Garrigus,21.1
Brian Stuard,21.1
Boo Weekley,21
Gonzalo Fernandez-Castano,21
Martin Kaymer,21
Retief Goosen,20.9
Jeff Maggert,20.9
John Senden,20.8
Ken Duke,20.8
Charlie Beljan,20.8
Charley Hoffman,20.8
Martin Flores,20.8
Adam Scott,20.7
Lee Westwood,20.7
Jim Herman,20.7
Marc Leishman,20.6
Danny Lee,20.6
Ben Martin,20.6
Davis Love III,20.5
Brian Harman,20.5
Kevin Stadler,20.5
Aaron Baddeley,20.4
David Lingmerth,20.3
John Peterson,20.3
Russell Henley,20.3
Daniel Summerhays,20.3
Zach Johnson,20.2
Ian Poulter,20.2
Jeff Overton,20.1
Kevin Chappell,20
Sergio Garcia,20
Scott Langley,20
Jamie Lovemark,20
Jim Renner,20
Chris Kirk,19.9
David Toms,19.9
James Hahn,19.8
Andrew Svoboda,19.8
Derek Ernst,19.8
Briny Baird,19.8
Kevin Na,19.7
James Driscoll,19.7
Ricky Barnes,19.6
Nicholas Thompson,19.6
K.J. Choi,19.6
David Hearn,19.4
Scott Brown,19.3
Camilo Villegas,19.3
John Huh,19.2
Chris Stroud,19.2
Brendan Steele,19.2
Ryan Moore,19.1
Matt Jones,19
Russell Knox,19
Jason Dufner,19
Chesson Hadley,18.9
Vijay Singh,18.8
Hudson Swafford,18.8
Stuart Appleby,18.7
Ben Crane,18.7
Hideki Matsuyama,18.6
Keegan Bradley,18.6
Mike Weir,18.6
Louis Oosthuizen,18.6
Justin Hicks,18.5
Brandt Snedeker,18.5
Hunter Mahan,18.4
Dustin Johnson,18.4
Webb Simpson,18.3
Chad Collins,18.3
Stewart Cink,18.3
Troy Matteson,18.2
Sang-Moon Bae,18.2
Matt Every,18.2
Josh Teater,18.2
Bill Haas,17.9
John Merrick,17.9
Will MacKenzie,17.9
Billy Hurley III,17.9
Jason Bohn,17.8
Bronson La'Cassie,17.7
Kyle Stanley,17.7
Scott Stallings,17.6
Greg Chalmers,17.6
Patrick Reed,17.5
Tim Wilkinson,17.5
Rory Sabbatini,17.4
Heath Slocum,17.4
Brice Garnett,17.3
Tommy Gainey,17.3
Pat Perez,17.1
Richard H. Lee,17
Sean O'Hair,17
D.A. Points,16.9
Robert Streb,16.9
Ben Curtis,16.9
Charlie Wi,16.8
Tim Clark,16.8
Michael Putnam,16.7
Shawn Stefani,16.7
Matt Kuchar,16.6
Jonas Blixt,16.6
Justin Leonard,16.4
"Ted Potter, Jr.",16.3
Mark Wilson,16.1
Y.E. Yang,15.9
Brendon de Jonge,15.9
Jason Day,15.8
Ernie Els,15.8
Wes Roach,15.6
Roberto Castro,15.6
D.H. Lee,15.5
William McGirt,15.5
Jhonattan Vegas,15.2
Johnson Wagner,14.8
Trevor Immelman,14.5
Lucas Glover,14.5
Bryce Molder,14.3
Brian Gay,14.2
J.J. Henry,14.2
Erik Compton,14.1
Fredrik Jacobson,14.1
Kevin Tway,13.9
Spencer Levin,13.9
Chad Campbell,11
John Rollins,9.6
