PLAYER,Strokes gained tee to green
Bubba Watson,1.876
Henrik Stenson,1.774
Jim Furyk,1.658
Jordan Spieth,1.583
Jason Day,1.52
Justin Rose,1.471
Hideki Matsuyama,1.388
Webb Simpson,1.346
Dustin Johnson,1.326
Paul Casey,1.202
Lucas Glover,1.17
Keegan Bradley,1.088
Zach Johnson,1.081
Sergio Garcia,1.067
Brendan Steele,1.005
J.B. Holmes,0.949
Justin Thomas,0.926
Jason Dufner,0.922
Will Wilcox,0.863
Francesco Molinari,0.859
Russell Knox,0.827
Louis Oosthuizen,0.825
Matt Kuchar,0.817
Ryan Palmer,0.813
Vijay Singh,0.812
Rickie Fowler,0.779
Robert Streb,0.712
Kevin Na,0.711
Bill Haas,0.689
Daniel Berger,0.682
Boo Weekley,0.671
Nick Watney,0.661
Brooks Koepka,0.66
Tony Finau,0.634
Charl Schwartzel,0.629
Roberto Castro,0.612
Adam Scott,0.601
Charles Howell III,0.599
Greg Owen,0.572
Rory Sabbatini,0.567
Jason Bohn,0.538
Chad Campbell,0.482
Patrick Reed,0.465
John Peterson,0.435
Shawn Stefani,0.423
John Merrick,0.42
Ryan Moore,0.418
Tom Hoge,0.41
Jim Herman,0.407
William McGirt,0.395
Kevin Kisner,0.389
Michael Putnam,0.373
Stewart Cink,0.367
David Lingmerth,0.366
Danny Lee,0.354
Kevin Streelman,0.352
George McNeill,0.351
Chris Kirk,0.35
Chez Reavie,0.342
Ian Poulter,0.329
Marc Leishman,0.322
Scott Piercy,0.322
Brendon de Jonge,0.32
Phil Mickelson,0.319
James Hahn,0.307
Jason Kokrak,0.306
Graham DeLaet,0.299
Luke Donald,0.295
Lee Westwood,0.283
Charley Hoffman,0.269
Matt Jones,0.263
Geoff Ogilvy,0.26
Steven Bowditch,0.256
Martin Flores,0.255
Brendon Todd,0.248
Cameron Tringale,0.244
Jimmy Walker,0.241
Pat Perez,0.222
Harris English,0.217
Scott Brown,0.216
Martin Laird,0.206
Kevin Chappell,0.202
Billy Horschel,0.202
Chad Collins,0.201
Jerry Kelly,0.186
Chris Stroud,0.178
David Toms,0.178
Brian Harman,0.177
Steven Alker,0.163
Cameron Percy,0.163
Jason Gore,0.157
Ben Martin,0.153
Jonathan Byrd,0.148
John Senden,0.142
Spencer Levin,0.135
Patrick Rodgers,0.133
Gary Woodland,0.121
Scott Langley,0.108
J.J. Henry,0.105
Kyle Reifers,0.101
Mark Wilson,0.092
Whee Kim,0.081
Ryo Ishikawa,0.052
Alex Prugh,0.051
Brandt Snedeker,0.02
Alex Cejka,0.015
Sean O'Hair,0.012
Ernie Els,0.009
David Hearn,-0.002
Jamie Donaldson,-0.008
Jeff Overton,-0.014
Derek Ernst,-0.015
Camilo Villegas,-0.019
Hudson Swafford,-0.022
Davis Love III,-0.031
Angel Cabrera,-0.032
Morgan Hoffmann,-0.035
Carlos Ortiz,-0.048
Adam Hadwin,-0.051
Jon Curran,-0.059
Carl Pettersson,-0.099
Daniel Summerhays,-0.103
Johnson Wagner,-0.108
Russell Henley,-0.116
Gonzalo Fdez-Castano,-0.125
Charlie Beljan,-0.134
Luke Guthrie,-0.147
Colt Knost,-0.152
Ken Duke,-0.156
K.J. Choi,-0.159
Scott Stallings,-0.166
S.J. Park,-0.167
Robert Garrigus,-0.189
John Huh,-0.191
Sangmoon Bae,-0.201
Robert Allenby,-0.215
Nicholas Thompson,-0.219
Seung-Yul Noh,-0.22
Padraig Harrington,-0.263
Hunter Mahan,-0.27
Byron Smith,-0.276
Mark Hubbard,-0.281
Blayne Barber,-0.297
Bryce Molder,-0.319
Michael Thompson,-0.349
Jhonattan Vegas,-0.353
Zac Blair,-0.356
Brian Stuard,-0.356
Sam Saunders,-0.36
Retief Goosen,-0.365
Bo Van Pelt,-0.368
Steve Wheatcroft,-0.383
Erik Compton,-0.385
Fabian Gomez,-0.386
D.A. Points,-0.396
Billy Hurley III,-0.423
Scott Pinckney,-0.426
Tyrone Van Aswegen,-0.428
Brice Garnett,-0.443
Jim Renner,-0.454
Derek Fathauer,-0.474
Nick Taylor,-0.489
Chesson Hadley,-0.525
Justin Leonard,-0.544
Ricky Barnes,-0.555
Jonas Blixt,-0.562
Andres Romero,-0.563
Tim Wilkinson,-0.569
Troy Merritt,-0.579
Brian Davis,-0.593
Max Homa,-0.619
Andres Gonzales,-0.714
Bill Lunde,-0.724
Ben Crane,-0.759
Jonathan Randolph,-0.85
Aaron Baddeley,-0.945
Heath Slocum,-0.97
Oscar Fraustro,-1.034
Andrew Svoboda,-1.041
Matt Every,-1.043
Eric Axley,-1.101
Roger Sloan,-1.103
Greg Chalmers,-1.133
Andrew Putnam,-1.43
