PLAYER,POS
Bubba Watson,1
Louis Oosthuizen,2
Peter Hanson,3
Matt Kuchar,3
Phil Mickelson,3
Lee Westwood,3
Ian Poulter,7
Padraig Harrington,8
Justin Rose,8
Adam Scott,8
Jim Furyk,11
Fred Couples,12
Sergio Garcia,12
Hunter Mahan,12
Graeme McDowell,12
Kevin Na,12
Ben Crane,17
Bo Van Pelt,17
Charles Howell III,19
Freddie Jacobson,19
Francesco Molinari,19
Geoff Ogilvy,19
Brandt Snedeker,19
Jason Dufner,24
Anders Hansen,24
Paul Lawrie,24
Keegan Bradley,27
Jonathan Byrd,27
Rickie Fowler,27
Vijay Singh,27
Scott Stallings,27
Angel Cabrera,32
Luke Donald,32
Zach Johnson,32
Sean O'Hair,32
Nick Watney,32
Sang-Moon Bae,37
Thomas Bjorn,37
Bill Haas,37
Aaron Baddeley,40
Rory McIlroy,40
Henrik Stenson,40
Tiger Woods,40
Kevin Chappell,44
Martin Kaymer,44
Webb Simpson,44
Ross Fisher,47
Steve Stricker,47
Patrick Cantlay,47
Stewart Cink,50
Robert Karlsson,50
Charl Schwartzel,50
David Toms,50
Scott Verplank,54
Hideki Matsuyama,54
Miguel Jimenez,56
Martin Laird,57
Edoardo Molinari,57
Y.E. Yang,57
Trevor Immelman,60
Gonzalo Fdez-Castano,61
Kelly Kraft,62
Gary Woodland,W/D
K.T. Kim,CU
John Senden,CU
Paul Casey,CU
Harrison Frazar,CU
Larry Mize,CU
Jose Maria Olazabal,CU
Kyle Stanley,CU
Tom Watson,CU
Mike Weir,CU
Robert Garrigus,CU
Bernhard Langer,CU
Ryan Palmer,CU
Rory Sabbatini,CU
K.J. Choi,CU
Ryo Ishikawa,CU
Bryden MacPherson,CU
Chez Reavie,CU
Johnson Wagner,CU
Tim Clark,CU
Darren Clarke,CU
Lucas Glover,CU
Mark Wilson,CU
Ian Woosnam,CU
Simon Dyson,CU
Corbin Mills,CU
Alvaro Quiros,CU
Brendan Steele,CU
Ben Crenshaw,CU
Randal Lewis,CU
Craig Stadler,CU
Sandy Lyle,CU
Jason Day,W/D
