PLAYER,SCORING AVG
Luke Donald,68.861
Webb Simpson,69.252
Steve Stricker,69.362
Matt Kuchar,69.515
Nick Watney,69.518
Sergio Garcia,69.564
Charl Schwartzel,69.619
Charles Howell III,69.66
Jason Day,69.706
David Toms,69.706
Spencer Levin,69.851
Freddie Jacobson,69.854
Brandt Snedeker,69.859
Adam Scott,69.872
Gary Woodland,69.875
Phil Mickelson,69.891
Hunter Mahan,69.905
Zach Johnson,69.966
K.J. Choi,69.993
Rickie Fowler,70.007
Bo Van Pelt,70.092
Bill Haas,70.135
Geoff Ogilvy,70.164
John Senden,70.199
Jason Dufner,70.2
Robert Karlsson,70.211
Brian Gay,70.214
Aaron Baddeley,70.23
Jerry Kelly,70.241
Keegan Bradley,70.257
Chad Campbell,70.273
Y.E. Yang,70.277
Robert Allenby,70.284
Carl Pettersson,70.289
Kyle Stanley,70.317
Justin Rose,70.332
Brandt Jobe,70.334
Martin Laird,70.341
Ryan Moore,70.345
Jim Furyk,70.37
Chris Kirk,70.414
John Merrick,70.423
Jimmy Walker,70.424
Brendon de Jonge,70.429
Kevin Na,70.432
Trevor Immelman,70.433
Bryce Molder,70.433
Ben Crane,70.434
Briny Baird,70.435
Lucas Glover,70.445
Dustin Johnson,70.457
Rory Sabbatini,70.46
Brian Davis,70.469
Andres Romero,70.495
J.B. Holmes,70.523
Mark Wilson,70.526
Kevin Streelman,70.54
Davis Love III,70.548
Ricky Barnes,70.572
John Rollins,70.584
Chris Couch,70.595
Greg Chalmers,70.596
Vijay Singh,70.61
D.A. Points,70.621
Bubba Watson,70.625
Tim Herron,70.634
Johnson Wagner,70.654
J.J. Henry,70.671
Angel Cabrera,70.696
Blake Adams,70.7
Stewart Cink,70.7
David Hearn,70.709
William McGirt,70.726
Aron Price,70.729
Retief Goosen,70.731
Steve Marino,70.735
Chez Reavie,70.744
Billy Mayfair,70.747
Cameron Tringale,70.751
Charlie Wi,70.757
Anthony Kim,70.775
Jonathan Byrd,70.783
Scott Piercy,70.792
George McNeill,70.797
Nick O'Hern,70.8
Jeff Overton,70.802
Rod Pampling,70.803
Padraig Harrington,70.809
Sean O'Hair,70.81
Tommy Gainey,70.814
Ian Poulter,70.824
Hunter Haas,70.826
Pat Perez,70.826
Chris Stroud,70.838
Ben Curtis,70.839
Ryan Palmer,70.847
Sung Kang,70.849
Shane Bertsch,70.869
D.J. Trahan,70.87
Michael Bradley,70.877
Harrison Frazar,70.891
David Mathis,70.899
Chris DiMarco,70.909
Vaughn Taylor,70.909
Robert Garrigus,70.931
Michael Thompson,70.942
Woody Austin,70.943
Marc Leishman,70.948
Kris Blanks,70.952
Jhonattan Vegas,70.966
Heath Slocum,70.988
Michael Putnam,70.989
Graeme McDowell,70.997
Kent Jones,71.001
Justin Leonard,71.002
Brendan Steele,71.019
Camilo Villegas,71.024
Scott Stallings,71.036
Bill Lunde,71.046
Josh Teater,71.057
Ernie Els,71.062
Charley Hoffman,71.097
Ryuji Imada,71.115
Steve Flesch,71.119
Stephen Ames,71.121
Scott McCarron,71.127
Tom Gillis,71.134
Chris Riley,71.143
Paul Stankowski,71.165
Boo Weekley,71.176
Alex Cejka,71.178
Troy Matteson,71.184
Dean Wilson,71.195
Joe Ogilvie,71.215
Steven Bowditch,71.221
Kevin Chappell,71.221
Alexandre Rocha,71.262
James Driscoll,71.277
Kevin Stadler,71.295
Nathan Green,71.298
Tag Ridings,71.325
Michael Connell,71.326
Tim Petrovic,71.326
Jason Bohn,71.336
Jim Renner,71.372
Jim Herman,71.377
Ben Martin,71.419
Joe Durant,71.428
Arjun Atwal,71.444
Garrett Willis,71.458
Roland Thatcher,71.478
Billy Horschel,71.512
Matt Jones,71.517
Lee Janzen,71.525
Marc Turnesa,71.533
Stuart Appleby,71.554
Scott Gutschewski,71.582
Steve Elkington,71.598
Bobby Gates,71.616
Jarrod Lyle,71.617
Andres Gonzales,71.634
Matt McQuillan,71.635
Fabian Gomez,71.639
Cameron Beckman,71.642
Shaun Micheel,71.675
Matt Bettencourt,71.689
Bio Kim,71.696
Joseph Bramlett,71.714
Paul Goydos,71.722
Colt Knost,71.747
D.J. Brigman,71.803
Nate Smith,71.833
Kevin Kisner,71.858
David Duval,71.873
Zack Miller,71.89
Richard Johnson,71.902
Alex Prugh,71.904
Justin Hicks,72.008
J.P. Hayes,72.048
Troy Merritt,72.083
Will Strickler,72.177
Daniel Summerhays,72.487
Martin Piller,72.542
Derek Lamely,72.606
Rich Beem,72.76
Rocco Mediate,72.975
