PLAYER,HIT FAIRWAY PCT
Francesco Molinari,75.29
David Toms,74.12
Chez Reavie,72.29
Jason Bohn,71.68
Jerry Kelly,70.98
Justin Leonard,70.97
Colt Knost,70.61
Steven Alker,70.55
Zach Johnson,70.01
Ryan Moore,70
Kevin Streelman,69.69
Spencer Levin,69.52
Brendon Todd,69.37
John Huh,69.28
Brian Stuard,69.1
Zac Blair,68.33
Will Wilcox,68.31
Ken Duke,68.24
Nicholas Thompson,68.18
Russell Knox,67.82
John Merrick,67.82
Ben Crane,67.68
Roberto Castro,67.66
William McGirt,67.6
Jon Curran,67.59
Brian Davis,67.58
John Peterson,67.54
Jim Herman,67.23
Heath Slocum,67.16
Henrik Stenson,67.16
Jim Furyk,67.13
Bryce Molder,67.1
Jason Gore,66.91
Cameron Tringale,66.91
Webb Simpson,66.82
Kevin Kisner,66.49
Chad Campbell,66.14
S.J. Park,66.09
Adam Hadwin,66.04
Mark Hubbard,66
Pat Perez,65.85
David Lingmerth,65.53
Jonathan Byrd,65.35
Brendon de Jonge,65.29
Keegan Bradley,65.24
Chad Collins,65.03
George McNeill,64.88
Graham DeLaet,64.75
Brian Harman,64.68
Sam Saunders,64.6
John Senden,64.57
Ben Martin,64.56
Davis Love III,64.44
Mark Wilson,64.38
David Hearn,64.35
Derek Ernst,64.33
Chris Stroud,64.33
Hudson Swafford,64.21
Billy Hurley III,64.18
Hideki Matsuyama,63.98
Gonzalo Fdez-Castano,63.91
Blayne Barber,63.8
Bill Lunde,63.73
Russell Henley,63.67
Robert Allenby,63.65
Danny Lee,63.54
Lucas Glover,63.5
Jordan Spieth,63.18
Kevin Chappell,63.11
Jason Dufner,63.06
Boo Weekley,62.94
Alex Cejka,62.85
Steve Wheatcroft,62.77
Troy Merritt,62.72
Tim Wilkinson,62.69
Shawn Stefani,62.57
K.J. Choi,62.53
Alex Prugh,62.47
Scott Brown,62.42
Scott Langley,62.3
Johnson Wagner,62.3
Justin Rose,62.09
Bill Haas,62.07
Ian Poulter,61.93
Billy Horschel,61.91
Matt Kuchar,61.83
Paul Casey,61.6
Oscar Fraustro,61.48
Nick Watney,61.48
Sean O'Hair,61.41
Kyle Reifers,61.39
Brendan Steele,61.39
Cameron Percy,61.25
Chris Kirk,61.13
Daniel Summerhays,61.08
Scott Pinckney,60.95
Charlie Beljan,60.91
Daniel Berger,60.71
Rickie Fowler,60.58
Michael Putnam,60.58
Brice Garnett,60.47
Fabian Gomez,60.46
Kevin Na,60.35
Bo Van Pelt,60.2
Charl Schwartzel,60.18
J.J. Henry,60.17
Whee Kim,59.9
Rory Sabbatini,59.89
Brandt Snedeker,59.79
Roger Sloan,59.74
Justin Thomas,59.74
Vijay Singh,59.69
Erik Compton,59.61
Jonas Blixt,59.55
James Hahn,59.52
Scott Stallings,59.47
Louis Oosthuizen,59.45
Carlos Ortiz,59.41
Martin Laird,59.2
Luke Guthrie,59.17
Greg Owen,59.17
Scott Piercy,59.06
Carl Pettersson,59.01
Andrew Svoboda,58.95
Harris English,58.84
Sangmoon Bae,58.83
Jim Renner,58.75
Greg Chalmers,58.62
Michael Thompson,58.52
Byron Smith,58.46
Matt Jones,58.45
Luke Donald,58.43
Tom Hoge,58.41
Robert Streb,58.31
Jeff Overton,58.24
Patrick Rodgers,58.2
Lee Westwood,58.18
Stewart Cink,58.12
Andres Gonzales,57.93
Ryo Ishikawa,57.61
Eric Axley,57.31
Jhonattan Vegas,57.26
Geoff Ogilvy,56.94
Jamie Donaldson,56.66
Charley Hoffman,56.58
Sergio Garcia,56.57
Chesson Hadley,56.52
Robert Garrigus,56.5
Nick Taylor,56.45
Hunter Mahan,56.43
Max Homa,56.41
Brooks Koepka,56.38
Martin Flores,56.19
Camilo Villegas,55.48
Angel Cabrera,55.46
J.B. Holmes,55.41
Andrew Putnam,55.36
Bubba Watson,55.28
Ricky Barnes,55.16
Jason Kokrak,55.09
Adam Scott,54.98
Retief Goosen,54.89
Gary Woodland,54.89
D.A. Points,54.71
Seung-Yul Noh,54.69
Jason Day,54.67
Tyrone Van Aswegen,54.67
Tony Finau,54.42
Jonathan Randolph,53.98
Morgan Hoffmann,53.82
Patrick Reed,53.66
Ryan Palmer,53.29
Marc Leishman,53.21
Charles Howell III,53.19
Steven Bowditch,52.99
Phil Mickelson,52.9
Dustin Johnson,52.88
Ernie Els,52.7
Padraig Harrington,52.62
Andres Romero,52.62
Jimmy Walker,52.05
Aaron Baddeley,51.77
Matt Every,50.72
Derek Fathauer,50.66
