PLAYER,SCORING AVG
Jordan Spieth,68.938
Jason Day,69.161
Bubba Watson,69.296
Henrik Stenson,69.354
Dustin Johnson,69.585
Justin Rose,69.744
Zach Johnson,69.753
Will Wilcox,69.804
Paul Casey,69.806
Jim Furyk,69.845
Brooks Koepka,69.861
Hideki Matsuyama,69.94
Sergio Garcia,69.958
Matt Kuchar,70.04
Ryan Palmer,70.102
Justin Thomas,70.105
Kevin Na,70.121
Robert Streb,70.13
Brandt Snedeker,70.158
Louis Oosthuizen,70.16
Rickie Fowler,70.23
Jason Bohn,70.235
Harris English,70.235
Jimmy Walker,70.268
Tony Finau,70.281
Patrick Reed,70.292
Webb Simpson,70.31
Kevin Kisner,70.344
Jerry Kelly,70.383
Daniel Summerhays,70.397
Danny Lee,70.398
Brendan Steele,70.413
Russell Knox,70.421
Ian Poulter,70.421
Shawn Stefani,70.421
Rory Sabbatini,70.435
Keegan Bradley,70.45
Adam Scott,70.456
Francesco Molinari,70.458
George McNeill,70.478
Lee Westwood,70.484
Brendon Todd,70.533
Luke Donald,70.555
Marc Leishman,70.569
Daniel Berger,70.581
Russell Henley,70.581
J.B. Holmes,70.581
Phil Mickelson,70.585
Chad Campbell,70.604
Charley Hoffman,70.613
Patrick Rodgers,70.619
Jason Dufner,70.633
Brendon de Jonge,70.642
Brian Harman,70.647
William McGirt,70.647
Jason Kokrak,70.654
Pat Perez,70.666
Kevin Chappell,70.672
Bill Haas,70.672
Nick Watney,70.68
Chad Collins,70.681
Scott Piercy,70.688
Colt Knost,70.698
Zac Blair,70.714
Jim Herman,70.719
Graham DeLaet,70.72
Hudson Swafford,70.732
John Peterson,70.735
Vijay Singh,70.761
Martin Laird,70.772
Stewart Cink,70.774
Boo Weekley,70.775
Bryce Molder,70.779
Scott Brown,70.797
David Lingmerth,70.8
Johnson Wagner,70.807
Tom Hoge,70.812
Matt Jones,70.812
Ryan Moore,70.829
Jonathan Byrd,70.83
Steven Bowditch,70.835
Jeff Overton,70.836
Spencer Levin,70.837
David Hearn,70.843
Jon Curran,70.849
Kyle Reifers,70.854
Carl Pettersson,70.866
Charles Howell III,70.872
James Hahn,70.896
Martin Flores,70.919
Cameron Tringale,70.92
Ben Martin,70.95
Chris Kirk,70.959
Gary Woodland,70.982
Morgan Hoffmann,70.988
Mark Wilson,70.991
Adam Hadwin,71.021
Sean O'Hair,71.03
Scott Langley,71.032
Sangmoon Bae,71.036
John Huh,71.037
Cameron Percy,71.039
Billy Hurley III,71.043
Billy Horschel,71.05
Camilo Villegas,71.067
Steve Wheatcroft,71.072
Alex Prugh,71.089
John Senden,71.09
David Toms,71.092
Charl Schwartzel,71.093
Steven Alker,71.094
Whee Kim,71.097
Carlos Ortiz,71.098
Jamie Donaldson,71.102
Scott Pinckney,71.103
Alex Cejka,71.117
Hunter Mahan,71.124
Blayne Barber,71.127
Chez Reavie,71.146
Michael Putnam,71.156
Chris Stroud,71.194
Fabian Gomez,71.207
Luke Guthrie,71.211
Aaron Baddeley,71.218
Mark Hubbard,71.227
Erik Compton,71.228
Michael Thompson,71.23
Jonas Blixt,71.238
Ryo Ishikawa,71.246
Jason Gore,71.273
Kevin Streelman,71.282
Davis Love III,71.289
Lucas Glover,71.291
Ken Duke,71.306
Jhonattan Vegas,71.326
Roberto Castro,71.334
J.J. Henry,71.334
John Merrick,71.334
Brian Stuard,71.341
Greg Chalmers,71.363
K.J. Choi,71.372
Nicholas Thompson,71.396
Andres Gonzales,71.427
Andres Romero,71.427
Derek Fathauer,71.431
Derek Ernst,71.453
Brice Garnett,71.453
Troy Merritt,71.458
Seung-Yul Noh,71.465
S.J. Park,71.469
Bo Van Pelt,71.497
Gonzalo Fdez-Castano,71.5
Greg Owen,71.512
Justin Leonard,71.517
Geoff Ogilvy,71.559
Jonathan Randolph,71.606
Ricky Barnes,71.647
Brian Davis,71.656
Retief Goosen,71.667
Sam Saunders,71.668
Tyrone Van Aswegen,71.684
D.A. Points,71.701
Nick Taylor,71.716
Angel Cabrera,71.734
Max Homa,71.763
Robert Garrigus,71.774
Bill Lunde,71.796
Chesson Hadley,71.798
Byron Smith,71.801
Ernie Els,71.83
Tim Wilkinson,71.944
Padraig Harrington,71.95
Scott Stallings,71.961
Ben Crane,71.975
Eric Axley,71.977
Charlie Beljan,72.01
Oscar Fraustro,72.08
Robert Allenby,72.102
Andrew Svoboda,72.119
Andrew Putnam,72.278
Heath Slocum,72.362
Matt Every,72.419
Jim Renner,72.431
Roger Sloan,72.533
