PLAYER,birdie conversion
Rory McIlroy,34.68
Brandt Snedeker,33.67
Phil Mickelson,33.48
Ben Crane,33.29
Jonas Blixt,32.91
Webb Simpson,32.72
Aaron Baddeley,32.67
Bo Van Pelt,32.46
Sangmoon Bae,32.37
John Daly,32.3
Scott Piercy,32.2
Jason Day,32.18
Keegan Bradley,32.13
Ryan Palmer,32.11
Robert Karlsson,32.09
Ryan Moore,32.08
Zach Johnson,32
Tom Gillis,31.74
Robert Garrigus,31.71
Tiger Woods,31.66
J.B. Holmes,31.55
Carl Pettersson,31.47
Jason Dufner,31.4
Jeff Overton,31.37
Graeme McDowell,31.26
Matt Every,31.24
Dustin Johnson,31.09
Jimmy Walker,31.05
Mark Anderson,31.02
Ken Duke,30.97
Pat Perez,30.95
Martin Laird,30.92
Bubba Watson,30.88
Lee Westwood,30.83
Tommy Gainey,30.78
Josh Teater,30.74
Garth Mulroy,30.69
Tommy Biershenk,30.68
Daniel Chopra,30.66
James Driscoll,30.54
Chris Couch,30.47
Rory Sabbatini,30.46
Steve Stricker,30.46
Adam Scott,30.45
Charl Schwartzel,30.38
Y.E. Yang,30.32
Matt Bettencourt,30.28
Padraig Harrington,30.16
Nick Watney,30.15
Louis Oosthuizen,30.12
Charley Hoffman,30.09
Chris Kirk,30.04
Davis Love III,29.99
Michael Thompson,29.97
Greg Chalmers,29.9
Charlie Wi,29.9
Kevin Na,29.89
Ian Poulter,29.89
Brian Harman,29.83
John Senden,29.83
Geoff Ogilvy,29.82
Harrison Frazar,29.8
Andres Romero,29.8
Charlie Beljan,29.75
Rickie Fowler,29.72
Brendon de Jonge,29.69
Brian Davis,29.64
Spencer Levin,29.58
Sergio Garcia,29.56
Erik Compton,29.55
Richard Lee,29.54
Matt Kuchar,29.53
Kyle Stanley,29.52
John Rollins,29.51
Greg Owen,29.49
John Huh,29.47
Vijay Singh,29.47
Sean O'Hair,29.45
Nathan Green,29.37
Derek Lamely,29.27
Jonathan Byrd,29.18
Danny Lee,29.18
Luke Donald,29.17
Blake Adams,29.1
Harris English,29.03
Scott Brown,28.95
D.A. Points,28.87
Camilo Villegas,28.87
Henrik Stenson,28.8
Cameron Beckman,28.76
Bud Cauley,28.76
Jhonattan Vegas,28.76
Vaughn Taylor,28.54
Seung-Yul Noh,28.53
Gavin Coles,28.52
Justin Rose,28.52
Gary Woodland,28.5
Ryuji Imada,28.47
Martin Flores,28.46
Will Claxton,28.38
John Merrick,28.31
Graham DeLaet,28.29
Chris DiMarco,28.29
Hunter Haas,28.25
Johnson Wagner,28.24
Kevin Chappell,28.2
David Toms,28.2
Roland Thatcher,28.19
Marco Dawson,28.17
Scott Stallings,28.16
Edward Loar,28.14
Bobby Gates,28.12
George McNeill,28.1
Billy Horschel,28.09
Gary Christian,28.08
Cameron Tringale,28.02
Ben Curtis,27.96
Brian Gay,27.96
Bill Lunde,27.94
Ricky Barnes,27.93
Bill Haas,27.93
Miguel Angel Carballo,27.87
Marc Leishman,27.85
Jerry Kelly,27.83
Kevin Streelman,27.8
Kevin Stadler,27.72
Jeff Maggert,27.65
Bob Estes,27.64
Dicky Pride,27.64
Jason Kokrak,27.61
Freddie Jacobson,27.59
David Mathis,27.52
David Hearn,27.51
Chris Stroud,27.51
K.J. Choi,27.47
Charles Howell III,27.46
William McGirt,27.42
Mathew Goggin,27.41
Kevin Kisner,27.41
Troy Matteson,27.41
Jason Bohn,27.32
Rocco Mediate,27.31
Roberto Castro,27.3
Bryce Molder,27.25
Colt Knost,27.21
Brendon Todd,27.19
J.J. Killeen,27.14
Hunter Mahan,27.14
Stuart Appleby,27.09
"Ted Potter, Jr.",27.08
John Mallinger,27.03
Justin Leonard,26.9
D.J. Trahan,26.86
Chad Campbell,26.85
Angel Cabrera,26.84
Ernie Els,26.8
Rod Pampling,26.8
Brandt Jobe,26.79
Trevor Immelman,26.76
Daniel Summerhays,26.74
Russell Knox,26.73
Troy Kelly,26.7
Ryo Ishikawa,26.65
Sung Kang,26.6
Matt Jones,26.54
Tom Pernice Jr.,26.4
Billy Mayfair,26.36
Stephen Gangluff,26.34
Tim Herron,26.34
Kris Blanks,26.3
Arjun Atwal,26.23
Jim Furyk,25.88
Billy Hurley III,25.88
Stewart Cink,25.87
Tim Clark,25.87
Heath Slocum,25.84
Robert Allenby,25.72
Mark Wilson,25.64
Nick O'Hern,25.6
Steve Wheatcroft,25.55
Stephen Ames,25.43
Chez Reavie,25.38
Brendan Steele,25.38
Kyle Reifers,25.3
Kyle Thompson,25.18
Patrick Sheehan,25.13
Scott Dunlap,25.04
Boo Weekley,24.94
Michael Bradley,24.71
J.J. Henry,24.35
Alexandre Rocha,24.33
