RK,PLAYER,AGE,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
1,Bubba Watson,37.00,315.5,58.8,1,69.9,1.77,39.3
2,Charlie Beljan,31.00,311.6,58.2,2,61.8,1.801,39.3
3,Robert Garrigus,38.00,310.3,56.6,3,69.2,1.784,44.5
4,Dustin Johnson,31.00,310.2,56.3,4,65.8,1.762,53.8
5,Rory McIlroy,27.00,310.1,56.6,5,66.4,1.738,56.2
6,J.B. Holmes,34.00,309.7,54.4,6,61.5,1.775,49.3
7,Jason Day,28.00,308.6,52.5,7,61.3,1.756,54.4
8,Kyle Stanley,28.00,306.9,59.5,8,67.1,1.793,45.8
9,John Daly,50.00,306.7,55.8,9,62.1,1.743,45.3
10,Jhonattan Vegas,31.00,304.6,53.1,10,64.4,1.796,37.7
11,Adam Scott,35.00,304.6,59.6,10,66.6,1.786,45.7
12,Scott Piercy,37.00,304.5,56.1,12,65.7,1.747,48.9
13,Graham DeLaet,34.00,304.3,60.4,13,63.4,1.795,50
14,Jason Kokrak,31.00,304.1,53.9,14,66,1.799,43.5
15,Ryan Palmer,39.00,303.1,58,15,65.2,1.753,47
16,Keegan Bradley,29.00,302.7,61.7,16,66.5,1.758,55.3
17,Scott Stallings,31.00,302.4,58.1,17,66.4,1.809,38.9
18,Gary Woodland,32.00,301.6,54.6,18,64,1.815,38.2
19,Seung-yul Noh,25.00,300.4,59.3,19,64.7,1.78,48.3
20,Harris English,26.00,300.3,59.5,20,67.7,1.781,46.5
21,Bobby Gates,30.00,300.2,58.6,21,63.9,1.808,45.5
22,Angel Cabrera,46.00,299.7,57,22,58.6,1.807,46.4
23,Louis Oosthuizen,33.00,299.5,62.4,23,68.8,1.756,44.2
24,Troy Kelly,37.00,299.5,52.6,23,61.2,1.8,41.3
25,Brandt Jobe,50.00,299.2,62.5,25,60.1,1.791,44.7
26,Troy Matteson,36.00,298.9,52.7,26,61.4,1.796,45.8
27,Josh Teater,37.00,298.6,61.3,27,66.8,1.785,45.3
28,Martin Laird,33.00,298.2,59.2,28,65.3,1.775,43.2
29,Lee Westwood,43.00,298.1,62.2,29,69.8,1.77,54.4
30,Harrison Frazar,44.00,297.7,54.7,30,61.2,1.792,47.6
31,Sean O'Hair,33.00,297.5,60,31,67.5,1.785,44.9
32,Tiger Woods,40.00,297.4,63.9,32,67.6,1.761,49
33,Tommy Gainey,40.00,297.2,55.6,33,62.3,1.75,49.5
34,Erik Compton,36.00,297.2,58.3,33,59.2,1.78,48.4
35,Carl Pettersson,38.00,297.1,57.6,35,63.9,1.74,56.7
36,Nick Watney,35.00,296.8,58.9,36,66.4,1.777,47.2
37,Boo Weekley,42.00,296.8,65.1,36,65.6,1.824,43
38,Jimmy Walker,38.00,296.5,52.7,38,64.3,1.76,52.7
39,Davis Love III,52.00,296.3,59.1,39,65,1.764,50.4
40,Bo Van Pelt,41.00,296.1,64.8,40,67.1,1.738,48.1
41,Greg Owen,44.00,295.9,60.2,41,68.6,1.792,49.3
42,Charl Schwartzel,31.00,295.8,61.4,42,62.7,1.78,51.8
43,Mark D. Anderson,30.00,295.7,52.2,43,60.4,1.767,53.6
44,Daniel Chopra,42.00,295.6,47.3,44,57.5,1.745,53.8
45,Edward Loar,38.00,295.6,56,44,57.7,1.777,52.7
46,Charley Hoffman,39.00,295.5,62.2,46,66.4,1.786,43.1
47,Vijay Singh,53.00,295.4,61.6,47,66.2,1.787,50.9
48,John Rollins,40.00,295.4,64.2,47,66.2,1.788,42.4
49,Martin Flores,34.00,295,53.6,49,62.6,1.773,60.2
50,Robert Karlsson,46.00,294.7,55.2,50,63.2,1.784,51.6
51,Charles Howell III,36.00,294.6,54.6,51,66.6,1.793,46.5
52,Ernie Els,46.00,294.6,56.7,51,66.5,1.797,48
53,Phil Mickelson,45.00,294.4,54.3,53,64.1,1.747,55.1
54,Chris Couch,43.00,293.8,65.5,54,63.7,1.778,37.9
55,Matt Jones,36.00,293.7,55.5,55,59.9,1.799,52.4
56,Garth Mulroy,37.00,293.7,60.1,55,65.1,1.768,40
57,Padraig Harrington,44.00,293.6,59.9,57,62.2,1.749,59.4
58,John Merrick,34.00,293.3,64.5,58,69.1,1.803,40
59,Kevin Chappell,29.00,293.3,56.7,58,64.1,1.801,46.2
60,Rickie Fowler,27.00,293.2,64.4,60,65,1.773,48.6
61,Hunter Mahan,34.00,293.1,67.7,61,69,1.786,45.9
62,Kevin Stadler,36.00,292.9,65.1,62,64.4,1.792,40.9
63,Kevin Streelman,37.00,292.8,61.6,63,64.7,1.79,45.9
64,Jason Dufner,39.00,292.4,66.9,64,69.2,1.756,56.7
65,Sergio Garcia,36.00,292.4,61.2,64,65,1.762,56.4
66,D.J. Trahan,35.00,292.2,61.3,66,65,1.819,45.2
67,Bill Haas,34.00,292.2,63.6,66,65.2,1.802,58.6
68,Andres Romero,35.00,292,54.9,68,57.5,1.795,46
69,Ricky Barnes,35.00,292,58.1,68,67.4,1.808,43.8
70,Aaron Baddeley,35.00,292,54.3,68,58.1,1.744,58.3
71,Jeff Overton,33.00,292,61.9,68,63.7,1.745,44.9
72,Danny Lee,25.00,291.9,57.4,72,59.8,1.763,47.1
73,Chris Kirk,31.00,291.8,59.7,73,66.6,1.771,47.3
74,Bud Cauley,26.00,291.6,60.3,74,66.6,1.778,60.8
75,Stephen Gangluff,40.00,291.5,49.9,75,54.8,1.808,47.9
76,Pat Perez,40.00,291.5,62.3,75,65,1.769,50.8
77,Scott Brown,33.00,291.2,60.2,77,60.4,1.809,40.4
78,James Driscoll,38.00,291.1,51.3,78,59.4,1.749,47.9
