PLAYER,ONE PUTT PCT
Aaron Baddeley,45.76
Steve Stricker,45.4
Brendon Todd,45.24
Jordan Spieth,44.72
Phil Mickelson,44.44
Jason Day,44.11
Jamie Donaldson,44
Jonas Blixt,43.87
Stuart Appleby,43.8
Anirban Lahiri,43.76
Bryce Molder,43.46
Tim Wilkinson,43.4
Derek Fathauer,43.25
Brian Stuard,43.16
Freddie Jacobson,42.97
Ben Crane,42.86
J.B. Holmes,42.84
Steve Wheatcroft,42.75
Hiroshi Iwata,42.28
Justin Leonard,42.26
Daniel Summerhays,42.24
Peter Malnati,42.09
Luke Guthrie,42.06
Michael Kim,41.99
Jon Curran,41.96
Cameron Smith,41.96
Andrew Loupe,41.92
Carl Pettersson,41.89
Hideki Matsuyama,41.87
Sean O'Hair,41.72
Brian Harman,41.67
Marc Leishman,41.67
Retief Goosen,41.6
George McNeill,41.59
Dicky Pride,41.59
Ernie Els,41.53
Troy Merritt,41.49
Ryan Moore,41.44
Sung Kang,41.42
Tom Hoge,41.41
Hunter Mahan,41.37
Dustin Johnson,41.25
Jimmy Walker,41.22
Danny Lee,41.04
Adam Hadwin,41.03
Billy Hurley III,41.03
Seung-Yul Noh,41.02
Webb Simpson,40.94
Kevin Na,40.91
Adam Scott,40.91
Morgan Hoffmann,40.9
Ricky Barnes,40.71
Kevin Kisner,40.71
Jamie Lovemark,40.71
Cameron Tringale,40.71
Steven Bowditch,40.7
Colt Knost,40.69
Alex Cejka,40.67
Will Wilcox,40.64
Zac Blair,40.63
K.J. Choi,40.63
Brandt Snedeker,40.63
Harris English,40.62
Jason Bohn,40.57
Charley Hoffman,40.48
Brooks Koepka,40.48
Luke List,40.46
Rory Sabbatini,40.42
Nick Taylor,40.39
Jerry Kelly,40.38
Matt Kuchar,40.33
Chez Reavie,40.28
Tim Herron,40.23
Erik Compton,40.14
Zach Johnson,40.11
Wes Roach,40.09
Tony Finau,40.02
Mark Hubbard,40.01
Ryan Palmer,39.98
Rickie Fowler,39.97
Si Woo Kim,39.86
Patton Kizzire,39.83
Abraham Ancer,39.81
Chris Kirk,39.76
Rory McIlroy,39.71
Scott Brown,39.68
Camilo Villegas,39.68
Martin Laird,39.67
Vijay Singh,39.67
Jeff Overton,39.64
Ian Poulter,39.63
Branden Grace,39.58
Padraig Harrington,39.58
Francesco Molinari,39.58
Graeme McDowell,39.54
Charl Schwartzel,39.54
Charles Howell III,39.53
Scott Stallings,39.53
William McGirt,39.52
Angel Cabrera,39.49
D.H. Lee,39.49
Tyrone Van Aswegen,39.41
Patrick Reed,39.39
Russell Henley,39.37
Vaughn Taylor,39.35
Fabian Gomez,39.32
Andrew Landry,39.3
Jason Gore,39.28
Billy Horschel,39.25
Rob Oppenheim,39.03
David Toms,39.02
Chad Collins,38.89
Pat Perez,38.89
Michael Thompson,38.89
Harold Varner III,38.89
John Senden,38.79
Scott Langley,38.77
D.A. Points,38.73
Luke Donald,38.67
Hudson Swafford,38.63
Sam Saunders,38.62
Ken Duke,38.56
Chris Stroud,38.51
Kevin Chappell,38.48
Ben Martin,38.48
Carlos Ortiz,38.45
Kyle Stanley,38.45
Spencer Levin,38.4
Martin Piller,38.37
Boo Weekley,38.36
Andres Gonzales,38.35
Bronson Burgoon,38.32
David Hearn,38.27
David Lingmerth,38.26
Smylie Kaufman,38.22
Brice Garnett,38.17
Darron Stiles,38.15
Matt Jones,38.08
Daniel Berger,38.05
Jason Dufner,37.9
Justin Thomas,37.86
James Hahn,37.84
Justin Rose,37.81
Chad Campbell,37.79
Paul Casey,37.78
Geoff Ogilvy,37.61
Shane Bertsch,37.59
Derek Ernst,37.57
Chesson Hadley,37.52
John Huh,37.52
Mark Wilson,37.5
Kyle Reifers,37.48
Dawie van der Walt,37.44
Matt Every,37.35
Henrik Stenson,37.33
Steve Marino,37.32
Davis Love III,37.3
Henrik Norlander,37.28
Lucas Glover,37.23
Blayne Barber,37.22
Kevin Streelman,37.18
Jim Herman,37.16
Graham DeLaet,37.04
Tyler Aldridge,37.01
Gary Woodland,36.9
Kelly Kraft,36.89
Whee Kim,36.88
Russell Knox,36.85
Roberto Castro,36.82
Andy Sullivan,36.81
Will MacKenzie,36.78
Jason Kokrak,36.74
Sergio Garcia,36.7
Jhonattan Vegas,36.44
Scott Piercy,36.43
Bill Haas,36.35
Emiliano Grillo,36.33
Johnson Wagner,36.31
Shane Lowry,36.27
Brendan Steele,36.22
Justin Hicks,36.11
Brett Stegmaier,36.07
Shawn Stefani,36.06
Rhein Gibson,35.97
Brendon de Jonge,35.79
Bubba Watson,35.66
Patrick Rodgers,35.56
Charlie Beljan,35.47
Scott Pinckney,35.4
Robert Streb,34.98
Robert Garrigus,34.94
Bernd Wiesberger,34.72
Robert Allenby,34.23
Greg Owen,34.04
Keegan Bradley,34.03
Louis Oosthuizen,33.97
Thomas Aiken,33.46
Stewart Cink,33.45
J.J. Henry,31.89
