PLAYER,PAR 5
Rory McIlroy,4.49
Bubba Watson,4.51
Sergio Garcia,4.54
Charles Howell III,4.55
Kyle Stanley,4.55
Keegan Bradley,4.56
John Daly,4.56
Dustin Johnson,4.56
Tiger Woods,4.56
Robert Garrigus,4.57
Adam Scott,4.57
Kevin Chappell,4.58
Russell Knox,4.58
Jeff Overton,4.58
Ben Crane,4.59
Luke Donald,4.59
Phil Mickelson,4.59
Brandt Snedeker,4.59
Henrik Stenson,4.59
Zach Johnson,4.6
Webb Simpson,4.6
Charlie Beljan,4.61
Jonas Blixt,4.61
Brendon de Jonge,4.61
Jason Dufner,4.61
Rickie Fowler,4.61
Padraig Harrington,4.61
Sean O'Hair,4.61
Louis Oosthuizen,4.61
Pat Perez,4.61
Josh Teater,4.61
Bo Van Pelt,4.61
Will Claxton,4.62
Seung-Yul Noh,4.62
Scott Piercy,4.62
John Senden,4.62
Scott Stallings,4.62
Steve Stricker,4.62
Jimmy Walker,4.62
Nick Watney,4.62
Stuart Appleby,4.63
Jonathan Byrd,4.63
Chris Couch,4.63
James Driscoll,4.63
Bobby Gates,4.63
Charley Hoffman,4.63
Ryo Ishikawa,4.63
Andres Romero,4.63
Michael Thompson,4.63
Jhonattan Vegas,4.63
Camilo Villegas,4.63
Roberto Castro,4.64
Robert Karlsson,4.64
John Merrick,4.64
Geoff Ogilvy,4.64
Vijay Singh,4.64
Gary Woodland,4.64
Blake Adams,4.65
Aaron Baddeley,4.65
Scott Brown,4.65
Bud Cauley,4.65
Gary Christian,4.65
Ken Duke,4.65
Jim Furyk,4.65
Billy Horschel,4.65
John Huh,4.65
Richard Lee,4.65
Garth Mulroy,4.65
Greg Owen,4.65
John Rollins,4.65
Boo Weekley,4.65
Lee Westwood,4.65
Kris Blanks,4.66
Angel Cabrera,4.66
Harrison Frazar,4.66
Mathew Goggin,4.66
Bill Haas,4.66
Brian Harman,4.66
J.B. Holmes,4.66
Bill Lunde,4.66
William McGirt,4.66
Carl Pettersson,4.66
Justin Rose,4.66
K.J. Choi,4.67
Jason Day,4.67
Harris English,4.67
Martin Flores,4.67
Jason Kokrak,4.67
Matt Kuchar,4.67
Martin Laird,4.67
John Mallinger,4.67
Ryan Palmer,4.67
Rod Pampling,4.67
Kyle Reifers,4.67
Johnson Wagner,4.67
Mark Anderson,4.68
Greg Chalmers,4.68
Tim Herron,4.68
Marc Leishman,4.68
Jeff Maggert,4.68
Billy Mayfair,4.68
D.A. Points,4.68
Ian Poulter,4.68
Kevin Streelman,4.68
Mark Wilson,4.68
Ricky Barnes,4.69
Cameron Beckman,4.69
Tommy Biershenk,4.69
Graham DeLaet,4.69
Chris DiMarco,4.69
Nathan Green,4.69
Matt Jones,4.69
Davis Love III,4.69
George McNeill,4.69
Rocco Mediate,4.69
Bryce Molder,4.69
Rory Sabbatini,4.69
Cameron Tringale,4.69
Chad Campbell,4.7
Ernie Els,4.7
Brian Gay,4.7
Spencer Levin,4.7
Dicky Pride,4.7
D.J. Trahan,4.7
Jason Bohn,4.71
Ben Curtis,4.71
Troy Matteson,4.71
Chris Stroud,4.71
David Toms,4.71
Sangmoon Bae,4.72
Miguel Angel Carballo,4.72
Gavin Coles,4.72
Tom Gillis,4.72
David Hearn,4.72
Jerry Kelly,4.72
Kevin Na,4.72
Heath Slocum,4.72
Brendan Steele,4.72
Roland Thatcher,4.72
Brendon Todd,4.72
Charlie Wi,4.72
Y.E. Yang,4.72
Daniel Chopra,4.73
Erik Compton,4.73
Freddie Jacobson,4.73
Sung Kang,4.73
Chris Kirk,4.73
Kevin Kisner,4.73
Edward Loar,4.73
Ryan Moore,4.73
Charl Schwartzel,4.73
Daniel Summerhays,4.73
Arjun Atwal,4.74
Stewart Cink,4.74
Tim Clark,4.74
Marco Dawson,4.74
Derek Lamely,4.74
Tom Pernice Jr.,4.74
Kevin Stadler,4.74
Vaughn Taylor,4.74
Matt Every,4.75
Danny Lee,4.75
Justin Leonard,4.75
Hunter Mahan,4.75
Graeme McDowell,4.75
Chez Reavie,4.75
Steve Wheatcroft,4.75
Stephen Ames,4.76
Trevor Immelman,4.76
"Ted Potter, Jr.",4.76
Matt Bettencourt,4.77
Bob Estes,4.77
Tommy Gainey,4.77
J.J. Henry,4.77
Troy Kelly,4.77
J.J. Killeen,4.77
Colt Knost,4.77
Alexandre Rocha,4.77
Patrick Sheehan,4.77
Michael Bradley,4.78
Stephen Gangluff,4.79
Brandt Jobe,4.79
Brian Davis,4.8
Scott Dunlap,4.8
Hunter Haas,4.8
Ryuji Imada,4.8
Kyle Thompson,4.8
Robert Allenby,4.81
Billy Hurley III,4.81
David Mathis,4.82
Nick O'Hern,4.82
