PLAYER,Strokes gained tee to green
Rory McIlroy,2.317
Tiger Woods,1.91
Bubba Watson,1.719
Justin Rose,1.7
Adam Scott,1.318
Jason Dufner,1.283
Jim Furyk,1.279
Lee Westwood,1.266
Dustin Johnson,1.22
Steve Stricker,1.188
Kyle Stanley,1.112
Vijay Singh,1.076
Robert Garrigus,1.057
Louis Oosthuizen,1.028
Matt Kuchar,0.993
Padraig Harrington,0.926
Webb Simpson,0.908
John Senden,0.905
Brendon de Jonge,0.883
Charl Schwartzel,0.856
Boo Weekley,0.846
Luke Donald,0.838
Henrik Stenson,0.828
Davis Love III,0.79
Bo Van Pelt,0.786
Keegan Bradley,0.741
Phil Mickelson,0.721
Sergio Garcia,0.672
Chad Campbell,0.663
Ernie Els,0.645
Greg Owen,0.645
Rickie Fowler,0.638
Jeff Overton,0.637
K.J. Choi,0.634
Graeme McDowell,0.62
Scott Piercy,0.619
Kevin Stadler,0.608
Sean O'Hair,0.595
Will Claxton,0.587
Bud Cauley,0.576
Pat Perez,0.563
Zach Johnson,0.559
Graham DeLaet,0.549
Charles Howell III,0.548
Bill Haas,0.534
Kris Blanks,0.533
Hunter Mahan,0.529
Seung-Yul Noh,0.505
Charley Hoffman,0.502
Ryan Palmer,0.497
Marc Leishman,0.488
Nick Watney,0.486
Heath Slocum,0.483
Jason Day,0.465
J.B. Holmes,0.44
Tim Clark,0.425
Roberto Castro,0.409
Matt Every,0.404
Bill Lunde,0.397
Tim Herron,0.393
Billy Horschel,0.392
Carl Pettersson,0.378
John Merrick,0.376
John Rollins,0.376
Ben Curtis,0.375
Martin Laird,0.37
Ian Poulter,0.362
John Huh,0.359
Trevor Immelman,0.347
Chris Kirk,0.332
Ryan Moore,0.328
Geoff Ogilvy,0.313
D.A. Points,0.301
Rory Sabbatini,0.284
Bob Estes,0.283
Freddie Jacobson,0.276
David Toms,0.268
Josh Teater,0.226
John Mallinger,0.218
Kevin Streelman,0.214
Jonathan Byrd,0.211
J.J. Henry,0.21
Kevin Na,0.209
Ken Duke,0.208
Ricky Barnes,0.198
Brian Davis,0.164
Cameron Tringale,0.158
Greg Chalmers,0.151
Gary Woodland,0.116
Camilo Villegas,0.115
Gary Christian,0.105
Kevin Chappell,0.096
Jonas Blixt,0.088
Brandt Snedeker,0.086
Harris English,0.083
Blake Adams,0.073
Jeff Maggert,0.073
Russell Knox,0.061
Ben Crane,0.048
Robert Karlsson,0.038
Jimmy Walker,0.038
Daniel Summerhays,0.03
Johnson Wagner,0.024
Billy Mayfair,0.022
Rod Pampling,0.012
Scott Stallings,0.004
Brian Harman,-0.009
Chez Reavie,-0.009
Tom Gillis,-0.012
Chris Stroud,-0.012
Kyle Reifers,-0.042
Jerry Kelly,-0.05
Scott Dunlap,-0.059
David Hearn,-0.076
Bobby Gates,-0.088
Chris Couch,-0.108
Danny Lee,-0.125
Mark Wilson,-0.127
Charlie Wi,-0.138
William McGirt,-0.14
Garth Mulroy,-0.146
Vaughn Taylor,-0.165
Spencer Levin,-0.169
Jason Bohn,-0.183
Hunter Haas,-0.185
Richard Lee,-0.194
D.J. Trahan,-0.238
Dicky Pride,-0.246
Nick O'Hern,-0.249
Ryo Ishikawa,-0.253
Rocco Mediate,-0.257
Mathew Goggin,-0.263
Charlie Beljan,-0.264
Robert Allenby,-0.268
Andres Romero,-0.273
Troy Matteson,-0.287
George McNeill,-0.291
Martin Flores,-0.304
Brandt Jobe,-0.316
Michael Thompson,-0.32
Angel Cabrera,-0.363
Justin Leonard,-0.371
Jason Kokrak,-0.399
Chris DiMarco,-0.416
Kyle Thompson,-0.422
J.J. Killeen,-0.434
Stuart Appleby,-0.436
Scott Brown,-0.443
Bryce Molder,-0.448
Jhonattan Vegas,-0.45
Cameron Beckman,-0.459
Nathan Green,-0.523
Brendan Steele,-0.526
Arjun Atwal,-0.554
David Mathis,-0.555
Matt Jones,-0.573
Harrison Frazar,-0.586
Aaron Baddeley,-0.59
Kevin Kisner,-0.59
Brian Gay,-0.598
John Daly,-0.626
Erik Compton,-0.629
James Driscoll,-0.637
Steve Wheatcroft,-0.642
Stewart Cink,-0.673
Y.E. Yang,-0.688
Tommy Gainey,-0.721
Roland Thatcher,-0.729
Alexandre Rocha,-0.789
Stephen Ames,-0.79
Troy Kelly,-0.837
Mark Anderson,-0.893
Michael Bradley,-0.899
Tom Pernice Jr.,-0.962
Miguel Angel Carballo,-0.993
Gavin Coles,-1.039
"Ted Potter, Jr.",-1.055
Marco Dawson,-1.14
Matt Bettencourt,-1.206
Daniel Chopra,-1.227
Patrick Sheehan,-1.238
Sangmoon Bae,-1.263
Colt Knost,-1.304
Ryuji Imada,-1.312
Edward Loar,-1.416
Tommy Biershenk,-1.521
Brendon Todd,-1.731
Billy Hurley III,-1.743
Derek Lamely,-1.768
Stephen Gangluff,-1.8
Sung Kang,-1.858
