RANK THIS WEEK,,PLAYER NAME,,AVG
T146,,Vaughn Taylor  titleist,,3.1
T163,,Jason Bohn  titleist,,3.11
T163,,Erik Compton  titleist,,3.11
T163,,Emiliano Grillo,,3.11
T163,,Padraig Harrington  titleist,,3.11
T163,,Luke List  titleist,,3.11
T163,,Martin Piller  titleist,,3.11
T163,,Wes Roach,,3.11
T163,,Brendan Steele  titleist,,3.11
T163,,Brett Stegmaier  titleist,,3.11
T172,,Justin Hicks,,3.12
T172,,Mark Hubbard  titleist,,3.12
T172,,Rory McIlroy,,3.12
T172,,Sean O'Hair,,3.12
T172,,Carl Pettersson  titleist,,3.12
T177,,Tony Finau,,3.13
T177,,Ben Martin  titleist,,3.13
T177,,Dicky Pride  titleist,,3.13
T177,,Vijay Singh,,3.13
T177,,Jimmy Walker  titleist,,3.13
T177,,Steve Wheatcroft  titleist,,3.13
T177,,Gary Woodland,,3.13
T184,,Patrick Rodgers,,3.14
T184,,Webb Simpson  titleist,,3.14
T184,,Will Wilcox,,3.14
T187,,Shane Bertsch  titleist,,3.15
T187,,Branden Grace,,3.15
T187,,Billy Horschel  titleist,,3.15
T187,,Davis Love III  titleist,,3.15
T187,,Steve Marino  titleist,,3.15
T187,,Cameron Smith  titleist,,3.15
T187,,Shawn Stefani  titleist,,3.15
194,,Hudson Swafford,,3.16
T195,,Morgan Hoffmann  titleist,,3.17
T195,,Geoff Ogilvy  titleist,,3.17
T197,,D.H. Lee,,3.18
T197,,Andy Sullivan  titleist,,3.18
T197,,Brendon Todd  titleist,,3.18
T197,,Bernd Wiesberger  titleist,,3.18
T201,,Robert Allenby,,3.19
T201,,Ken Duke  titleist,,3.19
203,,Hunter Mahan  titleist,,3.22
204,,Charlie Beljan,,3.25
