PLAYER,SCORING AVG
Matt Kuchar,69.606
Steve Stricker,69.66
Retief Goosen,69.718
Paul Casey,69.72
Jim Furyk,69.827
Ernie Els,69.842
Luke Donald,69.849
Justin Rose,69.885
Bo Van Pelt,69.955
Phil Mickelson,69.966
J.B. Holmes,70.088
K.J. Choi,70.099
Robert Allenby,70.13
Dustin Johnson,70.135
Padraig Harrington,70.173
Dean Wilson,70.223
Bubba Watson,70.228
Ben Crane,70.233
Tim Clark,70.246
Charley Hoffman,70.253
Brandt Snedeker,70.258
Jason Day,70.273
Charlie Wi,70.284
Nick Watney,70.291
Charles Howell III,70.292
Bill Haas,70.308
Kevin Na,70.314
Steve Elkington,70.317
David Toms,70.337
Vijay Singh,70.342
Brendon de Jonge,70.344
Chris Riley,70.344
Rory McIlroy,70.351
Paul Stankowski,70.354
Joe Durant,70.365
Freddie Jacobson,70.367
Spencer Levin,70.384
Bryce Molder,70.402
Justin Leonard,70.419
Camilo Villegas,70.425
Rickie Fowler,70.429
Stewart Cink,70.431
Jonathan Byrd,70.437
Adam Scott,70.468
Ricky Barnes,70.469
Hunter Mahan,70.475
Jeff Overton,70.497
Shaun Micheel,70.498
Tom Gillis,70.513
Zach Johnson,70.526
Carl Pettersson,70.552
Pat Perez,70.592
Chad Collins,70.598
Sean O'Hair,70.603
Kevin Sutherland,70.604
Matt Jones,70.605
John Senden,70.618
Ryan Moore,70.623
Jeev Milkha Singh,70.631
Stephen Ames,70.639
Briny Baird,70.639
Chad Campbell,70.643
Graham DeLaet,70.645
D.J. Trahan,70.66
Heath Slocum,70.673
Webb Simpson,70.683
Kevin Streelman,70.727
John Rollins,70.728
Greg Chalmers,70.732
Ryuji Imada,70.753
Brian Gay,70.756
Tom Pernice Jr.,70.757
Geoff Ogilvy,70.763
Marc Leishman,70.769
J.J. Henry,70.772
Vaughn Taylor,70.794
Ryan Palmer,70.824
Jarrod Lyle,70.835
Scott Verplank,70.837
Kenny Perry,70.841
Brett Wetterich,70.847
Boo Weekley,70.85
Jeff Quinney,70.851
Jason Bohn,70.855
Aron Price,70.856
Ben Curtis,70.871
Steve Marino,70.875
Alex Prugh,70.877
Davis Love III,70.887
Michael Sim,70.895
Michael Connell,70.9
Charles Warren,70.917
Will MacKenzie,70.918
Angel Cabrera,70.919
Scott McCarron,70.94
Chris Couch,70.947
Lucas Glover,70.949
Michael Letzig,70.951
Jimmy Walker,70.953
Stuart Appleby,70.954
James Driscoll,70.954
Jerry Kelly,70.954
D.A. Points,70.957
Chris Stroud,70.966
J.P. Hayes,70.981
Chris DiMarco,70.983
Matt Every,70.986
Andres Romero,70.986
Tim Petrovic,70.991
Aaron Baddeley,70.995
Jason Dufner,71.017
Y.E. Yang,71.032
Blake Adams,71.076
Sergio Garcia,71.076
Brett Quigley,71.082
Bob Estes,71.086
Mark Wilson,71.098
John Merrick,71.102
Johnson Wagner,71.113
Josh Teater,71.115
Woody Austin,71.121
Kevin Stadler,71.149
Richard Johnson,71.156
Martin Laird,71.158
Garrett Willis,71.158
Trevor Immelman,71.162
Tim Herron,71.171
Lee Janzen,71.194
Scott Piercy,71.196
George McNeill,71.207
Ian Poulter,71.21
Alex Cejka,71.219
Chris Tidland,71.255
Robert Garrigus,71.264
John Mallinger,71.27
James Nitties,71.277
Jay Williamson,71.29
Joe Ogilvie,71.296
Troy Matteson,71.309
Rocco Mediate,71.341
Rory Sabbatini,71.365
Kris Blanks,71.37
Brian Davis,71.375
Cameron Beckman,71.395
Cliff Kresge,71.417
Nathan Green,71.421
Billy Mayfair,71.426
Jeff Maggert,71.445
Troy Merritt,71.486
Michael Bradley,71.498
Rod Pampling,71.501
Steve Wheatcroft,71.53
Paul Goydos,71.532
Mike Weir,71.571
Matt Bettencourt,71.575
Omar Uresti,71.579
Brian Stuard,71.595
Cameron Tringale,71.598
Mathias Gronberg,71.614
Cameron Percy,71.622
Skip Kendall,71.64
Derek Lamely,71.666
Mathew Goggin,71.672
David Duval,71.688
Bill Lunde,71.688
John Daly,71.697
Henrik Bjornstad,71.722
Rich Barcelo,71.751
Greg Owen,71.77
Nicholas Thompson,71.815
Roland Thatcher,71.82
Ted Purdy,71.824
Martin Flores,71.882
Brenden Pappas,71.966
Roger Tambellini,71.969
Garth Mulroy,72
Brent Delahoussaye,72.032
Steve Flesch,72.041
David Lutterus,72.17
Daniel Chopra,72.194
Steve Lowery,72.202
Andrew McLardy,72.217
Mark Calcavecchia,72.222
Craig Bowden,72.229
Vance Veazey,72.323
Jeff Gove,72.401
Jerod Turner,72.602
Chris Wilson,72.682
Kevin Johnson,72.878
Justin Bolli,72.881
Greg Kraft,73.07
Brad Faxon,73.116
