PLAYER,scrambling
Dean Wilson,67.16
Brian Gay,66.51
Charlie Wi,65.56
Luke Donald,65.41
Matt Kuchar,64.69
Chris Riley,64.47
Charles Howell III,64.46
Kevin Na,64.45
Chad Collins,64.37
Greg Chalmers,64.32
Steve Elkington,64.23
Retief Goosen,63.91
Justin Rose,63.85
Steve Stricker,63.75
Jeev Milkha Singh,63.69
Jim Furyk,63.47
Freddie Jacobson,63.2
Ryuji Imada,63.13
Heath Slocum,62.87
K.J. Choi,62.67
Tim Clark,62.67
J.B. Holmes,62.48
Kevin Sutherland,62.44
Bryce Molder,62.4
Bo Van Pelt,62.33
Pat Perez,62.23
Mark Wilson,62.16
Carl Pettersson,62.06
Chris DiMarco,61.87
Brian Davis,61.85
Phil Mickelson,61.84
Sean O'Hair,61.83
Kenny Perry,61.74
Jonathan Byrd,61.66
Michael Sim,61.58
Graham DeLaet,61.56
Briny Baird,61.49
Omar Uresti,61.44
David Toms,61.29
Shaun Micheel,61.27
Ernie Els,61.23
Padraig Harrington,61.2
Scott McCarron,61.19
Brandt Snedeker,61.19
Paul Casey,60.86
Andres Romero,60.78
Ryan Moore,60.76
Matt Jones,60.61
Charley Hoffman,60.6
Bob Estes,60.48
Jason Day,60.38
Tim Petrovic,60.38
Boo Weekley,60.32
Tom Gillis,60.27
Nathan Green,60.18
Rory McIlroy,60.13
Ian Poulter,59.82
Jay Williamson,59.74
Jeff Quinney,59.7
Ben Curtis,59.69
Stephen Ames,59.67
J.J. Henry,59.62
Tom Pernice Jr.,59.61
Ricky Barnes,59.59
Trevor Immelman,59.52
Rickie Fowler,59.51
Michael Bradley,59.47
Rod Pampling,59.47
Webb Simpson,59.46
Scott Verplank,59.37
Richard Johnson,59.35
Chad Campbell,59.32
Will MacKenzie,59.31
John Rollins,59.27
Michael Connell,59.13
Joe Durant,59.09
Ben Crane,59.06
Cliff Kresge,59.06
Spencer Levin,58.95
Tim Herron,58.86
Stuart Appleby,58.82
Mike Weir,58.8
Brett Wetterich,58.71
John Mallinger,58.67
Hunter Mahan,58.65
D.A. Points,58.65
Woody Austin,58.56
Aron Price,58.53
Jimmy Walker,58.46
Mathias Gronberg,58.36
Craig Bowden,58.31
Jason Dufner,58.24
Cameron Beckman,58.21
James Nitties,58.19
James Driscoll,58.15
Johnson Wagner,58.1
Matt Bettencourt,57.98
Bill Haas,57.96
Brett Quigley,57.93
Jerry Kelly,57.91
Jarrod Lyle,57.84
Lee Janzen,57.81
Zach Johnson,57.66
John Senden,57.65
Matt Every,57.61
Skip Kendall,57.57
Camilo Villegas,57.5
Jason Bohn,57.49
Bill Lunde,57.48
Chris Tidland,57.47
Vaughn Taylor,57.46
Blake Adams,57.43
Chris Stroud,57.4
Justin Leonard,57.32
Martin Laird,57.31
Roland Thatcher,57.24
Aaron Baddeley,57.1
Stewart Cink,57.08
Derek Lamely,57
Rocco Mediate,56.96
John Merrick,56.93
Cameron Percy,56.91
Marc Leishman,56.9
Josh Teater,56.83
Jeff Overton,56.8
Joe Ogilvie,56.69
Kevin Streelman,56.59
Rory Sabbatini,56.48
Vijay Singh,56.46
Alex Cejka,56.42
Robert Allenby,56.37
Steve Marino,56.33
Chris Couch,56.28
Y.E. Yang,56.18
Daniel Chopra,56.16
Geoff Ogilvy,56.16
Michael Letzig,56.08
Kevin Stadler,56
Dustin Johnson,55.81
Troy Matteson,55.79
J.P. Hayes,55.77
Jeff Maggert,55.77
Brenden Pappas,55.61
Ryan Palmer,55.56
Brendon de Jonge,55.52
Nick Watney,55.51
Billy Mayfair,55.5
Bubba Watson,55.5
George McNeill,55.49
Paul Stankowski,55.48
Alex Prugh,55.35
Garrett Willis,55.32
Angel Cabrera,55.15
Steve Flesch,55.04
Paul Goydos,55.02
Troy Merritt,54.98
D.J. Trahan,54.83
David Lutterus,54.81
Scott Piercy,54.79
Charles Warren,54.58
Sergio Garcia,54.57
Justin Bolli,54.52
Brian Stuard,54.45
Brent Delahoussaye,54.43
Davis Love III,54.37
Roger Tambellini,54.26
Mathew Goggin,54.21
Rich Barcelo,54.2
Lucas Glover,54.15
Kris Blanks,54.06
Adam Scott,54.03
Martin Flores,54
Chris Wilson,53.85
John Daly,53.53
Garth Mulroy,53.41
Andrew McLardy,53.4
Greg Kraft,53.37
Cameron Tringale,53.23
Greg Owen,52.73
Ted Purdy,52.44
David Duval,52.26
Robert Garrigus,51.98
Steve Wheatcroft,51.84
Kevin Johnson,51.32
Mark Calcavecchia,50.96
Jerod Turner,50.88
Vance Veazey,50.72
Steve Lowery,50.38
Jeff Gove,50.36
Henrik Bjornstad,49.59
Nicholas Thompson,49.38
Brad Faxon,47.49
