PLAYER,Putts per round
Brandt Snedeker,27.97
Brian Gay,28.02
Mike Weir,28.16
Carl Pettersson,28.24
Chad Collins,28.28
Padraig Harrington,28.3
Ryuji Imada,28.4
Matt Bettencourt,28.46
Luke Donald,28.46
Greg Chalmers,28.53
Aaron Baddeley,28.57
Kevin Na,28.57
Charlie Wi,28.58
Justin Rose,28.64
Retief Goosen,28.65
Matt Jones,28.65
Jeff Quinney,28.66
Bryce Molder,28.69
Steve Stricker,28.69
Charley Hoffman,28.73
Zach Johnson,28.73
Webb Simpson,28.73
Jim Furyk,28.74
Matt Kuchar,28.74
Tom Gillis,28.75
Michael Sim,28.75
Scott Verplank,28.75
Chris Couch,28.77
Shaun Micheel,28.77
Ryan Palmer,28.77
Phil Mickelson,28.79
Dean Wilson,28.79
J.B. Holmes,28.86
Tim Clark,28.87
Brian Davis,28.87
Daniel Chopra,28.88
Stuart Appleby,28.89
David Toms,28.89
Ian Poulter,28.9
Pat Perez,28.91
Matt Every,28.93
Freddie Jacobson,28.93
Andres Romero,28.93
Nathan Green,28.94
J.P. Hayes,28.95
Charles Howell III,28.96
Troy Merritt,28.96
Rich Barcelo,28.97
Scott McCarron,28.98
Ernie Els,28.99
Chris Riley,29
Jerod Turner,29
Brad Faxon,29.02
Skip Kendall,29.02
Justin Leonard,29.02
Jeff Overton,29.04
Ryan Moore,29.05
Paul Casey,29.07
Ben Crane,29.07
Kevin Streelman,29.07
Y.E. Yang,29.07
Paul Goydos,29.08
Jeev Milkha Singh,29.08
Steve Elkington,29.09
Scott Piercy,29.11
Michael Connell,29.12
Jimmy Walker,29.14
Stephen Ames,29.15
Jason Day,29.15
Chris DiMarco,29.15
Derek Lamely,29.17
Steve Flesch,29.19
Blake Adams,29.2
Geoff Ogilvy,29.22
Chris Tidland,29.22
K.J. Choi,29.23
Joe Ogilvie,29.23
Tim Petrovic,29.23
Jarrod Lyle,29.24
Jason Bohn,29.25
Rory McIlroy,29.27
James Nitties,29.27
Rickie Fowler,29.3
Robert Allenby,29.31
James Driscoll,29.31
Bo Van Pelt,29.31
Ricky Barnes,29.32
George McNeill,29.32
Nick Watney,29.32
Spencer Levin,29.33
John Mallinger,29.33
Paul Stankowski,29.35
Tim Herron,29.36
Rory Sabbatini,29.36
Dustin Johnson,29.37
Lee Janzen,29.38
Vaughn Taylor,29.39
Steve Wheatcroft,29.39
Bubba Watson,29.4
Martin Flores,29.41
Michael Letzig,29.42
Brian Stuard,29.43
Camilo Villegas,29.43
Marc Leishman,29.44
Kevin Johnson,29.46
Alex Prugh,29.47
Angel Cabrera,29.48
Stewart Cink,29.48
David Duval,29.48
Bill Haas,29.48
Tom Pernice Jr.,29.48
Rod Pampling,29.49
Brenden Pappas,29.5
Brendon de Jonge,29.51
Chad Campbell,29.52
Johnson Wagner,29.52
Craig Bowden,29.53
Steve Marino,29.53
Kevin Stadler,29.53
Jonathan Byrd,29.54
Woody Austin,29.55
Chris Wilson,29.56
Vance Veazey,29.58
Bob Estes,29.59
John Rollins,29.59
Ben Curtis,29.6
Richard Johnson,29.6
Hunter Mahan,29.6
Cameron Beckman,29.61
Ted Purdy,29.61
Michael Bradley,29.62
Jeff Maggert,29.62
Heath Slocum,29.62
Jerry Kelly,29.63
Briny Baird,29.65
Lucas Glover,29.65
Garrett Willis,29.65
Martin Laird,29.68
Brent Delahoussaye,29.69
Andrew McLardy,29.69
Aron Price,29.69
Roland Thatcher,29.69
Alex Cejka,29.7
J.J. Henry,29.7
Mark Wilson,29.71
Jay Williamson,29.72
D.A. Points,29.74
Josh Teater,29.74
Cliff Kresge,29.76
Bill Lunde,29.77
Chris Stroud,29.77
John Daly,29.78
Greg Kraft,29.78
Will MacKenzie,29.78
Omar Uresti,29.78
Sean O'Hair,29.8
Brett Wetterich,29.8
Jason Dufner,29.82
Vijay Singh,29.84
David Lutterus,29.86
Mathias Gronberg,29.87
Sergio Garcia,29.88
Joe Durant,29.89
Robert Garrigus,29.89
Trevor Immelman,29.89
Kevin Sutherland,29.9
John Merrick,29.94
Brett Quigley,29.94
Boo Weekley,29.95
Kenny Perry,29.97
Mark Calcavecchia,30.02
D.J. Trahan,30.02
Steve Lowery,30.03
Graham DeLaet,30.07
Adam Scott,30.07
John Senden,30.08
Greg Owen,30.1
Cameron Percy,30.13
Garth Mulroy,30.18
Justin Bolli,30.2
Nicholas Thompson,30.2
Henrik Bjornstad,30.21
Davis Love III,30.24
Rocco Mediate,30.28
Charles Warren,30.28
Mathew Goggin,30.33
Troy Matteson,30.44
Cameron Tringale,30.45
Billy Mayfair,30.5
Kris Blanks,30.6
Roger Tambellini,30.71
Jeff Gove,31
