PLAYER,SAND SAVE PERCENTAGE
David Toms,66.67
Sean O'Hair,63.81
Jonas Blixt,63.64
Justin Rose,63.49
Danny Lee,62.73
K.J. Choi,62.5
Bryce Molder,61.47
Robert Allenby,61.11
Jason Day,59.62
Brendon Todd,59.55
Chris Kirk,59.18
Jon Curran,58.91
Mark Wilson,58.62
Padraig Harrington,58.57
Dicky Pride,58.46
Branden Grace,58.33
Tyrone Van Aswegen,58.27
Smylie Kaufman,58.1
Patrick Reed,58
Tom Hoge,57.69
Hiroshi Iwata,57.63
Aaron Baddeley,57.55
Steven Bowditch,57.29
Brendan Steele,57.14
Freddie Jacobson,57.01
Jordan Spieth,56.9
Webb Simpson,56.82
Hunter Mahan,56.76
Tim Wilkinson,56.6
Stuart Appleby,56.52
Martin Piller,56.45
Michael Kim,56.3
Justin Leonard,56.1
Tim Herron,56
Phil Mickelson,56
John Huh,55.79
Russell Henley,55.7
Luke Donald,55.68
Alex Cejka,55.56
Justin Thomas,55.43
Brooks Koepka,55.38
Ben Crane,55.1
Tyler Aldridge,54.88
Cameron Smith,54.67
Kevin Kisner,54.43
Jerry Kelly,54.35
Brendon de Jonge,54.29
Ian Poulter,54.29
Paul Casey,54.17
Brandt Snedeker,54.17
Kyle Reifers,54.1
Troy Merritt,53.85
Martin Laird,53.75
Jamie Donaldson,53.7
Retief Goosen,53.42
Chad Campbell,53.4
Marc Leishman,53.25
Brian Harman,53.23
Pat Perez,53.19
David Hearn,53.13
J.B. Holmes,53.13
Morgan Hoffmann,53.09
Peter Malnati,52.94
Sergio Garcia,52.83
Russell Knox,52.78
Rickie Fowler,52.73
Mark Hubbard,52.67
Henrik Stenson,52.63
Charles Howell III,52.58
Charl Schwartzel,52.54
Shane Lowry,52.31
Shawn Stefani,52.17
Zac Blair,52.07
Colt Knost,51.96
Ryan Palmer,51.79
Rory Sabbatini,51.65
Luke List,51.61
Scott Brown,51.59
Scott Piercy,51.58
Jamie Lovemark,51.52
Adam Hadwin,51.38
Sung Kang,51.35
Kevin Na,51
Charley Hoffman,50.96
Chez Reavie,50.91
Gary Woodland,50.68
Jason Kokrak,50.63
Steve Marino,50.63
Matt Kuchar,50.57
Zach Johnson,50.56
Chad Collins,50.52
Hudson Swafford,50.45
Daniel Summerhays,50.44
Shane Bertsch,50
Fabian Gomez,50
Jim Herman,50
Billy Horschel,50
Rory McIlroy,50
Adam Scott,50
Cameron Tringale,50
William McGirt,49.57
Ricky Barnes,49.52
Roberto Castro,49.48
Seung-Yul Noh,49.47
Will MacKenzie,49.44
Sam Saunders,49.43
Scott Langley,49.35
Francesco Molinari,49.18
Daniel Berger,48.96
Rhein Gibson,48.94
George McNeill,48.75
Patton Kizzire,48.61
Jason Dufner,48.51
Michael Thompson,48.48
Si Woo Kim,48.44
D.A. Points,48.39
Louis Oosthuizen,48.15
Brian Stuard,48.15
Davis Love III,48.1
Patrick Rodgers,47.83
Erik Compton,47.73
Vaughn Taylor,47.69
Andres Gonzales,47.56
Johnson Wagner,47.56
Henrik Norlander,47.54
Harris English,47.47
Blayne Barber,47.14
Kelly Kraft,46.97
Steve Stricker,46.94
Jhonattan Vegas,46.81
Bill Haas,46.75
Andrew Loupe,46.74
Bubba Watson,46.67
Ryan Moore,46.43
Andy Sullivan,46.15
Derek Fathauer,46.09
Jimmy Walker,45.98
J.J. Henry,45.95
Bronson Burgoon,45.78
Will Wilcox,45.61
Geoff Ogilvy,45.59
Bernd Wiesberger,45.45
Anirban Lahiri,45.35
Derek Ernst,45.31
Matt Jones,45.24
Steve Wheatcroft,45.22
James Hahn,45.16
John Senden,45
Luke Guthrie,44.9
Justin Hicks,44.9
Tony Finau,44.86
Jason Gore,44.83
Vijay Singh,44.83
Spencer Levin,44.79
Nick Taylor,44.66
Ernie Els,44.59
Chesson Hadley,44.44
Wes Roach,44.44
Jason Bohn,44.3
Carl Pettersson,44.26
Kevin Chappell,44.12
Jeff Overton,44.04
Billy Hurley III,43.9
Andrew Landry,43.4
Robert Streb,43.37
Camilo Villegas,43.27
David Lingmerth,43.24
Abraham Ancer,42.86
Ken Duke,42.86
Hideki Matsuyama,42.37
Kyle Stanley,42.31
Dustin Johnson,41.94
Kevin Streelman,41.86
Graeme McDowell,41.82
Thomas Aiken,41.67
Ben Martin,41.67
Lucas Glover,41.46
Graham DeLaet,41.18
Whee Kim,41
Angel Cabrera,40.96
Brett Stegmaier,40.96
D.H. Lee,40.91
Rob Oppenheim,40.28
Chris Stroud,40.19
Matt Every,38.81
Stewart Cink,38.67
Emiliano Grillo,38.55
Boo Weekley,38.1
Scott Stallings,38.04
Robert Garrigus,38
Dawie van der Walt,37.88
Carlos Ortiz,37.68
Greg Owen,37.5
Harold Varner III,37.35
Brice Garnett,35.9
Scott Pinckney,35.23
Darron Stiles,34.62
Keegan Bradley,32.43
Charlie Beljan,30.23
