PLAYER,GOING FOR THE GREEN %
Robert Garrigus,76.06
Henrik Stenson,71.33
Keegan Bradley,71.15
Kyle Stanley,70.31
Bubba Watson,69.6
Adam Scott,66.25
Charl Schwartzel,66.14
Dustin Johnson,65.93
Jim Herman,65.52
Ryan Palmer,63.95
Eric Meierdierks,63.78
Scott Piercy,63.27
Kevin Stadler,63.16
Hunter Mahan,63.08
Rory Sabbatini,62.66
Angel Cabrera,62.56
Matt Every,62.54
Lee Westwood,62.5
Steven Bowditch,62.19
Rory McIlroy,62.05
Martin Kaymer,61.7
Tiger Woods,61.59
Lucas Glover,61.46
Gary Woodland,61.15
Andres Romero,59.89
Charles Howell III,59.86
Padraig Harrington,59.84
Phil Mickelson,59.72
Sergio Garcia,59.65
Jason Kokrak,59.23
Boo Weekley,58.99
Jeff Overton,58.98
Marc Leishman,58.67
Cameron Percy,58.42
Greg Owen,58.22
Luke List,58.15
Jordan Spieth,58.01
Webb Simpson,57.6
Charlie Beljan,57.49
Derek Ernst,57.49
Peter Hanson,57.14
Josh Teater,57.08
Morgan Hoffmann,56.8
Jason Day,56.62
Charley Hoffman,56.52
Andrew Svoboda,56.52
Graham DeLaet,56.47
Matt Jones,56.38
D.J. Trahan,56.35
Sean O'Hair,56.07
Justin Rose,55.97
Kevin Streelman,55.88
Jimmy Walker,55.87
Harris English,55.82
John Senden,55.61
Scott Stallings,55.6
Seung-Yul Noh,54.84
John Rollins,54.77
Nicolas Colsaerts,54.76
Nick Watney,54.71
Robert Streb,54.63
Patrick Reed,54.03
Shawn Stefani,53.66
Brad Fritsch,53.22
Henrik Norlander,53.2
Martin Flores,53.05
Rickie Fowler,53
Scott Brown,52.97
Brendon de Jonge,52.82
Ernie Els,52.63
Kevin Chappell,52.59
Chad Campbell,52.23
Vijay Singh,52.17
Nicholas Thompson,52.15
Ryo Ishikawa,52.11
Pat Perez,51.93
Bill Haas,51.78
Billy Horschel,51.74
Martin Laird,51.27
Matt Kuchar,51.18
Tommy Gainey,51.17
Brian Harman,51.11
John Huh,51.08
Tag Ridings,50.78
Erik Compton,50.46
Stewart Cink,50
Rod Pampling,50
Jonas Blixt,49.79
Aaron Baddeley,49.55
Chris Kirk,49.48
James Hahn,49.38
Russell Henley,49.35
Carl Pettersson,48.93
Camilo Villegas,48.85
Bo Van Pelt,48.51
Sangmoon Bae,48.16
Freddie Jacobson,48.13
Jason Dufner,47.87
Steve Stricker,47.79
Brandt Jobe,47.78
Brendan Steele,47.67
Fabian Gomez,47.59
Robert Karlsson,47.58
Daniel Summerhays,47.55
Vaughn Taylor,47.33
Ryan Moore,47.06
Ricky Barnes,46.88
Troy Matteson,46.67
Ian Poulter,46.67
Bud Cauley,46.53
D.A. Points,46.47
Brandt Snedeker,45.97
Scott Gardiner,45.81
Bobby Gates,45.6
William McGirt,45.6
Chris Stroud,45.55
Y.E. Yang,45.52
Roberto Castro,45.45
Zach Johnson,45.45
Geoff Ogilvy,45.4
Johnson Wagner,45.03
George McNeill,44.64
Cameron Tringale,44.57
Greg Chalmers,44.44
D.H. Lee,44.33
James Driscoll,44
Luke Guthrie,43.91
Steve LeBrun,43.55
John Merrick,42.63
Will Claxton,42.27
Tim Clark,42.07
David Lingmerth,42
Jeff Maggert,41.88
J.J. Henry,41.35
Michael Thompson,41.3
David Mathis,40.93
Tom Gillis,40.72
Alistair Presnell,40.49
Luke Donald,39.88
Graeme McDowell,39.39
Tim Herron,39.33
Jerry Kelly,39.04
"Ted Potter, Jr.",38.42
Mark Wilson,38.29
Justin Hicks,38.22
Stuart Appleby,38.21
Stephen Ames,38.03
Brian Stuard,37.91
Chez Reavie,37.56
Trevor Immelman,37.21
Casey Wittenberg,36.79
Doug LaBelle II,36.55
Robert Allenby,36.46
Richard Lee,36.26
Charlie Wi,36.24
Ben Kohles,35.41
Ben Crane,35.2
Bob Estes,35.19
David Hearn,34.47
K.J. Choi,34.21
Brian Davis,34.01
Michael Bradley,33.56
Mike Weir,33.53
Jason Bohn,33.33
David Lynn,32.87
Darron Stiles,32.61
Jin Park,31.97
Dicky Pride,31.66
Ken Duke,31.54
Lee Williams,31.43
Justin Bolli,31.41
Scott Langley,31.39
Ben Curtis,30.18
Aaron Watkins,29.57
Jim Furyk,29.18
Colt Knost,28.5
Justin Leonard,28.35
Brian Gay,27.42
Bryce Molder,26.19
David Toms,25.44
