PLAYER,scrambling
Bob Estes,66.19
Steve Stricker,65.57
Chris Kirk,65.38
Stuart Appleby,65.21
Charles Howell III,64.83
Chris Stroud,64.6
Lee Williams,64.25
Matt Jones,63.98
Ben Crane,63.83
Brian Gay,63.8
Richard Lee,63.58
Matt Kuchar,63.55
K.J. Choi,62.98
Jerry Kelly,62.96
Martin Flores,62.91
Brendon de Jonge,62.56
Steven Bowditch,62.47
Bill Haas,62.01
Bryce Molder,61.76
Cameron Tringale,61.68
Lee Westwood,61.57
Luke Donald,61.52
Erik Compton,61.51
Jonas Blixt,61.5
Ian Poulter,61.49
Roberto Castro,61.47
Jason Day,61.39
Mark Wilson,61.39
Darron Stiles,61.26
Graeme McDowell,61.09
Jordan Spieth,61.07
Keegan Bradley,60.88
Brandt Snedeker,60.86
"Ted Potter, Jr.",60.77
Justin Rose,60.71
Jimmy Walker,60.62
Casey Wittenberg,60.59
David Lynn,60.52
William McGirt,60.47
Cameron Percy,60.44
Patrick Reed,60.44
Jeff Maggert,60.42
Brian Stuard,60.31
Tom Gillis,60.22
Tim Clark,60.19
Tiger Woods,60
Charlie Wi,59.92
Chez Reavie,59.86
Fabian Gomez,59.76
George McNeill,59.76
Graham DeLaet,59.72
David Toms,59.72
James Driscoll,59.7
Freddie Jacobson,59.66
Zach Johnson,59.66
Rickie Fowler,59.59
Jim Furyk,59.55
Aaron Watkins,59.53
Scott Langley,59.47
Dicky Pride,59.44
Kevin Streelman,59.42
John Huh,59.36
Greg Chalmers,59.33
Troy Matteson,59.33
Jin Park,59.27
Jeff Overton,59.23
Stephen Ames,59.18
Trevor Immelman,59.13
Daniel Summerhays,59.13
Jason Dufner,59.11
Mike Weir,59.11
Justin Leonard,59.02
Brian Davis,58.87
Hunter Mahan,58.87
Luke Guthrie,58.85
Chad Campbell,58.76
Brian Harman,58.74
Phil Mickelson,58.55
Shawn Stefani,58.5
David Lingmerth,58.44
Kevin Chappell,58.4
Peter Hanson,58.33
Jason Kokrak,58.3
Ernie Els,58.08
Morgan Hoffmann,57.99
Webb Simpson,57.95
Robert Streb,57.95
Andres Romero,57.91
D.H. Lee,57.79
David Hearn,57.78
Rory Sabbatini,57.77
Aaron Baddeley,57.72
John Rollins,57.71
Michael Thompson,57.71
Ryan Moore,57.68
Marc Leishman,57.64
Steve LeBrun,57.58
Tag Ridings,57.5
Sergio Garcia,57.45
Robert Karlsson,57.39
Alistair Presnell,57.36
Henrik Stenson,57.28
Vijay Singh,57.23
Russell Henley,57.17
Brendan Steele,57.17
Justin Bolli,57.14
Vaughn Taylor,56.95
Ken Duke,56.92
Nicholas Thompson,56.89
Y.E. Yang,56.65
Pat Perez,56.64
J.J. Henry,56.53
Matt Every,56.52
Padraig Harrington,56.52
John Merrick,56.51
Colt Knost,56.47
Tim Herron,56.44
D.J. Trahan,56.39
Adam Scott,56.38
Johnson Wagner,56.36
Nick Watney,56.35
Martin Laird,56.18
Doug LaBelle II,56.12
Camilo Villegas,56.12
Harris English,56.11
Ben Kohles,56.08
Rod Pampling,55.97
James Hahn,55.96
D.A. Points,55.92
Scott Brown,55.71
Billy Horschel,55.69
Geoff Ogilvy,55.67
Ryan Palmer,55.63
Angel Cabrera,55.43
Boo Weekley,55.35
Brad Fritsch,55.29
Bobby Gates,55.15
Henrik Norlander,55.14
Scott Stallings,55.07
Charl Schwartzel,55.02
Ben Curtis,54.99
Greg Owen,54.79
Kevin Stadler,54.75
Jason Bohn,54.69
Rory McIlroy,54.68
Brandt Jobe,54.65
Carl Pettersson,54.6
Gary Woodland,54.58
Jim Herman,54.57
Bubba Watson,54.48
Luke List,54
Tommy Gainey,53.99
John Senden,53.97
Charley Hoffman,53.83
Kyle Stanley,53.72
Will Claxton,53.47
Josh Teater,53.44
Seung-Yul Noh,53.36
Bo Van Pelt,53.35
Ryo Ishikawa,53.27
Scott Piercy,53.24
Ricky Barnes,53.23
Dustin Johnson,53.22
Stewart Cink,53.16
Bud Cauley,53.04
Michael Bradley,53
Andrew Svoboda,52.96
Robert Allenby,52.77
Sean O'Hair,52.74
Charlie Beljan,52.66
Martin Kaymer,52.59
David Mathis,52.39
Scott Gardiner,51.97
Lucas Glover,51.91
Justin Hicks,51.89
Sangmoon Bae,51.85
Eric Meierdierks,50.54
Nicolas Colsaerts,49.82
Derek Ernst,49.34
Robert Garrigus,48.74
