PLAYER,scrambling
Jim Furyk,69.33
Sergio Garcia,66.67
Brian Gay,65.69
Kevin Na,65.16
Jason Day,64.95
Justin Leonard,64.56
Brendon Todd,63.57
Russell Knox,63.4
Chris Kirk,63.3
Tim Wilkinson,63.19
"Ted Potter, Jr.",62.76
Matt Kuchar,62.4
Jordan Spieth,62.39
Keegan Bradley,62.31
Charlie Wi,62.27
Jerry Kelly,62.1
Rickie Fowler,62.06
Chris Stroud,61.89
Ricky Barnes,61.8
Phil Mickelson,61.71
Scott Langley,61.67
Charl Schwartzel,61.67
David Toms,61.6
Heath Slocum,61.58
Brian Davis,61.55
Ernie Els,61.36
Billy Hurley III,61.36
Fredrik Jacobson,61.34
Luke Guthrie,61.29
Charles Howell III,61.26
Justin Rose,61.23
Richard H. Lee,61.21
Retief Goosen,61.12
Stuart Appleby,61
David Hearn,60.99
Zach Johnson,60.75
Adam Scott,60.73
Luke Donald,60.59
Graeme McDowell,60.47
Jeff Overton,60.47
Hideki Matsuyama,60.42
Brian Stuard,60.42
Bill Haas,60.37
Bryce Molder,60.34
Seung-yul Noh,60.33
Pat Perez,60.3
Aaron Baddeley,60.27
Bronson La'Cassie,60.24
John Senden,60.21
Gary Woodland,60.11
Chad Campbell,60.08
Robert Allenby,59.96
Andres Romero,59.96
Brad Fritsch,59.93
Spencer Levin,59.89
Mike Weir,59.84
Bud Cauley,59.76
Dustin Johnson,59.76
Jason Kokrak,59.75
Chad Collins,59.66
Brian Harman,59.66
Cameron Tringale,59.61
Brice Garnett,59.6
Sean O'Hair,59.57
Charley Hoffman,59.53
Greg Chalmers,59.49
Brandt Snedeker,59.48
Brendan Steele,59.45
Shawn Stefani,59.45
Patrick Reed,59.42
Tim Clark,59.34
Jhonattan Vegas,59.23
Vijay Singh,59.19
Bubba Watson,59.14
Ben Crane,59.1
Ben Martin,59.1
Webb Simpson,59.05
Andrew Svoboda,59.05
William McGirt,59.02
Robert Streb,59
Will Wilcox,58.9
Matt Every,58.82
Erik Compton,58.8
Jonas Blixt,58.76
Graham DeLaet,58.75
Scott Brown,58.73
D.H. Lee,58.73
Rory McIlroy,58.52
J.B. Holmes,58.51
Michael Thompson,58.42
Jimmy Walker,58.39
Johnson Wagner,58.33
Jeff Maggert,58.26
Tyrone Van Aswegen,58.25
Ryan Palmer,58.24
Daniel Summerhays,58.22
George McNeill,58.21
Ian Poulter,58.05
Jonathan Byrd,58.02
Gonzalo Fernandez-Castano,57.79
Bo Van Pelt,57.78
Josh Teater,57.69
Ryan Moore,57.64
Wes Roach,57.64
Danny Lee,57.62
Morgan Hoffmann,57.53
John Huh,57.52
Brooks Koepka,57.51
Ken Duke,57.48
Harris English,57.44
Martin Flores,57.42
Sang-Moon Bae,57.4
Carl Pettersson,57.33
Kevin Chappell,57.32
Marc Leishman,57.29
Robert Garrigus,57.17
Brendon de Jonge,57.1
Briny Baird,56.84
K.J. Choi,56.78
Steven Bowditch,56.77
J.J. Henry,56.72
Kevin Kisner,56.69
Michael Putnam,56.69
Y.E. Yang,56.69
Camilo Villegas,56.64
Ben Curtis,56.62
Lee Westwood,56.28
Paul Casey,56.23
Jamie Lovemark,56.2
Troy Merritt,56.15
Jason Bohn,56.03
Nick Watney,56.01
Matt Jones,55.92
Will MacKenzie,55.91
John Peterson,55.91
Roberto Castro,55.79
Geoff Ogilvy,55.77
Mark Wilson,55.58
Andrew Loupe,55.56
Davis Love III,55.43
James Driscoll,55.4
Stewart Cink,55.35
Rory Sabbatini,55.35
Billy Horschel,55.32
James Hahn,55.11
Woody Austin,54.81
Justin Hicks,54.81
Hunter Mahan,54.71
Jim Herman,54.7
Trevor Immelman,54.6
David Lingmerth,54.58
Ryo Ishikawa,54.55
Chesson Hadley,54.2
Scott Stallings,54.17
Kevin Streelman,54.07
D.A. Points,53.88
Martin Laird,53.72
Martin Kaymer,53.43
Kevin Stadler,53.41
Boo Weekley,53.14
Angel Cabrera,53.1
Charlie Beljan,52.99
Kevin Tway,52.99
Nicholas Thompson,52.88
John Rollins,52.77
Jason Dufner,52.74
Kyle Stanley,52.73
Troy Matteson,52.64
Hudson Swafford,52.63
Russell Henley,52.37
Henrik Stenson,51.83
Louis Oosthuizen,51.8
Derek Ernst,51.3
Tommy Gainey,50.56
John Merrick,50.31
Lucas Glover,49.74
Jim Renner,47.98
