PLAYER,STROKES GAINED PUTTING
Graeme McDowell,0.882
Aaron Baddeley,0.872
Greg Chalmers,0.856
Matt Every,0.733
Freddie Jacobson,0.704
Brendon Todd,0.664
Luke Donald,0.517
Morgan Hoffmann,0.506
Justin Leonard,0.496
Daniel Summerhays,0.492
Stuart Appleby,0.487
Jimmy Walker,0.479
John Senden,0.476
Michael Thompson,0.466
Matt Kuchar,0.457
Richard Lee,0.446
Chad Collins,0.438
Sangmoon Bae,0.418
Ben Curtis,0.4
Jordan Spieth,0.399
Kevin Kisner,0.388
Chris Kirk,0.374
Andres Romero,0.353
Retief Goosen,0.352
Andrew Loupe,0.35
K.J. Choi,0.332
Russell Henley,0.332
Brandt Snedeker,0.326
Jason Day,0.317
David Hearn,0.315
Kevin Na,0.315
William McGirt,0.314
Jonas Blixt,0.303
Webb Simpson,0.3
Ryan Palmer,0.295
Ben Martin,0.291
Rickie Fowler,0.29
Paul Casey,0.283
Brian Stuard,0.283
Erik Compton,0.282
Rory McIlroy,0.274
George McNeill,0.271
Brian Gay,0.268
Scott Langley,0.268
Charley Hoffman,0.266
Mike Weir,0.256
Keegan Bradley,0.254
Pat Perez,0.251
Bryce Molder,0.249
Patrick Reed,0.249
Jerry Kelly,0.239
Phil Mickelson,0.234
Jason Kokrak,0.222
Billy Horschel,0.22
Adam Scott,0.22
Scott Brown,0.211
Hunter Mahan,0.207
Tim Wilkinson,0.205
Luke Guthrie,0.19
Chris Stroud,0.182
Sergio Garcia,0.167
Brooks Koepka,0.162
Ricky Barnes,0.157
Will MacKenzie,0.154
Lee Westwood,0.151
Bill Haas,0.147
Brian Davis,0.145
Matt Jones,0.142
Danny Lee,0.141
Ben Crane,0.138
Jason Bohn,0.126
James Driscoll,0.123
Brendan Steele,0.121
Robert Streb,0.119
Brian Harman,0.113
Charlie Wi,0.112
Brice Garnett,0.109
Cameron Tringale,0.107
Zach Johnson,0.106
Ryo Ishikawa,0.092
Jim Furyk,0.091
Dustin Johnson,0.082
Sean O'Hair,0.082
Justin Hicks,0.069
Ian Poulter,0.067
Charl Schwartzel,0.055
David Toms,0.055
Johnson Wagner,0.05
Robert Garrigus,0.047
Ryan Moore,0.042
Chesson Hadley,0.041
Billy Hurley III,0.039
Charles Howell III,0.037
Tim Clark,0.025
D.H. Lee,0.024
Troy Merritt,0.024
Tommy Gainey,0.019
Jeff Overton,0.017
Tyrone Van Aswegen,0.017
Angel Cabrera,0.007
Kevin Streelman,0.006
Wes Roach,0
Camilo Villegas,0
Marc Leishman,-0.017
Andrew Svoboda,-0.026
Harris English,-0.028
Brendon de Jonge,-0.032
Justin Rose,-0.04
Brad Fritsch,-0.05
Bubba Watson,-0.05
Bo Van Pelt,-0.053
Y.E. Yang,-0.073
J.B. Holmes,-0.075
Nick Watney,-0.075
Heath Slocum,-0.078
David Lingmerth,-0.087
Bronson La'Cassie,-0.088
Graham DeLaet,-0.093
Spencer Levin,-0.094
Martin Kaymer,-0.111
Russell Knox,-0.116
Gonzalo Fdez-Castano,-0.12
Seung-Yul Noh,-0.121
Stewart Cink,-0.131
Woody Austin,-0.137
Carl Pettersson,-0.138
Martin Flores,-0.144
Shawn Stefani,-0.146
Gary Woodland,-0.149
Martin Laird,-0.154
Briny Baird,-0.156
Kevin Tway,-0.157
John Huh,-0.159
Robert Allenby,-0.163
Henrik Stenson,-0.17
Ernie Els,-0.171
J.J. Henry,-0.187
Hudson Swafford,-0.2
Will Wilcox,-0.204
"Ted Potter, Jr.",-0.216
Josh Teater,-0.218
Charlie Beljan,-0.231
John Rollins,-0.252
Jonathan Byrd,-0.271
Kevin Chappell,-0.278
Scott Stallings,-0.305
James Hahn,-0.306
Rory Sabbatini,-0.326
Geoff Ogilvy,-0.331
D.A. Points,-0.344
Davis Love III,-0.361
Jim Herman,-0.362
Jhonattan Vegas,-0.37
Roberto Castro,-0.384
Bud Cauley,-0.389
Hideki Matsuyama,-0.393
Ken Duke,-0.409
Michael Putnam,-0.409
Troy Matteson,-0.422
Louis Oosthuizen,-0.429
Chad Campbell,-0.434
Kevin Stadler,-0.467
Trevor Immelman,-0.474
Mark Wilson,-0.539
Derek Ernst,-0.558
John Merrick,-0.568
Jason Dufner,-0.576
Vijay Singh,-0.579
Steven Bowditch,-0.581
Jamie Lovemark,-0.585
Nicholas Thompson,-0.622
Jeff Maggert,-0.652
Jim Renner,-0.792
John Peterson,-0.819
Boo Weekley,-1.152
Kyle Stanley,-1.385
Lucas Glover,-1.475
