PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Erik Compton,112.23,115.76,106.59
Davis Love III,112.17,116.1,108.74
Kevin Na,112.16,117.88,108.74
Mark Hubbard,112.04,117.2,108.34
Chesson Hadley,111.92,116.62,107.92
Michael Thompson,111.91,114.99,108.31
Jordan Spieth,111.89,115.52,108.7
Kyle Stanley,111.88,115.69,108.6
Steve Wheatcroft,111.87,115.64,105.8
Wes Roach,111.75,115.78,108.06
Chris Stroud,111.75,122.68,107.78
William McGirt,111.72,117.76,107.56
Jamie Donaldson,111.66,113.84,108.91
Daniel Summerhays,111.61,115.84,107.7
Retief Goosen,111.58,116.23,108.34
Boo Weekley,111.57,116.4,107.62
Francesco Molinari,111.56,113.59,108.39
Webb Simpson,111.46,114.41,107.73
Brandt Snedeker,111.45,115.03,107.86
Thomas Aiken,111.42,114.12,108.64
Scott Brown,111.4,114.95,107.7
Chad Campbell,111.3,116.48,107.08
Nick Taylor,111.28,115.57,107.99
Rory Sabbatini,111.24,115.52,107.94
Scott Langley,111.22,114.45,107.75
Whee Kim,111.18,116.24,106.76
Kevin Streelman,111.13,115.67,107.75
Kelly Kraft,111.07,116.37,106.76
Kyle Reifers,111.02,114.88,106.65
Russell Knox,110.95,115.31,107.64
J.J. Henry,110.94,115.56,107.16
Graeme McDowell,110.91,114.87,107.63
Jonas Blixt,110.85,113.91,107.28
Johnson Wagner,110.84,115.49,107.8
Michael Kim,110.77,114.03,108.04
Brice Garnett,110.72,114.82,105.76
Cameron Tringale,110.53,114.46,105.73
Luke Guthrie,110.52,116.61,107.82
Roberto Castro,110.48,117.29,106.61
Derek Fathauer,110.41,114.48,107.88
Brian Harman,110.4,114.32,106.56
Camilo Villegas,110.31,116.42,106.63
Tyler Aldridge,110.28,113.78,107.94
Troy Merritt,110.22,118,107.39
Bryce Molder,110.16,120.1,105.93
Luke Donald,110.09,116.8,106.48
Will MacKenzie,110.04,127.54,104.8
Ernie Els,109.99,114.37,106.89
Danny Lee,109.99,115.49,105.63
Chris Kirk,109.98,114.8,106.36
Chad Collins,109.88,114.27,106.95
Andrew Landry,109.87,111.37,108.5
Martin Piller,109.85,112.55,106.41
Kevin Kisner,109.81,113.05,106.19
Vijay Singh,109.71,113.4,106
Ian Poulter,109.68,113.11,106.53
Spencer Levin,109.37,114.13,106.19
David Lingmerth,109.12,111.97,105.78
Steve Stricker,109.07,111.37,106.51
John Huh,109.03,115.08,105.07
D.A. Points,108.84,113.33,105.85
Blayne Barber,108.76,112.73,105.55
Jason Bohn,108.72,111.9,105.8
Chez Reavie,108.68,111.74,105.81
Jeff Overton,108.65,111.93,105.88
Matt Kuchar,108.61,112.55,104.94
Billy Hurley III,108.51,111.87,105.16
Tim Herron,108.48,110.74,104.83
Jon Curran,108.46,112.6,104.85
Peter Malnati,108.35,112.22,105.35
Alex Cejka,107.99,113.71,104.8
Stuart Appleby,107.96,112.3,104.95
D.H. Lee,107.82,111.17,105.29
David Hearn,107.73,112.55,102.7
Dicky Pride,107.59,110.24,104.01
Ken Duke,107.56,112.67,104.01
Carl Pettersson,107.55,115.38,104.54
Zac Blair,107.51,111.54,103.88
Ryan Moore,107.25,109.68,105.3
Abraham Ancer,107.21,112.04,103.45
Mark Wilson,107.16,112.35,103.06
Brendon Todd,107.14,111.2,101.87
Tim Wilkinson,106.92,111.74,103.76
Robert Allenby,106.88,113.01,103.64
Vaughn Taylor,106.62,109.52,102.83
Justin Hicks,106.58,117.64,103.95
Jerry Kelly,106.47,110.12,101.98
Zach Johnson,106.25,108.61,102.74
K.J. Choi,106.17,112.63,101.49
Shane Bertsch,105.95,108.9,102.92
Ben Crane,105.83,111.04,103.3
Colt Knost,105.54,108.97,101.01
Brian Stuard,105.33,108.54,103.6
Justin Leonard,103.09,105.93,100.94
David Toms,100.83,106.63,96.6
Darron Stiles,100.08,104.94,96.36
