PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Andrew Loupe,125.35,128.92,121.67
Gary Woodland,124.91,128.47,121.68
Hudson Swafford,124.26,128.44,120.98
Tony Finau,124.13,127.75,120.77
Jhonattan Vegas,123.83,126.85,120.7
Sergio Garcia,122.86,127.62,115.85
Luke List,122.3,126.4,119.14
Brooks Koepka,122.23,129.06,117.23
Dustin Johnson,121.79,124.19,118.92
J.B. Holmes,121.07,127.3,117.12
Bubba Watson,120.99,123.22,118.42
Charlie Beljan,120.74,124,118.28
Derek Ernst,120.72,124.77,115.7
Jamie Lovemark,120.71,126.7,116.96
Jason Kokrak,120.57,124.41,116.57
Smylie Kaufman,120.04,124.18,116.96
Rory McIlroy,119.53,125.15,116.75
Patrick Rodgers,119.34,124,116.03
Henrik Stenson,118.93,122.47,114.99
Adam Scott,118.9,123.06,116.11
Charles Howell III,118.89,123.53,115.26
Brendan Steele,118.57,123.69,115.38
Graham DeLaet,118.48,122.54,115.03
Greg Owen,118.36,121.61,114.4
John Senden,118.31,122.61,114.83
Patrick Reed,118.18,120.86,114.8
Justin Rose,118.12,122.39,113.17
Harold Varner III,118.06,122.94,113.8
Rickie Fowler,117.78,123.03,114.52
Dawie van der Walt,117.69,123.86,114.86
Jason Day,117.66,122.56,113.99
Charl Schwartzel,117.64,122.03,114.34
Ricky Barnes,117.62,123.26,113.53
Paul Casey,117.46,121.93,109.94
Stewart Cink,117.33,121.64,114.17
Steven Bowditch,117.2,121.64,114.2
Justin Thomas,117.1,120.28,114.09
Scott Pinckney,116.91,121.19,113.58
Kevin Chappell,116.74,122.64,113.03
Rhein Gibson,116.6,120.09,112.92
Matt Jones,116.55,119.61,112.53
Bernd Wiesberger,116.53,118.53,112.52
Pat Perez,116.51,118.9,112.87
Robert Garrigus,116.48,122.73,111.54
Robert Streb,116.16,119.05,113.76
Harris English,116.14,118.16,113.77
Keegan Bradley,116.03,120.12,113.44
Charley Hoffman,116.03,120.41,112.12
Daniel Berger,115.97,118.7,112.77
Carlos Ortiz,115.94,122.29,110.18
Aaron Baddeley,115.86,121.16,112.61
Andres Gonzales,115.65,120.89,111.95
Branden Grace,115.65,123.24,111.42
Angel Cabrera,115.6,118.79,111.79
Lucas Glover,115.54,119.55,112.12
Seung-Yul Noh,115.4,119.47,112.48
Tom Hoge,115.38,119.6,111.61
Marc Leishman,115.35,121.25,112.44
Phil Mickelson,115.27,118.39,111.35
Will Wilcox,115.25,117.55,112.06
Ryan Palmer,115.18,117.98,111.42
Si Woo Kim,115.08,121.67,111.97
Jimmy Walker,115.08,118.94,111.75
Martin Laird,115.07,117.39,111.86
George McNeill,114.83,119.07,109.59
Shawn Stefani,114.8,118.81,111.49
Emiliano Grillo,114.25,117.57,110.49
Bill Haas,114.25,117.62,109.94
Russell Henley,114.24,117.19,111.26
Jim Herman,114.23,117.48,111.41
Adam Hadwin,114.03,119.3,107.37
Scott Piercy,113.93,119.87,110.06
Steve Marino,113.84,118.03,109.98
Sean O'Hair,113.66,119.53,109.92
Ben Martin,113.58,116.54,108.01
Jason Dufner,113.56,117.52,110.44
Louis Oosthuizen,113.43,116.16,111.08
Hunter Mahan,113.32,115.27,109.93
James Hahn,113.29,117.71,106.38
Hiroshi Iwata,113.27,119.07,109.42
Bronson Burgoon,113.24,117.49,109.79
Patton Kizzire,113.24,116.41,110.16
Billy Horschel,113.2,117.97,110.82
Matt Every,113.19,117.88,108.64
Geoff Ogilvy,113.19,116.45,109.26
Shane Lowry,113.12,116.35,110.29
Brendon de Jonge,113,116.32,110.49
Freddie Jacobson,112.95,116.22,109.54
Henrik Norlander,112.95,117.01,110.22
Sung Kang,112.77,118.82,106.74
Fabian Gomez,112.73,116.69,109.74
Rob Oppenheim,112.6,116.49,109.68
Hideki Matsuyama,112.57,116.2,110.16
Sam Saunders,112.56,116.76,108.74
Brett Stegmaier,112.51,116.68,108.72
Morgan Hoffmann,112.42,117.1,108.9
Cameron Smith,112.38,117.93,109.17
Tyrone Van Aswegen,112.38,117.14,109.37
Scott Stallings,112.32,115.38,107.58
Anirban Lahiri,112.3,114.98,108.85
Padraig Harrington,112.28,116.79,107.99
Jason Gore,112.26,116.02,109.31
Andy Sullivan,112.26,116.08,110.52
