PLAYER,PAR 5
Webb Simpson,4.48
Steve Stricker,4.49
Bubba Watson,4.49
Lucas Glover,4.54
Phil Mickelson,4.54
Kyle Stanley,4.54
Luke Donald,4.55
Chris Couch,4.56
Charles Howell III,4.56
Adam Scott,4.56
Bo Van Pelt,4.56
Angel Cabrera,4.57
Jason Day,4.57
J.B. Holmes,4.57
Spencer Levin,4.57
Nick Watney,4.57
Matt Kuchar,4.58
Hunter Mahan,4.58
Kevin Na,4.58
Brendan Steele,4.58
Aaron Baddeley,4.59
David Toms,4.59
Jonathan Byrd,4.6
Robert Garrigus,4.6
Bill Haas,4.6
Zach Johnson,4.6
Robert Karlsson,4.6
Brandt Snedeker,4.6
Josh Teater,4.6
Steven Bowditch,4.61
Brendon de Jonge,4.61
Rickie Fowler,4.61
John Rollins,4.61
Jhonattan Vegas,4.61
Boo Weekley,4.61
Y.E. Yang,4.61
Sergio Garcia,4.62
Bobby Gates,4.62
Sung Kang,4.62
Jerry Kelly,4.62
Carl Pettersson,4.62
Justin Rose,4.62
Woody Austin,4.63
Keegan Bradley,4.63
Fabian Gomez,4.63
Dustin Johnson,4.63
Billy Mayfair,4.63
Graeme McDowell,4.63
John Merrick,4.63
Ryan Palmer,4.63
Chris Stroud,4.63
Cameron Tringale,4.63
Gary Woodland,4.63
Jason Bohn,4.64
Martin Laird,4.64
Jarrod Lyle,4.64
Jeff Overton,4.64
Vijay Singh,4.64
D.J. Trahan,4.64
Jim Furyk,4.65
Charley Hoffman,4.65
Brandt Jobe,4.65
Anthony Kim,4.65
Bio Kim,4.65
Bill Lunde,4.65
Steve Marino,4.65
Andres Romero,4.65
Rory Sabbatini,4.65
John Senden,4.65
Jason Dufner,4.66
Jim Herman,4.66
George McNeill,4.66
Tag Ridings,4.66
Scott Stallings,4.66
Roland Thatcher,4.66
Mark Wilson,4.66
Blake Adams,4.67
Greg Chalmers,4.67
K.J. Choi,4.67
Stewart Cink,4.67
Steve Flesch,4.67
Brian Gay,4.67
Chris Kirk,4.67
Davis Love III,4.67
D.A. Points,4.67
Kevin Stadler,4.67
Charlie Wi,4.67
Chad Campbell,4.68
Brian Davis,4.68
Trevor Immelman,4.68
Freddie Jacobson,4.68
Matt Jones,4.68
Justin Leonard,4.68
Joe Ogilvie,4.68
Rod Pampling,4.68
Aron Price,4.68
Alexandre Rocha,4.68
Kevin Streelman,4.68
Jimmy Walker,4.68
Kris Blanks,4.69
Alex Cejka,4.69
Harrison Frazar,4.69
Hunter Haas,4.69
J.J. Henry,4.69
Sean O'Hair,4.69
Nick O'Hern,4.69
Scott Piercy,4.69
Alex Prugh,4.69
Paul Stankowski,4.69
Vaughn Taylor,4.69
Stuart Appleby,4.7
Cameron Beckman,4.7
Shane Bertsch,4.7
Matt Bettencourt,4.7
Joseph Bramlett,4.7
Kevin Chappell,4.7
Chris DiMarco,4.7
Ernie Els,4.7
Tommy Gainey,4.7
Tim Herron,4.7
Kent Jones,4.7
Derek Lamely,4.7
Marc Leishman,4.7
Bryce Molder,4.7
Chez Reavie,4.7
Jim Renner,4.7
Charl Schwartzel,4.7
Dean Wilson,4.7
Ricky Barnes,4.71
Michael Bradley,4.71
Tom Gillis,4.71
Ben Martin,4.71
Ryan Moore,4.71
Pat Perez,4.71
Ian Poulter,4.71
Heath Slocum,4.71
Johnson Wagner,4.71
D.J. Brigman,4.72
James Driscoll,4.72
Troy Matteson,4.72
William McGirt,4.72
Tim Petrovic,4.72
Chris Riley,4.72
Nate Smith,4.72
Michael Thompson,4.72
Camilo Villegas,4.72
Robert Allenby,4.73
Ben Crane,4.73
Ben Curtis,4.73
Steve Elkington,4.73
J.P. Hayes,4.73
David Hearn,4.73
Ryuji Imada,4.73
Lee Janzen,4.73
Kevin Kisner,4.73
Zack Miller,4.73
Martin Piller,4.73
Michael Connell,4.74
Joe Durant,4.74
Scott Gutschewski,4.74
Billy Horschel,4.74
Scott McCarron,4.74
Troy Merritt,4.74
Stephen Ames,4.75
Arjun Atwal,4.75
Padraig Harrington,4.75
David Mathis,4.75
Geoff Ogilvy,4.75
Will Strickler,4.75
Andres Gonzales,4.76
Retief Goosen,4.77
Nathan Green,4.77
Michael Putnam,4.77
Garrett Willis,4.77
Briny Baird,4.78
David Duval,4.78
Colt Knost,4.78
Rocco Mediate,4.78
Daniel Summerhays,4.79
Rich Beem,4.8
Matt McQuillan,4.8
Marc Turnesa,4.8
Shaun Micheel,4.81
Richard Johnson,4.82
Paul Goydos,4.83
Justin Hicks,4.84
