PLAYER,birdie conversion
Rory McIlroy,36.84
Jordan Spieth,34.24
Adam Scott,33.89
Charl Schwartzel,33.76
Jimmy Walker,33.5
Dustin Johnson,33
Ryo Ishikawa,32.72
Ryan Palmer,32.71
Brooks Koepka,32.67
J.B. Holmes,32.56
Rickie Fowler,32.52
Lee Westwood,32.45
Bubba Watson,32.4
Hideki Matsuyama,32.14
Ian Poulter,32.11
Sang-Moon Bae,32.09
Aaron Baddeley,32
Morgan Hoffmann,31.84
Charley Hoffman,31.67
Robert Garrigus,31.62
Henrik Stenson,31.49
Chris Stroud,31.49
Wes Roach,31.46
Jason Kokrak,31.41
Luke Guthrie,31.4
Andrew Loupe,31.36
Phil Mickelson,31.29
Kevin Streelman,31.26
Paul Casey,31.12
Chris Kirk,31.06
Chesson Hadley,31.02
Martin Kaymer,31
Justin Rose,30.96
Keegan Bradley,30.93
Webb Simpson,30.93
Matt Every,30.92
Russell Henley,30.82
Andres Romero,30.82
Kevin Na,30.77
Danny Lee,30.74
Kevin Chappell,30.64
Brian Stuard,30.63
Tommy Gainey,30.6
Matt Kuchar,30.57
Ryan Moore,30.53
Camilo Villegas,30.48
Harris English,30.29
Michael Thompson,30.29
Robert Streb,30.26
Patrick Reed,30.25
George McNeill,30.24
Jerry Kelly,30.19
Fredrik Jacobson,30.18
Brendan Steele,30.15
Brandt Snedeker,30.13
Jonas Blixt,30.1
Stuart Appleby,30.09
Angel Cabrera,30.06
Jason Day,30.02
Will MacKenzie,30.01
Steven Bowditch,29.99
Marc Leishman,29.99
Sergio Garcia,29.97
Matt Jones,29.96
Scott Brown,29.93
Greg Chalmers,29.93
Charlie Beljan,29.89
Rory Sabbatini,29.88
Brendon Todd,29.87
James Driscoll,29.81
K.J. Choi,29.79
Jason Dufner,29.75
Graeme McDowell,29.69
Gary Woodland,29.57
Brian Harman,29.56
Ricky Barnes,29.45
Erik Compton,29.45
Gonzalo Fernandez-Castano,29.35
Jeff Overton,29.35
Richard H. Lee,29.25
Ernie Els,29.24
Jamie Lovemark,29.24
Charles Howell III,29.23
William McGirt,29.23
Brian Davis,29.2
Luke Donald,29.18
Kevin Kisner,29.16
Zach Johnson,29.15
Brad Fritsch,29.06
Troy Merritt,29.01
Scott Langley,28.98
Graham DeLaet,28.91
Tyrone Van Aswegen,28.86
Nick Watney,28.85
Ben Martin,28.78
Martin Laird,28.69
Daniel Summerhays,28.68
Woody Austin,28.64
Bill Haas,28.55
Seung-yul Noh,28.55
Kevin Stadler,28.45
Billy Horschel,28.41
Carl Pettersson,28.41
David Lingmerth,28.39
Hunter Mahan,28.36
Louis Oosthuizen,28.36
Pat Perez,28.32
Tim Clark,28.29
Justin Leonard,28.24
Davis Love III,28.14
Geoff Ogilvy,28.05
Bryce Molder,28.04
Jason Bohn,27.95
David Toms,27.94
Jonathan Byrd,27.92
Retief Goosen,27.86
Stewart Cink,27.79
Brice Garnett,27.79
Tim Wilkinson,27.75
Mike Weir,27.72
Troy Matteson,27.67
David Hearn,27.66
Jhonattan Vegas,27.65
Chad Collins,27.64
John Senden,27.63
Ben Curtis,27.62
Martin Flores,27.59
Brian Gay,27.59
Bo Van Pelt,27.57
Ben Crane,27.52
Shawn Stefani,27.49
Michael Putnam,27.48
Brendon de Jonge,27.4
Sean O'Hair,27.28
Andrew Svoboda,27.18
Y.E. Yang,27.17
Russell Knox,27.11
Charlie Wi,27.09
Jim Renner,27.07
Scott Stallings,27
Cameron Tringale,26.96
Lucas Glover,26.76
Bud Cauley,26.7
James Hahn,26.69
Spencer Levin,26.69
Ken Duke,26.65
Jim Furyk,26.65
John Huh,26.61
John Merrick,26.6
Bronson La'Cassie,26.59
Josh Teater,26.5
Roberto Castro,26.47
Briny Baird,26.44
Vijay Singh,26.41
Kyle Stanley,26.41
Justin Hicks,26.36
D.A. Points,26.21
Hudson Swafford,26.17
Will Wilcox,26.15
Heath Slocum,26.08
Billy Hurley III,26.06
Derek Ernst,26.01
Robert Allenby,25.89
Jim Herman,25.76
Nicholas Thompson,25.54
Kevin Tway,25.36
John Peterson,25.28
Trevor Immelman,24.89
Jeff Maggert,24.88
"Ted Potter, Jr.",24.75
Johnson Wagner,24.23
John Rollins,24.22
D.H. Lee,23.98
Chad Campbell,23.91
Boo Weekley,23.61
J.J. Henry,23.44
Mark Wilson,23.27
