PLAYER,Putts per round
Aaron Baddeley,27.56
Jordan Spieth,27.58
Steve Stricker,27.72
Brendon Todd,27.73
Jonas Blixt,27.88
Phil Mickelson,27.92
Bryce Molder,27.98
Stuart Appleby,28.16
Jason Day,28.18
Tim Wilkinson,28.19
Brian Stuard,28.23
Freddie Jacobson,28.27
Marc Leishman,28.29
Anirban Lahiri,28.31
Retief Goosen,28.32
Jon Curran,28.34
Derek Fathauer,28.34
Peter Malnati,28.34
Andrew Loupe,28.36
Erik Compton,28.37
Daniel Summerhays,28.38
Justin Leonard,28.39
Dustin Johnson,28.4
Hiroshi Iwata,28.42
Steve Wheatcroft,28.44
Troy Merritt,28.45
Billy Hurley III,28.46
Carl Pettersson,28.46
Zac Blair,28.47
Jamie Donaldson,28.48
Tom Hoge,28.51
Michael Kim,28.51
Patrick Reed,28.51
Alex Cejka,28.53
Brian Harman,28.54
Dicky Pride,28.54
Jason Bohn,28.56
Ben Crane,28.57
Luke Guthrie,28.57
Adam Hadwin,28.6
Kevin Kisner,28.6
Ryan Moore,28.62
Charley Hoffman,28.63
J.B. Holmes,28.63
Hideki Matsuyama,28.63
Brandt Snedeker,28.63
Kevin Na,28.64
Padraig Harrington,28.65
Ricky Barnes,28.66
Sean O'Hair,28.68
Will Wilcox,28.68
Ernie Els,28.7
Matt Kuchar,28.7
K.J. Choi,28.71
Patton Kizzire,28.71
Harris English,28.72
Zach Johnson,28.72
Abraham Ancer,28.73
Steven Bowditch,28.73
Sung Kang,28.74
Jimmy Walker,28.74
Si Woo Kim,28.75
Jamie Lovemark,28.75
Francesco Molinari,28.75
Webb Simpson,28.76
Seung-Yul Noh,28.78
Nick Taylor,28.78
Chad Collins,28.79
Graeme McDowell,28.79
Chez Reavie,28.8
George McNeill,28.81
Martin Piller,28.81
Cameron Smith,28.81
Jerry Kelly,28.83
Mark Hubbard,28.84
Chris Kirk,28.84
Colt Knost,28.84
D.H. Lee,28.86
Camilo Villegas,28.86
Rickie Fowler,28.88
Charles Howell III,28.88
Danny Lee,28.89
David Toms,28.89
Luke Donald,28.9
Tim Herron,28.9
David Lingmerth,28.9
Jeff Overton,28.9
Russell Henley,28.93
Ryan Palmer,28.93
Daniel Berger,28.94
Scott Stallings,28.94
William McGirt,28.95
John Huh,28.96
Cameron Tringale,28.96
Vaughn Taylor,28.97
Tony Finau,29
Spencer Levin,29
Wes Roach,29
Vijay Singh,29
Morgan Hoffmann,29.02
Hunter Mahan,29.02
Shane Bertsch,29.03
Luke List,29.04
Michael Thompson,29.06
Brooks Koepka,29.07
Adam Scott,29.07
Martin Laird,29.08
D.A. Points,29.08
Tyrone Van Aswegen,29.08
Rory McIlroy,29.09
David Hearn,29.1
Ben Martin,29.11
Ian Poulter,29.11
Kyle Stanley,29.11
Smylie Kaufman,29.12
Kevin Chappell,29.13
Billy Horschel,29.13
Scott Langley,29.13
Bronson Burgoon,29.14
Andrew Landry,29.15
Branden Grace,29.16
Brice Garnett,29.19
John Senden,29.2
Jason Gore,29.21
James Hahn,29.23
Kelly Kraft,29.23
Sam Saunders,29.24
Charl Schwartzel,29.24
Dawie van der Walt,29.24
Scott Brown,29.25
Matt Every,29.25
Fabian Gomez,29.25
Carlos Ortiz,29.25
Jason Kokrak,29.26
Rob Oppenheim,29.26
Roberto Castro,29.27
Chris Stroud,29.28
Andres Gonzales,29.29
Andy Sullivan,29.29
Blayne Barber,29.3
Mark Wilson,29.31
Matt Jones,29.33
Angel Cabrera,29.35
Chesson Hadley,29.35
Kyle Reifers,29.35
Justin Thomas,29.35
Tyler Aldridge,29.36
Boo Weekley,29.38
Johnson Wagner,29.39
Jason Dufner,29.4
Chad Campbell,29.41
Ken Duke,29.41
Steve Marino,29.41
Bill Haas,29.43
Darron Stiles,29.43
Scott Piercy,29.46
Harold Varner III,29.47
Jim Herman,29.48
Geoff Ogilvy,29.49
Justin Rose,29.5
Gary Woodland,29.51
Pat Perez,29.54
Brett Stegmaier,29.55
Shane Lowry,29.56
Hudson Swafford,29.56
Henrik Norlander,29.58
Kevin Streelman,29.58
Graham DeLaet,29.59
Russell Knox,29.59
Paul Casey,29.6
Whee Kim,29.6
Davis Love III,29.62
Brendan Steele,29.62
Rory Sabbatini,29.63
Brendon de Jonge,29.67
Lucas Glover,29.67
Will MacKenzie,29.69
Henrik Stenson,29.72
Sergio Garcia,29.73
Derek Ernst,29.74
Shawn Stefani,29.76
Jhonattan Vegas,29.81
Emiliano Grillo,29.86
Robert Garrigus,29.87
Justin Hicks,29.9
Bubba Watson,29.9
Rhein Gibson,30
Robert Streb,30
Thomas Aiken,30.02
Scott Pinckney,30.02
Stewart Cink,30.06
Patrick Rodgers,30.07
Louis Oosthuizen,30.12
Bernd Wiesberger,30.17
Keegan Bradley,30.19
J.J. Henry,30.31
Greg Owen,30.48
Robert Allenby,30.54
Charlie Beljan,30.77
